date,open,high,low,close
2025-10-01,199.0,200.1689,198.0947,200.0663
2025-10-02,200.0663,200.7447,199.9126,200.3392
2025-10-03,200.3392,201.2344,200.2199,201.0646
2025-10-06,201.0646,201.265,200.8272,201.2221
2025-10-07,201.2221,202.0425,201.0778,201.2121
2025-10-08,201.2121,201.5456,200.2487,200.6859
2025-10-09,200.6859,201.4428,200.6141,200.8067
2025-10-10,200.8067,201.0268,200.0445,200.6393
2025-10-13,200.6393,201.4889,198.4854,198.7388
2025-10-14,198.7388,199.241,197.2656,198.1479
2025-10-15,198.1479,198.6236,197.1691,198.1482
2025-10-16,198.1482,199.3986,197.4337,199.2117
2025-10-17,199.2117,200.2429,198.9571,199.8069
2025-10-20,199.8069,200.5088,198.6246,198.6917
2025-10-21,198.6917,198.721,196.1728,196.922
2025-10-22,196.922,197.0097,195.1379,195.347
2025-10-23,195.347,195.9154,194.7753,195.6957
2025-10-24,195.6957,197.2942,195.244,196.7416
2025-10-27,196.7416,198.3003,196.3593,198.016
2025-10-28,198.016,199.5328,197.6267,198.7441
2025-10-29,198.7441,199.0021,197.9594,198.1681
2025-10-30,198.1681,198.5722,198.1249,198.3209
2025-10-31,198.3209,198.3592,196.358,196.417
2025-11-03,196.417,196.4422,195.0792,195.3626
2025-11-04,195.3626,196.8351,195.2889,196.5334
2025-11-05,196.5334,197.242,196.3975,197.1925
2025-11-06,197.1925,197.961,196.6925,197.3953
2025-11-07,197.3953,197.4956,195.5818,195.8654
2025-11-10,195.8654,196.2051,194.9415,195.4253
2025-11-11,195.4253,196.4724,194.6471,196.3016
2025-11-12,196.3016,196.9068,195.5253,196.5422
2025-11-13,196.5422,196.5484,196.4499,196.5424
2025-11-14,196.5424,197.3965,196.1814,197.0218
2025-11-17,197.0218,198.5262,196.911,197.7986
2025-11-18,197.7986,199.1624,197.201,199.069
2025-11-19,199.069,200.3083,199.0174,200.2567
2025-11-20,200.2567,200.3832,198.958,199.9573
2025-11-21,199.9573,200.1656,196.8813,197.4091
2025-11-24,197.4091,197.8912,195.8238,195.9223
2025-11-25,195.9223,196.0666,195.1457,195.9682
2025-11-26,195.9682,196.1746,195.571,196.1488
2025-11-27,196.1488,196.4128,195.0748,195.7315
2025-11-28,195.7315,198.2623,195.4158,198.2225
2025-12-01,198.2225,200.5066,197.5772,200.4221
2025-12-02,200.4221,200.5404,200.05,200.3088
2025-12-03,200.3088,200.4577,198.9356,199.2208
2025-12-04,199.2208,199.8753,197.6074,197.9545
2025-12-05,197.9545,198.2546,195.5894,195.8012
2025-12-08,195.8012,195.9742,193.9516,194.42
2025-12-09,194.42,195.4041,193.8915,195.3191
2025-12-10,195.3191,196.3725,193.0982,193.3345
2025-12-11,193.3345,193.7751,192.3655,192.7203
2025-12-12,192.7203,192.9207,192.3522,192.5498
2025-12-15,192.5498,193.1601,190.7008,191.3015
2025-12-16,191.3015,193.1397,190.5739,193.0754
2025-12-17,193.0754,194.6373,192.3177,194.2903
2025-12-18,194.2903,196.7524,193.0454,196.2867
2025-12-19,196.2867,196.9197,196.0357,196.6002
2025-12-22,196.6002,197.357,194.985,195.1045
2025-12-23,195.1045,195.7048,194.6457,195.6462
2025-12-24,195.6462,196.4094,195.065,196.032
2025-12-25,196.032,196.4063,195.6729,195.8439
2025-12-26,195.8439,196.303,195.0692,195.0772
2025-12-29,195.0772,196.4004,194.7666,196.2722
2025-12-30,196.2722,196.5145,195.802,196.4189
2025-12-31,196.4189,197.818,195.4921,197.5468
2026-01-01,197.5468,198.7318,196.4839,198.7234
