date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,93.486,93.752,93.482,93.66,93.554,93.769,93.524,93.673,0.013,3546.8
2014-01-02,93.66,93.966,93.153,93.366,93.669,93.975,93.161,93.378,0.012,118408.47
2014-01-03,93.366,94.037,92.895,93.754,93.376,94.046,92.906,93.842,0.088,133345.31
2014-01-06,94.049,94.069,93.196,93.457,94.055,94.075,93.201,93.468,0.011,129447.99
2014-01-07,93.457,93.539,92.991,93.374,93.469,93.552,93.0,93.387,0.013,128894.29
2014-01-08,93.374,93.822,93.16,93.184,93.386,93.834,93.168,93.198,0.014,136395.58
2014-01-09,93.185,93.427,92.933,93.25,93.198,93.434,92.942,93.262,0.012,116478.16
2014-01-10,93.248,93.714,93.035,93.664,93.262,93.751,93.044,93.75,0.086,120852.24
2014-01-13,93.658,93.854,93.181,93.292,93.67,93.864,93.193,93.3,0.008,150472.94
2014-01-14,93.288,93.553,92.972,93.355,93.296,93.566,92.98,93.367,0.012,147636.52
2014-01-15,93.354,93.419,92.729,93.13,93.364,93.43,92.738,93.137,0.007,123406.67
2014-01-16,93.127,93.164,91.623,91.982,93.137,93.174,91.635,91.993,0.011,134757.91
2014-01-17,91.98,92.106,91.404,91.546,91.991,92.115,91.413,91.671,0.125,100157.18
2014-01-20,91.456,91.908,91.05,91.778,91.464,91.933,91.06,91.788,0.01,91021.65
2014-01-21,91.774,92.433,91.543,91.733,91.787,92.438,91.555,91.744,0.011,120024.36
2014-01-22,91.735,92.693,91.67,92.547,91.744,92.701,91.694,92.563,0.016,133278.39
2014-01-23,92.547,92.614,90.23,90.542,92.56,92.628,90.242,90.555,0.013,199055.25
2014-01-24,90.541,90.861,88.534,88.749,90.553,90.873,88.545,88.87,0.121,196134.62
2014-01-27,88.768,90.076,88.605,89.639,88.784,90.087,88.614,89.65,0.011,204521.48
2014-01-28,89.636,91.009,89.542,90.698,89.647,91.049,89.552,90.709,0.011,177724.52
2014-01-29,90.696,91.112,89.025,89.46,90.709,91.124,89.04,89.475,0.015,216574.45
2014-01-30,89.456,90.491,88.968,90.355,89.472,90.506,88.982,90.369,0.014,183015.38
2014-01-31,90.361,90.727,88.86,89.265,90.37,90.741,88.868,89.394,0.129,178312.77
