date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-02,110.98,111.345,107.66,107.843,111.024,111.368,107.695,107.874,0.031,1.37
2014-01-03,107.86,108.632,106.789,106.943,107.893,108.669,106.814,106.974,0.031,1.17
2014-01-06,106.998,107.943,106.711,107.036,107.037,107.977,106.765,107.072,0.036,0.91
2014-01-07,107.047,107.705,106.872,107.41,107.078,107.735,106.917,107.436,0.026,0.94
2014-01-08,107.445,107.933,106.99,107.398,107.466,107.958,107.023,107.433,0.035,0.89
2014-01-09,107.316,108.185,106.119,106.431,107.353,108.224,106.155,106.478,0.047,1.01
2014-01-10,106.523,107.52,106.032,107.52,106.566,107.549,106.062,107.549,0.029,1.21
2014-01-13,107.219,107.461,106.439,106.456,107.259,107.488,106.476,106.516,0.06,0.93
2014-01-14,106.645,107.13,106.056,106.122,106.712,107.165,106.094,106.147,0.025,0.78
2014-01-15,106.124,107.545,105.793,106.999,106.151,107.575,105.839,107.028,0.029,0.47
2014-01-16,107.012,107.354,106.739,107.067,107.039,107.413,106.826,107.093,0.026,0.03
2014-01-17,105.579,106.948,105.46,106.294,105.604,106.975,105.486,106.322,0.028,1.08
2014-01-20,106.355,106.641,105.827,106.24,106.39,106.679,105.855,106.284,0.044,0.44
2014-01-21,106.304,107.999,106.304,106.856,106.336,108.028,106.336,106.909,0.053,1.17
2014-01-22,106.863,108.324,106.85,108.102,106.952,108.357,106.923,108.154,0.052,1.06
2014-01-23,108.011,108.282,107.38,107.531,108.041,108.31,107.408,107.575,0.044,1.21
2014-01-24,107.599,108.024,106.235,107.908,107.627,108.055,106.268,107.951,0.043,1.53
2014-01-27,107.736,107.795,106.882,106.996,107.771,107.827,106.935,107.027,0.031,0.87
2014-01-28,106.937,107.766,106.79,107.451,106.999,107.813,106.84,107.536,0.085,84.56
2014-01-29,107.341,108.005,106.903,107.74,107.432,108.067,106.964,107.841,0.101,94.92
2014-01-30,107.781,108.373,107.633,107.77,107.933,108.418,107.698,107.825,0.055,75.16
2014-01-31,107.835,107.894,106.293,106.331,107.929,107.954,106.356,106.383,0.052,107.1
2014-02-03,106.051,106.531,105.584,106.069,106.102,106.599,105.635,106.127,0.058,57.24
2014-02-04,105.862,106.192,105.463,106.006,105.999,106.255,105.527,106.061,0.055,84.38
2014-02-05,105.933,106.399,105.556,106.173,105.997,106.451,105.61,106.266,0.093,90.56
2014-02-06,106.23,106.528,106.133,106.486,106.326,106.586,106.202,106.534,0.048,5.88
2014-02-07,107.252,108.849,106.863,108.806,107.307,108.91,106.928,108.856,0.05,59.46
2014-02-10,109.045,109.545,108.394,108.473,109.1,109.606,108.482,108.543,0.07,66.18
2014-02-11,108.462,109.196,108.455,108.71,108.549,109.26,108.513,108.763,0.053,53.56
2014-02-12,108.71,109.458,108.663,109.26,108.834,109.519,108.728,109.336,0.076,11.92
2014-02-13,108.349,108.714,107.816,108.554,108.498,108.788,107.864,108.625,0.071,1.15
2014-02-14,108.496,109.226,107.836,108.922,108.616,109.278,107.884,109.008,0.086,0.19
2014-02-17,109.223,109.256,108.634,109.052,109.305,109.32,108.684,109.126,0.074,0.08
2014-02-18,109.035,110.667,108.803,110.526,109.12,110.73,108.866,110.658,0.132,0.17
2014-02-19,110.485,110.797,109.992,110.398,110.546,110.844,110.053,110.494,0.096,0.19
2014-02-20,110.328,110.458,109.542,110.447,110.419,110.518,109.605,110.514,0.067,0.17
2014-02-21,110.282,110.367,109.336,109.785,110.511,110.511,109.382,109.859,0.074,0.18
2014-02-24,110.162,110.757,109.472,110.614,110.255,110.806,109.533,110.734,0.12,0.17
2014-02-25,110.509,110.587,109.391,109.511,110.663,110.663,109.464,109.702,0.191,0.2
2014-02-26,109.526,109.947,109.181,109.386,109.681,109.994,109.243,109.532,0.146,76.16
2014-02-27,109.301,109.415,108.633,108.743,109.433,109.478,108.678,108.865,0.122,69.16
2014-02-28,108.772,109.326,108.372,109.094,108.875,109.374,108.433,109.167,0.073,33.23
2014-03-03,110.897,112.346,110.34,111.226,111.039,112.418,110.424,111.299,0.073,44.24
2014-03-04,111.016,111.285,108.968,109.124,111.095,111.349,109.043,109.203,0.079,30.15
2014-03-05,109.024,109.336,107.522,107.672,109.199,109.399,107.586,107.782,0.11,16.19
2014-03-06,107.61,108.515,107.342,108.295,107.707,108.579,107.406,108.423,0.128,34.16
2014-03-07,108.23,109.066,107.792,108.738,108.364,109.116,107.854,108.817,0.079,42.81
2014-03-10,108.612,108.765,107.721,107.814,108.687,108.829,107.772,107.873,0.059,19.88
2014-03-11,107.844,108.676,107.816,108.338,107.902,108.727,107.864,108.485,0.147,212.66
2014-03-12,108.284,108.536,107.594,108.257,108.356,108.577,107.633,108.357,0.1,251.83
2014-03-13,108.173,108.477,106.967,107.394,108.264,108.538,107.016,107.446,0.052,136.49
2014-03-14,106.985,108.438,106.795,108.246,107.056,108.486,106.865,108.313,0.067,0.21
2014-03-17,108.34,108.367,106.126,106.304,108.415,108.426,106.184,106.468,0.164,144.51
2014-03-18,106.295,106.828,105.855,106.625,106.371,106.875,105.894,106.758,0.133,172.74
2014-03-19,106.576,106.846,105.748,105.756,106.636,106.909,105.793,105.912,0.156,168.76
2014-03-20,105.782,106.716,105.401,106.202,105.863,106.767,105.474,106.305,0.103,132.33
2014-03-21,106.245,107.738,105.975,107.06,106.33,107.787,106.046,107.216,0.156,226.76
2014-03-24,106.752,107.478,106.42,106.517,106.829,107.527,106.484,106.618,0.101,111.42
2014-03-25,106.454,107.456,106.411,106.529,106.528,107.505,106.472,107.008,0.479,151.58
2014-03-26,106.934,107.326,106.465,106.933,106.996,107.369,106.512,107.016,0.083,224.3
2014-03-27,106.83,107.966,106.732,107.605,106.862,108.014,106.782,107.684,0.079,64.74
2014-03-28,107.645,108.367,107.612,107.872,107.724,108.415,107.682,108.032,0.16,171.2
2014-03-31,107.981,108.305,107.034,107.674,108.045,108.356,107.083,107.809,0.135,148.32
2014-04-01,107.67,107.766,105.081,105.206,107.763,107.813,105.132,105.303,0.097,262.78
2014-04-02,105.381,105.815,103.947,104.574,105.44,105.877,103.995,104.776,0.202,84.25
2014-04-03,104.538,106.286,104.421,106.152,104.648,106.346,104.492,106.243,0.091,0.22
2014-04-04,106.141,107.023,106.071,106.603,106.217,107.065,106.138,106.696,0.093,78.74
2014-04-07,106.053,106.602,105.105,105.913,106.117,106.656,105.155,106.023,0.11,246.76
2014-04-08,105.978,107.816,105.763,107.488,106.098,107.878,105.813,107.644,0.156,192.94
2014-04-09,107.597,108.099,107.101,107.735,107.664,108.142,107.154,107.946,0.211,249.37
2014-04-10,107.745,107.866,107.256,107.287,107.824,107.918,107.303,107.403,0.116,167.5
2014-04-11,107.256,107.846,106.952,107.145,107.312,107.894,107.003,107.225,0.08,125.16
2014-04-14,107.775,109.086,107.22,109.046,107.839,109.136,107.294,109.108,0.062,68.21
2014-04-15,108.851,109.718,108.295,109.15,108.937,109.766,108.358,109.244,0.094,0.2
2014-04-16,109.127,110.326,108.969,109.608,109.195,110.376,109.032,109.732,0.124,0.21
2014-04-17,109.574,110.167,109.043,109.647,109.645,110.216,109.104,109.729,0.082,0.18
2014-04-21,109.334,110.027,108.863,109.937,109.407,110.076,108.935,109.997,0.06,0.12
2014-04-22,109.804,109.965,108.513,109.334,109.889,110.027,108.565,109.524,0.19,0.21
2014-04-23,109.416,109.512,108.585,109.057,109.489,109.557,108.632,109.2,0.143,0.48
2014-04-24,109.233,110.612,109.047,110.358,109.292,110.666,109.116,110.501,0.143,0.22
2014-04-25,110.464,110.593,109.234,109.475,110.525,110.657,109.283,109.553,0.078,0.23
2014-04-28,109.77,110.163,107.843,108.084,109.853,110.227,107.894,108.158,0.074,0.23
2014-04-29,108.156,109.334,108.136,108.782,108.215,109.384,108.203,108.934,0.152,0.17
2014-04-30,108.615,108.747,107.526,108.147,108.696,108.817,107.572,108.25,0.103,0.24
2014-05-01,108.037,108.058,106.833,107.617,108.107,108.124,106.884,107.812,0.195,0.21
2014-05-02,107.612,108.924,107.591,108.574,107.699,108.974,107.653,108.648,0.074,0.22
2014-05-05,108.503,108.874,107.034,107.464,108.583,108.935,107.082,107.63,0.166,0.2
2014-05-06,107.501,108.175,106.943,107.028,107.601,108.228,107.003,107.218,0.19,139.49
2014-05-07,107.156,108.226,106.941,108.072,107.249,108.277,106.983,108.147,0.075,229.29
2014-05-08,108.005,108.124,107.365,107.962,108.066,108.175,107.403,108.066,0.104,189.61
2014-05-09,108.013,108.995,107.613,107.917,108.078,109.045,107.655,107.987,0.07,232.87
2014-05-12,108.207,108.732,108.066,108.36,108.224,108.796,108.112,108.459,0.099,157.58
2014-05-13,108.375,109.426,108.022,109.297,108.447,109.504,108.084,109.426,0.129,0.17
2014-05-14,109.323,110.387,109.233,110.097,109.418,110.437,109.364,110.156,0.059,169.7
2014-05-15,109.232,110.468,108.815,110.354,109.391,110.533,108.866,110.458,0.104,20.03
2014-05-16,108.897,110.016,108.862,109.686,110.563,110.563,108.914,109.758,0.072,154.0
2014-05-19,109.813,110.306,109.273,109.333,109.898,110.348,109.334,109.396,0.063,231.17
2014-05-20,109.277,109.977,109.086,109.757,109.385,110.024,109.133,109.876,0.119,241.22
2014-05-21,109.725,110.706,109.668,110.383,109.832,110.758,109.724,110.564,0.181,167.49
2014-05-22,110.395,111.004,110.145,110.366,110.53,111.053,110.194,110.444,0.078,6.32
2014-05-23,110.336,110.657,110.222,110.546,110.413,110.736,110.272,110.617,0.071,0.17
2014-05-26,110.384,110.456,109.721,110.343,110.542,110.542,109.784,110.394,0.051,0.07
2014-05-27,110.325,110.776,109.694,110.161,110.373,110.827,109.745,110.267,0.106,0.17
2014-05-28,110.162,110.367,109.395,109.935,110.243,110.429,109.445,110.087,0.152,0.22
2014-05-29,109.868,110.438,109.691,110.042,110.031,110.476,109.754,110.106,0.064,72.72
2014-05-30,109.99,110.097,109.205,109.524,110.466,110.487,109.253,109.598,0.074,83.65
2014-06-02,109.522,109.828,108.604,108.775,109.627,109.9,108.653,108.875,0.1,0.21
2014-06-03,108.773,108.957,108.306,108.826,108.902,109.018,108.364,108.905,0.079,10.4
2014-06-04,108.831,109.467,108.04,108.043,108.926,109.526,108.116,108.135,0.092,0.23
2014-06-05,108.042,108.927,107.753,108.856,108.148,108.999,107.804,108.926,0.07,9.06
2014-06-06,108.826,109.277,108.443,108.744,108.997,109.334,108.472,108.815,0.071,83.24
2014-06-09,108.553,110.138,108.523,109.895,108.66,110.188,108.594,109.984,0.089,99.99
2014-06-10,109.914,110.297,109.084,109.613,110.032,110.344,109.136,109.693,0.08,156.21
2014-06-11,109.577,110.207,109.394,110.031,109.698,110.28,109.464,110.138,0.107,11.3
2014-06-12,110.031,113.036,109.954,112.997,110.112,113.087,110.033,113.074,0.077,0.22
