date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-02,3.4149,3.4219,3.3748,3.3849,3.4171,3.4241,3.3771,3.3871,0.0022,0.09
2014-01-03,3.3838,3.3869,3.3449,3.3498,3.3861,3.3892,3.3471,3.353,0.0032,0.14
2014-01-06,3.3509,3.3629,3.3298,3.3569,3.3532,3.3652,3.332,3.3601,0.0032,0.15
2014-01-07,3.3568,3.365,3.3409,3.3579,3.3592,3.3672,3.343,3.3601,0.0022,0.12
2014-01-08,3.359,3.375,3.3339,3.3428,3.3612,3.3772,3.336,3.3451,0.0023,0.11
2014-01-09,3.3439,3.355,3.2878,3.2908,3.3461,3.3572,3.2902,3.2931,0.0023,0.15
2014-01-10,3.2898,3.345,3.2888,3.342,3.2931,3.3472,3.291,3.3441,0.0021,0.14
2014-01-13,3.354,3.3618,3.3129,3.3439,3.3562,3.3642,3.3152,3.3461,0.0022,0.13
2014-01-14,3.3438,3.3499,3.3198,3.331,3.3472,3.3522,3.3221,3.333,0.002,0.11
2014-01-15,3.3299,3.362,3.3068,3.3518,3.3321,3.3641,3.309,3.354,0.0022,0.12
2014-01-16,3.3528,3.3679,3.3279,3.339,3.355,3.3702,3.3301,3.3411,0.0021,0.11
2014-01-17,3.3379,3.3629,3.3258,3.3418,3.3401,3.3652,3.328,3.3441,0.0023,0.1
2014-01-20,3.3439,3.3549,3.3328,3.3379,3.3461,3.3571,3.335,3.3401,0.0022,0.07
2014-01-21,3.3378,3.3569,3.3139,3.346,3.341,3.3591,3.316,3.3481,0.0021,0.11
2014-01-22,3.345,3.354,3.3219,3.327,3.3471,3.3562,3.324,3.3292,0.0022,0.09
2014-01-23,3.3269,3.337,3.2767,3.2779,3.3301,3.3392,3.279,3.2801,0.0022,0.15
2014-01-24,3.2768,3.299,3.2599,3.2619,3.2791,3.3012,3.2621,3.2641,0.0022,0.12
2014-01-27,3.2609,3.286,3.2527,3.2528,3.264,3.2881,3.255,3.2552,0.0024,0.12
2014-01-28,3.252,3.2719,3.2449,3.2478,3.255,3.2741,3.247,3.2501,0.0023,0.1
2014-01-29,3.2489,3.2679,3.2359,3.249,3.2512,3.2701,3.2381,3.251,0.002,0.1
2014-01-30,3.249,3.258,3.2108,3.2249,3.2522,3.2602,3.213,3.227,0.0021,0.12
2014-01-31,3.2258,3.2289,3.1889,3.192,3.2282,3.2311,3.191,3.1941,0.0021,0.11
2014-02-03,3.1949,3.201,3.1739,3.1779,3.197,3.2032,3.1761,3.1801,0.0022,0.1
2014-02-04,3.1789,3.2049,3.1778,3.193,3.1812,3.2072,3.1801,3.1951,0.0021,0.08
2014-02-05,3.1928,3.215,3.1838,3.1919,3.1963,3.2172,3.1861,3.1941,0.0022,0.07
2014-02-06,3.193,3.243,3.1899,3.225,3.1952,3.246,3.1921,3.2272,0.0022,0.1
2014-02-07,3.2258,3.247,3.2248,3.2438,3.228,3.2492,3.227,3.2461,0.0023,0.1
2014-02-10,3.2429,3.251,3.2138,3.2218,3.2452,3.2532,3.216,3.224,0.0022,0.09
2014-02-11,3.223,3.2319,3.2018,3.224,3.225,3.2341,3.2041,3.2262,0.0022,0.12
2014-02-12,3.2229,3.262,3.2198,3.252,3.2252,3.2642,3.222,3.255,0.003,0.11
2014-02-13,3.2518,3.255,3.2188,3.2469,3.2542,3.2572,3.2211,3.2502,0.0033,0.1
2014-02-14,3.2469,3.269,3.243,3.2609,3.2491,3.2712,3.2452,3.2631,0.0022,0.09
2014-02-17,3.2939,3.2949,3.2738,3.28,3.2962,3.2972,3.276,3.2833,0.0033,0.08
2014-02-18,3.2809,3.288,3.2549,3.2848,3.2831,3.2902,3.2571,3.287,0.0022,0.08
2014-02-19,3.2849,3.3009,3.2727,3.2769,3.2881,3.303,3.275,3.2791,0.0022,0.09
