date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,9552.136,9552.148,9552.133,9552.14,9552.172,9552.187,9552.172,9552.182,0.042,0.2
2014-01-02,9552.14,9627.298,9371.997,9403.397,9552.174,9629.303,9373.003,9411.403,8.006,8.63
2014-01-03,9403.398,9452.52,9353.897,9435.137,9411.402,9453.302,9361.902,9435.168,0.031,10.15
2014-01-06,9431.897,9469.998,9397.797,9436.698,9439.903,9471.003,9398.803,9444.702,8.004,9.71
2014-01-07,9437.297,9518.608,9415.798,9489.998,9445.303,9518.803,9416.802,9498.002,8.004,11.13
2014-01-08,9494.0,9524.497,9467.298,9480.398,9506.221,9526.503,9468.184,9488.402,8.004,9.88
2014-01-09,9480.397,9549.798,9403.498,9452.797,9488.403,9550.803,9404.239,9460.803,8.006,10.06
2014-01-10,9452.198,9531.798,9441.998,9473.226,9460.202,9532.802,9443.002,9473.26,0.034,8.97
2014-01-13,9507.997,9518.998,9426.297,9453.198,9516.003,9520.002,9427.302,9461.202,8.004,13.2
2014-01-14,9453.197,9573.498,9381.997,9567.597,9461.203,9580.502,9382.485,9575.603,8.006,13.21
2014-01-15,9567.598,9774.497,9552.453,9754.998,9575.602,9775.503,9567.202,9763.002,8.004,12.0
2014-01-16,9754.997,9761.798,9702.943,9717.198,9763.003,9769.803,9702.994,9725.202,8.004,4.34
2014-01-17,9717.197,9791.297,9695.998,9719.697,9725.203,9792.303,9697.002,9727.703,8.006,11.23
2014-01-20,9718.097,9733.1,9671.797,9717.297,9726.103,9734.003,9672.803,9725.303,8.006,12.44
2014-01-21,9717.298,9794.298,9712.797,9738.798,9725.302,9795.302,9713.802,9746.802,8.004,12.52
2014-01-22,9738.797,9771.198,9675.998,9748.697,9746.803,9779.203,9677.002,9756.703,8.006,11.69
2014-01-23,9748.698,9748.698,9595.297,9642.998,9756.702,9756.702,9596.377,9651.002,8.004,10.8
2014-01-24,9641.797,9666.297,9319.697,9392.001,9649.803,9667.303,9327.703,9392.036,0.035,10.26
2014-01-27,9392.005,9402.583,9310.965,9349.205,9392.04,9402.634,9311.008,9349.233,0.028,27.55
2014-01-28,9349.204,9427.532,9345.746,9406.893,9349.245,9427.572,9345.773,9406.929,0.036,267.94
2014-01-29,9406.887,9537.583,9221.276,9336.704,9406.923,9537.622,9221.319,9336.752,0.048,276.28
2014-01-30,9336.716,9415.454,9266.937,9373.463,9336.751,9415.493,9266.967,9373.505,0.042,258.08
2014-01-31,9373.465,9373.467,9166.025,9306.457,9373.505,9373.506,9166.073,9306.503,0.046,272.02
2014-02-03,9306.459,9357.533,9173.547,9186.505,9306.506,9357.563,9173.585,9186.544,0.039,251.12
2014-02-04,9186.499,9186.506,9071.566,9127.893,9186.539,9186.547,9071.603,9127.929,0.036,261.14
2014-02-05,9127.895,9154.702,9080.856,9116.294,9127.926,9154.74,9080.897,9116.345,0.051,254.32
2014-02-06,9116.302,9207.034,9116.293,9207.034,9116.337,9207.074,9116.334,9207.074,0.04,53.4
2014-02-07,9275.944,9349.498,9223.305,9346.397,9275.975,9355.602,9223.34,9354.403,8.006,191.18
2014-02-10,9338.098,9347.297,9279.297,9298.398,9346.102,9352.703,9280.303,9306.402,8.004,99.44
2014-02-11,9298.397,9516.297,9289.833,9485.597,9306.403,9517.303,9298.5,9493.603,8.006,94.02
2014-02-12,9485.898,9596.297,9478.744,9545.298,9493.902,9597.303,9478.782,9553.302,8.004,98.69
2014-02-13,9544.997,9639.798,9478.497,9626.897,9553.003,9640.802,9479.503,9634.903,8.006,132.57
2014-02-14,9627.498,9677.498,9584.698,9662.252,9635.502,9678.503,9592.702,9662.421,0.169,147.59
2014-02-17,9652.997,9681.798,9642.197,9658.797,9661.003,9682.802,9645.07,9666.803,8.006,137.86
2014-02-18,9658.798,9691.798,9611.998,9630.197,9666.802,9692.802,9613.002,9638.203,8.006,0.52
2014-02-19,9630.198,9696.297,9576.997,9587.098,9638.202,9697.303,9578.003,9595.102,8.004,0.36
2014-02-20,9587.697,9624.298,9500.798,9610.097,9595.703,9625.303,9501.802,9618.103,8.006,1.12
2014-02-21,9610.098,9667.997,9596.998,9620.997,9618.102,9670.003,9598.002,9629.003,8.006,0.54
2014-02-24,9623.698,9734.298,9597.198,9696.197,9631.702,9735.302,9602.803,9704.203,8.006,0.53
2014-02-25,9696.198,9711.497,9627.297,9684.797,9704.202,9712.503,9628.303,9692.803,8.006,0.29
2014-02-26,9684.798,9720.298,9609.498,9638.998,9692.802,9721.302,9610.502,9647.002,8.004,40.59
2014-02-27,9638.997,9671.998,9496.497,9602.997,9647.003,9673.002,9497.503,9611.003,8.006,145.73
2014-02-28,9602.998,9695.797,9564.798,9649.297,9611.002,9696.803,9565.815,9657.303,8.006,96.99
2014-03-03,9551.798,9572.398,9320.797,9349.797,9559.802,9580.402,9321.803,9357.803,8.006,153.1
2014-03-04,9349.498,9590.297,9349.397,9551.897,9357.502,9591.303,9357.402,9559.903,8.006,131.1
2014-03-05,9552.197,9599.997,9523.497,9549.998,9560.203,9601.003,9524.503,9558.002,8.004,94.3
2014-03-06,9549.698,9588.298,9503.497,9530.398,9557.702,9589.302,9504.503,9538.402,8.004,48.14
2014-03-07,9530.397,9554.498,9344.797,9394.597,9538.403,9556.502,9345.802,9402.603,8.006,124.67
