date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,0.82973,0.83042,0.82973,0.83022,0.83045,0.83101,0.82995,0.8303,8e-05,2053.01
2014-01-02,0.83016,0.83194,0.827,0.83075,0.8303,0.832,0.82711,0.83083,8e-05,99802.74
2014-01-03,0.83074,0.83163,0.82748,0.82748,0.83083,0.83172,0.82765,0.82765,0.00017,88979.78
2014-01-06,0.82835,0.83315,0.82797,0.83036,0.82847,0.8332,0.82804,0.83045,9e-05,74793.83
2014-01-07,0.83038,0.83204,0.82919,0.83031,0.83046,0.83214,0.82924,0.8304,9e-05,64908.79
2014-01-08,0.8303,0.83163,0.8242,0.82524,0.83039,0.83173,0.82426,0.82533,9e-05,71914.18
2014-01-09,0.82529,0.82769,0.82304,0.82573,0.82533,0.82775,0.82312,0.82583,0.0001,68603.32
2014-01-10,0.82572,0.83065,0.8256,0.82912,0.82581,0.83093,0.82567,0.82946,0.00034,68917.73
2014-01-13,0.82885,0.83483,0.82845,0.83402,0.82894,0.83494,0.82849,0.83408,6e-05,65192.7
2014-01-14,0.83402,0.83427,0.83074,0.83165,0.83408,0.83435,0.83084,0.83174,9e-05,66092.62
2014-01-15,0.83166,0.83298,0.8286,0.83117,0.83174,0.83306,0.82866,0.83126,9e-05,72294.19
2014-01-16,0.83116,0.83408,0.83079,0.83291,0.83125,0.83417,0.83087,0.83303,0.00012,68148.93
2014-01-17,0.83291,0.83395,0.82336,0.82412,0.83302,0.834,0.82342,0.82472,0.0006,61370.13
2014-01-20,0.82392,0.82629,0.82326,0.82461,0.82399,0.82636,0.82333,0.82469,8e-05,46092.27
2014-01-21,0.82459,0.82547,0.82145,0.82293,0.82466,0.82553,0.8215,0.82301,8e-05,59431.68
2014-01-22,0.82293,0.82359,0.81681,0.81778,0.82302,0.82366,0.81687,0.81782,4e-05,61309.51
2014-01-23,0.81778,0.82476,0.81719,0.82292,0.81783,0.82482,0.81727,0.82302,0.0001,75799.33
2014-01-24,0.82298,0.83006,0.82095,0.82943,0.82302,0.83015,0.82104,0.83015,0.00072,91804.02
2014-01-27,0.82983,0.83024,0.8237,0.82506,0.82997,0.83033,0.82379,0.8251,4e-05,74634.05
2014-01-28,0.82507,0.82532,0.82224,0.8241,0.82517,0.82544,0.8223,0.82419,9e-05,71446.05
