date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,144.814,145.109,144.735,144.997,144.91,145.153,144.829,145.017,0.02,3811.47
2014-01-02,144.99,145.02,142.842,143.27,145.007,145.037,142.85,143.276,0.006,170364.09
2014-01-03,143.267,143.314,141.962,142.424,143.273,143.32,141.972,142.508,0.084,143298.25
2014-01-06,142.632,142.776,141.499,142.05,142.642,142.784,141.506,142.06,0.01,154982.52
2014-01-07,142.05,142.607,141.943,142.59,142.06,142.615,141.946,142.599,0.009,144902.48
2014-01-08,142.59,143.169,142.12,142.284,142.599,143.179,142.127,142.288,0.004,163581.47
2014-01-09,142.285,143.032,142.042,142.642,142.293,143.04,142.049,142.647,0.005,153421.84
2014-01-10,142.643,143.061,142.057,142.321,142.647,143.09,142.066,142.459,0.138,154164.94
2014-01-13,142.107,142.167,140.498,140.942,142.117,142.172,140.502,140.949,0.007,157047.91
2014-01-14,140.942,142.63,140.787,142.399,140.949,142.637,140.795,142.408,0.009,163920.39
2014-01-15,142.398,142.591,141.799,142.242,142.408,142.6,141.801,142.25,0.008,144536.55
2014-01-16,142.242,142.909,141.708,142.006,142.248,142.916,141.716,142.014,0.008,144431.89
2014-01-17,142.004,142.161,140.97,141.199,142.012,142.169,140.984,141.298,0.099,122526.01
2014-01-20,141.015,141.379,140.32,141.207,141.021,141.386,140.33,141.219,0.012,98653.82
2014-01-21,141.207,141.855,141.031,141.299,141.219,141.862,141.038,141.308,0.009,138905.2
2014-01-22,141.301,141.829,141.055,141.739,141.308,141.835,141.058,141.747,0.008,136333.89
2014-01-23,141.738,142.415,141.03,141.518,141.747,142.42,141.037,141.533,0.015,196092.52
2014-01-24,141.518,141.772,139.758,139.901,141.531,141.779,139.762,139.99,0.089,219284.7
2014-01-27,139.746,140.696,139.681,140.395,139.76,140.7,139.69,140.403,0.008,207526.97
2014-01-28,140.393,141.25,140.173,140.97,140.4,141.289,140.179,140.975,0.005,168828.77
2014-01-29,140.971,141.248,139.044,139.693,140.979,141.257,139.048,139.698,0.005,210925.5
2014-01-30,139.693,139.945,138.893,139.285,139.696,139.949,138.898,139.29,0.005,180732.97
2014-01-31,139.287,139.501,137.508,137.555,139.29,139.509,137.512,137.654,0.099,177311.92
2014-02-03,137.894,138.103,136.359,136.826,137.9,138.11,136.368,136.833,0.007,195820.91
2014-02-04,136.824,137.543,136.227,137.447,136.833,137.548,136.233,137.455,0.008,188275.56
2014-02-05,137.445,137.451,136.547,137.325,137.455,137.463,136.556,137.333,0.008,183316.55
2014-02-06,137.325,138.825,136.757,138.691,137.332,138.833,136.767,138.699,0.008,153225.62
2014-02-07,138.691,139.601,138.168,139.51,138.699,139.625,138.176,139.59,0.08,145216.73
2014-02-10,139.601,139.649,139.168,139.37,139.607,139.655,139.172,139.379,0.009,108962.98
2014-02-11,139.37,140.304,139.276,139.817,139.379,140.31,139.284,139.828,0.011,121126.62
2014-02-12,139.817,139.966,138.671,139.231,139.828,139.973,138.675,139.236,0.005,132510.91
2014-02-13,139.231,139.916,138.874,139.739,139.236,139.921,138.882,139.747,0.008,148595.3
2014-02-14,139.739,140.065,138.987,139.378,139.747,140.072,138.998,139.434,0.056,136062.84
2014-02-17,139.15,139.953,138.948,139.885,139.155,139.962,138.958,139.89,0.005,96361.56
2014-02-18,139.885,141.033,139.492,140.786,139.89,141.037,139.505,140.795,0.009,145000.17
2014-02-19,140.786,140.874,140.0,140.468,140.794,140.877,140.004,140.473,0.005,127335.91
2014-02-20,140.468,140.622,139.199,140.391,140.476,140.628,139.208,140.398,0.007,146013.28
2014-02-21,140.391,141.268,140.314,140.77,140.401,141.275,140.322,140.86,0.09,114531.27
2014-02-24,140.859,141.043,140.344,140.79,140.869,141.046,140.35,140.791,0.001,117225.56
2014-02-25,140.79,140.965,140.13,140.419,140.794,140.971,140.137,140.428,0.009,122793.99
2014-02-26,140.419,140.785,139.652,139.964,140.428,140.792,139.657,139.968,0.004,131463.94
2014-02-27,139.962,140.222,138.791,139.962,139.968,140.227,138.795,139.969,0.007,146229.44
2014-02-28,139.961,141.115,139.118,140.45,139.969,141.119,139.124,140.549,0.099,154233.66
2014-03-03,139.585,139.878,139.15,139.306,139.591,139.886,139.157,139.311,0.005,146674.45
2014-03-04,139.306,140.578,139.306,140.462,139.311,140.59,139.311,140.469,0.007,146410.94
2014-03-05,140.461,140.78,140.189,140.555,140.467,140.787,140.196,140.566,0.011,133560.42
2014-03-06,140.555,142.992,140.503,142.873,140.566,143.011,140.507,142.883,0.01,152150.16
2014-03-07,142.873,143.791,142.536,143.322,142.881,143.794,142.543,143.332,0.01,137571.75
2014-03-10,143.182,143.614,142.851,143.281,143.191,143.621,142.857,143.286,0.005,115682.98
2014-03-11,143.28,143.441,142.388,142.518,143.286,143.446,142.391,142.524,0.006,126370.7
2014-03-12,142.518,142.968,142.236,142.943,142.524,142.971,142.245,142.949,0.006,132235.23
2014-03-13,142.943,143.379,140.713,141.114,142.948,143.385,140.717,141.118,0.004,176915.12
2014-03-14,141.113,141.508,140.446,140.985,141.117,141.513,140.452,141.081,0.096,157122.58
2014-03-17,140.98,141.979,140.894,141.899,140.984,141.981,140.898,141.906,0.007,125241.58
2014-03-18,141.899,141.961,140.74,141.348,141.904,141.967,140.747,141.352,0.004,135633.12
2014-03-19,141.348,141.923,141.064,141.542,141.352,141.926,141.07,141.549,0.007,137055.98
2014-03-20,141.544,141.73,140.821,141.1,141.549,141.733,140.826,141.106,0.006,141943.55
2014-03-21,141.1,141.295,140.44,141.046,141.106,141.3,140.446,141.119,0.073,100783.31
2014-03-24,141.094,141.887,140.725,141.464,141.095,141.891,140.731,141.471,0.007,136563.69
2014-03-25,141.463,141.595,140.697,141.373,141.469,141.6,140.702,141.38,0.007,150689.69
2014-03-26,141.373,141.502,140.341,140.499,141.376,141.51,140.35,140.505,0.006,143462.98
2014-03-27,140.499,141.037,140.18,140.377,140.502,141.043,140.188,140.385,0.008,151511.66
2014-03-28,140.378,141.647,139.962,141.372,140.385,141.649,139.97,141.438,0.066,134176.77
2014-03-31,141.519,142.602,141.32,142.165,141.523,142.608,141.327,142.171,0.006,148986.44
2014-04-01,142.165,143.065,142.006,142.959,142.173,143.069,142.012,142.965,0.006,127111.09
2014-04-02,142.959,143.474,142.723,142.992,142.964,143.48,142.731,143.0,0.008,127991.05
2014-04-03,142.992,143.435,142.304,142.576,142.998,143.444,142.307,142.579,0.003,126075.95
2014-04-04,142.576,142.6,141.38,141.525,142.578,142.604,141.392,141.592,0.067,118539.24
2014-04-07,141.589,141.894,141.12,141.639,141.596,141.899,141.125,141.645,0.006,132569.19
2014-04-08,141.639,141.642,140.081,140.624,141.647,141.649,140.087,140.629,0.005,179219.0
2014-04-09,140.624,141.496,140.454,141.467,140.627,141.5,140.458,141.47,0.003,133312.69
2014-04-10,141.466,141.552,140.599,140.799,141.47,141.558,140.604,140.805,0.006,155504.73
2014-04-11,140.798,141.554,140.648,141.096,140.805,141.561,140.651,141.134,0.038,150792.47
2014-04-14,140.479,140.923,140.434,140.801,140.487,140.929,140.441,140.808,0.007,117542.17
2014-04-15,140.8,140.903,140.233,140.697,140.806,140.909,140.239,140.704,0.007,142319.12
2014-04-16,140.697,141.762,140.679,141.292,140.704,141.767,140.685,141.299,0.007,134300.95
2014-04-17,141.292,141.623,140.988,141.499,141.299,141.63,140.991,141.512,0.013,118380.45
2014-04-18,141.499,141.651,141.372,141.403,141.513,141.659,141.379,141.56,0.157,43018.11
2014-04-21,141.678,141.822,141.407,141.615,141.687,141.829,141.412,141.623,0.008,72337.95
2014-04-22,141.615,141.772,141.214,141.699,141.62,141.779,141.221,141.705,0.006,113327.34
2014-04-23,141.699,141.997,141.187,141.617,141.706,142.002,141.19,141.622,0.005,122906.58
2014-04-24,141.617,141.791,141.046,141.497,141.621,141.796,141.05,141.503,0.006,127422.57
2014-04-25,141.497,141.748,141.035,141.329,141.503,141.75,141.04,141.392,0.063,116449.38
2014-04-28,141.299,142.146,140.991,142.02,141.303,142.148,140.998,142.022,0.002,129468.95
2014-04-29,142.016,142.47,141.588,141.668,142.022,142.476,141.592,141.676,0.008,121584.33
2014-04-30,141.668,142.142,141.128,141.771,141.674,142.167,141.133,141.774,0.003,150895.19
2014-05-01,141.769,142.01,141.67,141.859,141.774,142.018,141.675,141.865,0.006,93630.36
2014-05-02,141.857,142.376,141.642,141.732,141.865,142.451,141.65,141.816,0.084,123750.5
2014-05-05,141.782,141.801,141.287,141.721,141.789,141.809,141.294,141.725,0.004,90378.81
2014-05-06,141.721,142.092,141.357,141.694,141.727,142.1,141.363,141.702,0.008,123936.24
2014-05-07,141.694,142.005,141.152,141.706,141.702,142.009,141.161,141.711,0.005,145497.84
2014-05-08,141.704,142.364,140.529,140.629,141.711,142.368,140.535,140.637,0.008,164145.16
2014-05-09,140.629,140.804,139.884,140.046,140.637,140.812,139.89,140.14,0.094,135748.09
2014-05-12,140.197,140.633,140.134,140.562,140.203,140.639,140.14,140.57,0.008,110481.83
2014-05-13,140.562,140.944,139.99,140.139,140.568,140.951,139.995,140.147,0.008,145107.52
2014-05-14,140.139,140.275,139.462,139.616,140.145,140.283,139.468,139.624,0.008,134291.09
