date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,1.37553,1.3772,1.3739,1.37653,1.37637,1.37754,1.37422,1.37667,0.00014,2724.89
2014-01-02,1.37653,1.37746,1.36294,1.36653,1.37667,1.37755,1.36299,1.36656,3e-05,199117.53
2014-01-03,1.36653,1.36719,1.3582,1.35874,1.36656,1.36725,1.35826,1.359,0.00026,193632.84
2014-01-06,1.35957,1.36527,1.35715,1.36296,1.35958,1.36536,1.35717,1.36299,3e-05,189223.73
2014-01-07,1.36297,1.36562,1.35965,1.3617,1.363,1.3657,1.35971,1.36174,4e-05,204173.11
2014-01-08,1.3617,1.3635,1.35529,1.35715,1.36173,1.36353,1.35538,1.35717,2e-05,209302.75
2014-01-09,1.35714,1.3633,1.3548,1.36062,1.35718,1.36337,1.35489,1.36066,4e-05,221843.59
2014-01-10,1.36062,1.36869,1.3571,1.36661,1.36065,1.36876,1.35749,1.3673,0.00069,195201.91
2014-01-13,1.36719,1.36847,1.3637,1.36686,1.36722,1.36851,1.36377,1.36691,5e-05,179419.11
2014-01-14,1.36684,1.36993,1.3649,1.36671,1.3669,1.37,1.36492,1.36673,2e-05,177116.48
2014-01-15,1.3667,1.36731,1.35814,1.35995,1.36673,1.36736,1.35817,1.35998,3e-05,178873.52
2014-01-16,1.35994,1.36493,1.3583,1.36154,1.35996,1.36501,1.35834,1.36161,7e-05,176183.08
2014-01-17,1.36153,1.36209,1.35169,1.35389,1.36158,1.36215,1.35173,1.35422,0.00033,163132.16
2014-01-20,1.35272,1.35679,1.35075,1.35459,1.35274,1.35681,1.35081,1.35463,4e-05,120202.37
2014-01-21,1.35457,1.35687,1.35164,1.35572,1.35462,1.3569,1.35167,1.35577,5e-05,176772.09
2014-01-22,1.35571,1.35835,1.35345,1.35439,1.35576,1.35838,1.35348,1.35442,3e-05,169664.3
2014-01-23,1.35439,1.36983,1.35303,1.36882,1.35443,1.36986,1.35305,1.36884,2e-05,248787.52
2014-01-24,1.36882,1.37394,1.36627,1.36737,1.36883,1.37395,1.36629,1.36803,0.00066,216233.19
