date,open,high,low,close
2025-10-01,198.844,199.225,197.936,198.244
2025-10-02,198.255,198.613,197.498,197.912
2025-10-03,197.896,198.871,197.756,198.82
2025-10-06,200.525,202.826,200.236,202.585
2025-10-07,202.589,204.073,202.134,203.985
2025-10-08,204.014,205.318,203.757,204.64
2025-10-09,204.644,204.876,203.318,203.666
2025-10-10,203.688,203.753,202.225,202.387
2025-10-13,202.54,203.248,202.53,203.027
2025-10-14,203.007,203.519,201.343,202.118
2025-10-15,202.087,202.724,201.598,202.426
2025-10-16,202.423,203.436,201.73,202.086
2025-10-17,202.087,202.24,200.693,202.216
2025-10-20,202.186,203.112,201.832,202.046
2025-10-21,202.014,203.53,201.824,203.081
2025-10-22,203.081,203.254,201.927,202.872
2025-10-23,202.871,203.797,202.822,203.313
2025-10-24,203.322,203.987,203.094,203.447
2025-10-27,203.938,204.237,203.545,203.755
2025-10-28,203.764,203.826,201.675,201.955
2025-10-29,201.955,201.98,200.576,201.468
2025-10-30,201.468,203.268,201.005,202.707
2025-10-31,202.708,202.921,201.856,202.555
2025-11-03,202.466,202.808,201.971,202.613
2025-11-04,202.603,202.683,199.883,200.172
2025-11-05,200.171,201.245,199.079,201.053
2025-11-06,201.056,201.386,200.307,200.994
2025-11-07,201.057,202.1,200.66,201.972
2025-11-10,202.193,203.241,201.844,202.966
2025-11-11,202.973,203.283,202.343,202.631
2025-11-12,202.614,203.564,202.612,203.149
2025-11-13,203.172,204.073,202.973,203.455
2025-11-14,203.492,203.906,202.354,203.501
2025-11-17,203.5,204.531,203.138,204.201
2025-11-18,204.203,204.75,203.706,204.511
2025-11-19,204.469,205.373,203.99,205.107
2025-11-20,205.135,206.863,204.817,205.851
2025-11-21,205.836,206.057,204.307,204.957
2025-11-24,205.016,205.916,204.98,205.619
2025-11-25,205.619,205.999,205.014,205.473
2025-11-26,205.445,207.231,205.352,207.087
2025-11-27,207.094,207.196,206.446,206.854
2025-11-28,206.86,207.21,206.169,206.778
2025-12-01,206.544,206.769,205.215,205.367
2025-12-02,205.367,206.255,205.341,205.912
2025-12-03,205.912,207.35,205.792,207.21
2025-12-04,207.217,207.361,206.366,206.611
2025-12-05,206.634,207.297,206.198,207.07
2025-12-08,206.906,207.81,206.598,207.68
2025-12-09,207.678,208.947,207.599,208.604
2025-12-10,208.6,208.898,208.241,208.77
2025-12-11,208.772,208.814,207.918,208.292
2025-12-12,208.298,208.753,207.887,208.364
2025-12-15,208.365,208.451,207.102,207.643
2025-12-16,207.609,207.998,206.778,207.684
2025-12-17,207.685,208.412,207.073,208.177
2025-12-18,208.163,209.015,207.876,208.161
2025-12-19,208.161,210.977,208.124,210.904
2025-12-22,210.693,211.593,210.639,211.428
2025-12-23,211.428,211.448,210.36,211.105
2025-12-24,211.075,211.183,210.138,210.536
2025-12-26,210.767,211.512,210.374,211.305
2025-12-29,211.286,211.354,210.441,210.698
2025-12-30,210.74,211.098,210.435,210.583
2025-12-31,210.569,211.227,210.267,211.093
2026-01-02,211.219,211.446,210.759,211.106
2026-01-05,210.915,211.963,210.517,211.954
2026-01-06,211.956,212.154,211.321,211.474
2026-01-07,211.475,211.757,210.893,210.904
2026-01-08,210.902,211.164,210.312,210.751
2026-01-09,210.749,212.069,210.733,211.677
2026-01-12,211.695,213.015,211.64,212.862
2026-01-13,212.862,214.298,212.678,213.613
2026-01-14,213.615,214.107,212.56,212.749
2026-01-15,212.749,213.316,212.005,212.238
2026-01-16,212.223,212.305,211.393,211.513
2026-01-19,210.799,212.394,210.717,212.272
2026-01-20,212.289,213.498,211.86,212.627
2026-01-21,212.663,212.767,211.601,212.614
2026-01-22,212.615,213.966,212.387,213.893
2026-01-23,213.893,214.856,212.099,212.488
2026-01-26,211.405,212.079,209.636,210.834
2026-01-27,210.841,211.766,209.818,210.878
2026-01-28,210.872,212.03,210.075,211.761
2026-01-29,211.791,212.166,210.07,211.292
2026-01-30,211.291,212.47,211.15,211.797
2026-02-02,212.514,212.729,211.297,212.58
2026-02-03,212.591,213.466,212.501,213.326
2026-02-04,213.326,215.008,213.292,214.096
2026-02-05,214.087,214.232,211.789,212.504
2026-02-06,212.505,213.993,211.619,213.957
2026-02-09,214.222,214.44,212.155,213.509
2026-02-10,213.505,213.728,210.496,210.639
2026-02-11,210.637,210.67,208.187,208.68
2026-02-12,208.684,209.558,207.57,208.033
2026-02-13,208.025,209.335,207.935,208.614
2026-02-16,208.32,209.688,208.32,209.281
2026-02-17,209.283,209.498,207.241,207.912
2026-02-18,207.94,209.222,207.632,208.925
2026-02-19,208.901,209.542,208.091,208.746
2026-02-20,208.739,209.652,208.393,209.17
2026-02-23,209.059,209.227,208.143,208.612
2026-02-24,208.621,210.851,208.55,210.288
2026-02-25,210.288,212.12,210.02,211.915
2026-02-26,211.917,211.951,210.273,210.477
2026-02-27,210.478,210.827,209.804,210.492
2026-03-02,209.584,211.38,209.354,210.951
2026-03-03,210.935,211.367,209.234,210.421
2026-03-04,210.415,210.696,209.493,209.974
2026-03-05,209.96,210.626,209.192,210.391
2026-03-06,210.352,211.482,210.272,211.465
2026-03-09,210.849,212.176,210.612,211.986
2026-03-10,211.987,212.419,211.6,212.158
2026-03-11,212.158,213.309,212.104,212.877
2026-03-12,212.877,213.035,212.421,212.628
2026-03-13,212.628,212.862,211.076,211.205
2026-03-16,211.206,212.118,210.817,211.846
2026-03-17,211.843,212.489,211.645,212.379
2026-03-18,212.377,212.733,211.806,211.851
2026-03-19,211.857,212.356,210.814,211.968
2026-03-20,211.966,212.775,211.764,212.416
2026-03-23,212.245,213.304,211.592,212.687
2026-03-24,212.689,212.986,212.296,212.939
2026-03-25,212.92,213.244,212.647,213.002
2026-03-26,213.002,213.311,212.709,212.949
2026-03-27,212.948,213.106,212.238,212.572
