date,open,high,low,close
2024-09-02,191.845,193.489,191.348,193.106
2024-09-03,193.121,193.359,190.34,190.695
2024-09-04,190.716,190.848,188.775,188.868
2024-09-05,188.863,189.772,188.072,189.059
2024-09-06,189.029,189.533,186.53,187.041
2024-09-09,186.656,188.128,186.434,187.172
2024-09-10,187.139,188.089,185.729,186.278
2024-09-11,186.272,186.375,183.734,185.626
2024-09-12,185.626,186.732,185.296,186.163
2024-09-13,186.144,186.211,184.374,184.966
2024-09-16,184.742,186.044,183.816,185.853
2024-09-17,185.873,187.458,185.299,187.369
2024-09-18,187.381,188.056,185.835,187.777
2024-09-19,187.758,190.395,187.439,189.5
2024-09-20,189.489,191.986,188.769,191.65
2024-09-23,191.706,192.434,190.142,191.663
2024-09-24,191.651,193.325,191.349,192.077
2024-09-25,192.043,193.259,191.812,192.743
2024-09-26,192.77,194.35,192.515,194.237
2024-09-27,194.208,195.96,190.052,190.189
2024-09-30,190.292,192.313,189.596,192.074
2024-10-01,192.078,193.364,189.86,190.824
2024-10-02,190.819,194.424,190.422,194.218
2024-10-03,194.224,195.167,192.054,192.768
2024-10-04,192.742,195.527,191.746,195.282
2024-10-07,195.224,195.625,193.349,193.836
2024-10-08,193.839,194.367,192.897,194.248
2024-10-09,194.257,195.253,193.603,194.987
2024-10-10,194.992,195.506,193.588,193.991
2024-10-11,193.994,195.237,193.871,194.846
2024-10-14,194.874,195.719,194.637,195.598
2024-10-15,195.594,195.731,194.652,195.065
2024-10-16,195.063,195.286,193.712,194.342
2024-10-17,194.343,195.607,193.843,195.405
2024-10-18,195.394,196.051,194.76,195.019
2024-10-21,195.154,195.896,194.579,195.754
2024-10-22,195.754,196.518,195.111,196.134
2024-10-23,196.142,198.437,196.111,197.256
2024-10-24,197.251,197.632,196.432,196.997
2024-10-25,197,197.774,196.41,197.333
2024-10-28,198.211,199.339,197.811,198.772
2024-10-29,198.77,199.738,198.045,199.457
2024-10-30,199.45,199.815,198.21,198.644
2024-10-31,198.648,198.902,195.383,196.189
2024-11-01,196.19,198.357,195.784,197.674
2024-11-04,197.408,197.736,196.505,197.105
2024-11-05,197.119,197.874,197.028,197.593
2024-11-06,197.561,199.527,197.373,199.027
2024-11-07,199.001,199.563,198.34,198.649
2024-11-08,198.667,198.93,196.753,197.064
2024-11-11,197.132,198.464,197.132,197.873
2024-11-12,197.858,198.058,196.898,197.016
2024-11-13,197.015,197.812,196.667,197.577
2024-11-14,197.567,198.243,197.096,197.96
2024-11-15,197.964,198.447,194.297,194.515
2024-11-18,194.978,196.196,194.365,196.099
2024-11-19,196.096,196.223,193.581,196.026
2024-11-20,196.014,197.789,195.977,196.564
2024-11-21,196.541,196.578,194.38,194.555
2024-11-22,194.555,194.814,192.869,194.022
2024-11-25,194.04,194.615,193.288,193.735
2024-11-26,193.729,193.74,192.047,192.393
2024-11-27,192.393,192.627,190.722,191.463
2024-11-28,191.465,192.47,191.401,192.272
2024-11-29,192.308,192.308,190.157,190.732
2024-12-02,190.455,191.296,188.487,189.243
2024-12-03,189.26,190.381,188.107,189.589
2024-12-04,189.594,191.527,189.374,191.245
2024-12-05,191.232,192.218,190.345,191.501
2024-12-06,191.503,192.622,190.726,191.046
2024-12-09,191.2,193.413,190.61,192.827
2024-12-10,192.801,194.151,192.46,194.047
2024-12-11,194.055,194.792,192.627,194.375
2024-12-12,194.375,194.999,192.937,193.424
2024-12-13,193.445,194.458,192.863,193.895
2024-12-16,193.82,195.884,193.658,195.491
2024-12-17,195.482,195.892,194.661,195.067
2024-12-18,195.078,195.772,194.081,194.53
2024-12-19,194.557,198.947,194.075,196.899
2024-12-20,196.908,197.297,195.755,196.598
2024-12-23,196.707,197.103,196.471,197.054
2024-12-24,197.044,197.728,196.709,196.944
2024-12-26,197.272,197.996,197.029,197.777
2024-12-27,197.764,198.718,197.23,198.655
2024-12-30,198.417,198.945,196.348,196.796
2024-12-31,196.874,197.198,195.757,196.704
2025-01-02,196.829,197.521,194.206,194.977
2025-01-03,194.953,195.53,194.647,195.524
2025-01-06,195.424,197.412,195.419,197.321
2025-01-07,197.344,198.256,196.879,197.188
2025-01-08,197.19,197.551,195.145,195.729
2025-01-09,195.732,195.822,193.497,194.693
2025-01-10,194.695,194.78,192.217,192.676
2025-01-13,192.568,192.763,190.085,192.526
2025-01-14,192.516,193.089,191.511,192.923
2025-01-15,192.924,193.002,191.097,191.413
2025-01-16,191.41,191.547,189.782,189.903
2025-01-17,189.899,190.61,189.341,190.047
2025-01-20,190.344,192.021,189.895,191.857
2025-01-21,191.793,192.197,190.488,192.037
2025-01-22,192.042,193.014,191.712,192.611
2025-01-23,192.622,193.009,192.29,192.733
2025-01-24,192.729,194.756,192.095,194.658
2025-01-27,194.308,194.654,192.168,193.114
2025-01-28,193.112,194.032,192.731,193.499
2025-01-29,193.501,193.764,192.493,193.231
2025-01-30,193.231,193.297,191.43,191.492
2025-01-31,191.517,193.036,191.212,192.325
2025-02-03,190.758,192.846,190.038,192.615
2025-02-04,192.606,193.17,191.8,192.67
2025-02-05,192.656,192.774,190.305,190.789
2025-02-06,190.778,190.972,188.093,188.304
2025-02-07,188.308,189.583,187.067,187.733
2025-02-10,187.65,189.151,187.612,187.881
2025-02-11,187.899,189.926,187.259,189.73
2025-02-12,189.715,192.682,189.715,192.116
2025-02-13,192.108,193.05,191.183,192.052
2025-02-14,192.042,192.503,191.486,191.731
2025-02-17,191.694,191.751,190.641,191.255
2025-02-18,191.178,192.166,190.855,192.125
2025-02-19,192.142,192.142,190.47,190.491
2025-02-20,190.492,190.547,188.7,189.432
2025-02-21,189.429,190.943,188.157,188.367
2025-02-24,188.664,189.585,188.234,189.1
2025-02-25,189.085,189.748,188.176,188.921
2025-02-26,188.926,189.868,188.412,188.879
2025-02-27,188.903,190.108,188.589,188.744
2025-02-28,188.734,190.307,187.695,189.335
2025-03-03,189.779,191.98,188.837,190.017
2025-03-04,190.021,191.783,188.268,191.54
2025-03-05,191.547,192.326,190.884,191.875
2025-03-06,191.864,192.523,189.894,190.603
2025-03-07,190.594,191.43,189.666,191.264
2025-03-10,190.718,190.988,189.191,189.256
2025-03-11,189.24,191.677,188.803,191.508
2025-03-12,191.506,193.109,191.259,192.195
2025-03-13,192.202,192.35,190.751,191.61
2025-03-14,191.605,192.754,191.48,192.237
2025-03-17,192.121,193.969,191.972,193.953
2025-03-18,193.968,194.907,193.83,194.222
2025-03-19,194.247,194.71,193.244,193.272
2025-03-20,193.28,193.416,192.074,192.84
2025-03-21,192.841,193.591,192.052,192.901
2025-03-24,193.171,194.783,193.079,194.75
2025-03-25,194.751,195.004,193.654,194.07
2025-03-26,194.1,194.791,193.48,193.528
2025-03-27,193.529,195.973,193.514,195.554
2025-03-28,195.551,195.719,193.757,193.85
2025-03-31,193.516,194.001,192.747,193.667
2025-04-01,193.638,193.937,192.217,193.383
2025-04-02,193.425,195.758,192.994,193.31
2025-04-03,193.29,193.669,191.119,191.241
2025-04-04,191.239,191.763,187.54,189.031
2025-04-07,186.985,190.033,186.155,187.997
2025-04-08,188.003,188.947,186.55,186.826
2025-04-09,186.835,189.834,184.407,188.991
2025-04-10,188.995,189.429,186.372,187.443
2025-04-11,187.494,188.182,186.04,187.746
2025-04-14,188.306,189.208,186.591,188.566
2025-04-15,188.553,189.599,188.535,189.393
2025-04-16,189.378,189.67,187.66,187.733
2025-04-17,187.716,189.375,187.516,189.013
2025-04-21,188.675,188.849,188.014,188.446
2025-04-22,188.446,189.677,187.474,189.511
2025-04-23,189.588,190.317,188.293,189.907
2025-04-24,189.831,190.393,189.32,190.332
2025-04-25,190.304,191.725,190.062,191.331
2025-04-28,191.126,191.56,190.676,190.926
2025-04-29,190.902,191.351,190.406,190.811
2025-04-30,190.811,191.262,189.998,190.546
2025-05-01,190.547,193.464,190.35,192.928
2025-05-02,192.942,193.743,191.481,192.505
2025-05-05,192.189,192.314,191.025,191.026
2025-05-06,191.053,191.351,190.336,190.528
2025-05-07,190.53,191.671,190.506,191.144
2025-05-08,191.159,193.503,191.003,193.391
2025-05-09,193.379,193.471,192.361,193.433
2025-05-12,194.007,195.803,193.637,195.452
2025-05-13,195.438,196.389,194.791,196.271
2025-05-14,196.27,196.414,194.243,194.453
2025-05-15,194.47,194.605,193.448,193.733
2025-05-16,193.735,193.844,193.055,193.777
2025-05-19,193.17,194.064,192.781,193.571
2025-05-20,193.558,194.217,192.925,193.429
2025-05-21,193.432,193.48,192.588,192.763
2025-05-22,192.764,193.588,191.899,193.375
2025-05-23,193.409,193.584,192.104,192.875
2025-05-26,192.793,194.039,192.791,193.63
2025-05-27,193.641,195.626,193.069,194.94
2025-05-28,194.945,195.365,194.389,195.068
2025-05-29,195.07,196.314,194.306,194.5
2025-05-30,194.474,194.658,193.423,193.858
2025-06-02,193.507,193.903,193.016,193.231
2025-06-03,193.235,194.783,192.737,194.625
2025-06-04,194.614,195.232,193.432,193.476
2025-06-05,193.509,195.483,193.27,194.856
2025-06-06,194.848,196.193,194.738,195.924
2025-06-09,195.919,196.156,195.45,195.894
2025-06-10,195.891,196.453,194.791,195.617
2025-06-11,195.626,196.236,195.311,195.837
2025-06-12,195.838,195.838,194.725,195.498
2025-06-13,195.451,195.982,193.787,195.342
2025-06-16,195.57,196.692,195.411,196.485
2025-06-17,196.487,196.854,194.919,194.977
2025-06-18,194.97,195.35,194.347,194.814
2025-06-19,194.76,195.962,194.033,195.862
2025-06-20,195.869,196.71,195.689,196.572
2025-06-23,196.435,198.198,196.233,197.622
2025-06-24,197.672,197.692,196.958,197.17
2025-06-25,197.181,198.584,197.055,198.382
2025-06-26,198.362,198.603,197.725,198.228
2025-06-27,198.229,198.811,198.02,198.411
2025-06-30,198.245,198.462,197.222,197.77
2025-07-01,197.767,197.78,196.293,197.122
2025-07-02,197.148,197.555,195.369,196.166
2025-07-03,196.136,198.104,195.766,197.874
2025-07-04,197.886,197.913,196.914,197.353
2025-07-07,197.263,199.006,196.796,198.657
2025-07-08,198.676,199.441,198.519,199.171
2025-07-09,199.193,199.836,198.716,198.782
2025-07-10,198.831,199.258,198.384,198.571
2025-07-11,198.573,199.438,198.244,198.929
2025-07-14,198.563,198.992,198.111,198.394
2025-07-15,198.413,199.524,198.214,199.238
2025-07-16,199.234,199.741,198.017,198.36
2025-07-17,198.358,199.539,198.246,199.329
2025-07-18,199.328,199.972,199.188,199.523
2025-07-21,198.918,199.424,198.534,198.756
2025-07-22,198.758,199.297,197.441,198.3
2025-07-23,198.325,199.066,197.76,198.933
2025-07-24,198.926,199.019,198.142,198.728
2025-07-25,198.723,199.085,198.137,198.37
2025-07-28,198.494,199.221,198.309,198.476
2025-07-29,198.458,198.521,197.739,198.273
2025-07-30,198.209,198.427,197.453,197.811
2025-07-31,197.804,199.52,196.984,198.975
2025-08-01,199.01,199.307,195.341,195.522
2025-08-04,195.526,196.536,195.041,195.404
2025-08-05,195.401,196.462,195.041,196.25
2025-08-06,196.221,197.063,196.102,196.831
2025-08-07,196.838,198.024,196.252,197.653
2025-08-08,197.698,198.828,197.4,198.736
2025-08-11,198.481,199.073,198.187,198.927
2025-08-12,198.935,200.082,198.935,199.584
2025-08-13,199.571,200.286,199.436,199.934
2025-08-14,199.935,200.169,198.601,199.939
2025-08-15,199.932,200.015,198.921,199.589
2025-08-18,199.61,200.274,199.387,199.654
2025-08-19,199.668,199.87,198.825,199.118
2025-08-20,199.115,199.454,197.869,198.238
2025-08-21,198.233,199.248,198.163,198.987
2025-08-22,198.981,199.556,198.358,198.67
2025-08-25,198.625,199.284,198.566,198.779
2025-08-26,198.768,199.059,198.28,198.689
2025-08-27,198.686,199.193,198.651,198.919
2025-08-28,198.952,199.144,198.406,198.526
2025-08-29,198.554,198.67,197.957,198.626
2025-09-01,198.56,199.565,198.554,199.323
2025-09-02,199.35,200.267,198.329,198.715
2025-09-03,198.685,199.73,198.492,199.039
2025-09-04,199.054,199.827,198.793,199.375
2025-09-05,199.385,199.791,198.681,199.122
2025-09-08,199.788,200.352,199.37,199.825
2025-09-09,199.823,199.878,198.807,199.385
2025-09-10,199.387,199.81,199.252,199.421
2025-09-11,199.431,200.061,199.337,199.817
2025-09-12,199.824,200.482,199.675,200.142
2025-09-15,200.208,200.75,199.931,200.483
2025-09-16,200.455,200.719,199.794,199.925
2025-09-17,199.9,200.359,199.487,200.266
2025-09-18,200.288,201.27,200.052,200.588
2025-09-19,200.569,200.613,199.216,199.316
2025-09-22,199.248,199.798,199.206,199.633
2025-09-23,199.655,199.972,199.164,199.563
2025-09-24,199.556,200.284,199.474,200.104
2025-09-25,200.098,200.349,199.63,199.81
2025-09-26,199.87,200.516,199.707,200.466
2025-09-29,200.367,200.427,199.349,199.544
2025-09-30,199.538,199.774,198.589,198.837
2025-10-01,198.844,199.225,197.936,198.244
2025-10-02,198.255,198.613,197.498,197.912
2025-10-03,197.896,198.871,197.756,198.82
2025-10-06,200.525,202.826,200.236,202.585
2025-10-07,202.589,204.073,202.134,203.985
2025-10-08,204.014,205.318,203.757,204.64
2025-10-09,204.644,204.876,203.318,203.666
2025-10-10,203.688,203.753,202.225,202.387
2025-10-13,202.54,203.248,202.53,203.027
2025-10-14,203.007,203.519,201.343,202.118
2025-10-15,202.087,202.724,201.598,202.426
2025-10-16,202.423,203.436,201.73,202.086
2025-10-17,202.087,202.24,200.693,202.216
2025-10-20,202.186,203.112,201.832,202.046
2025-10-21,202.014,203.53,201.824,203.081
2025-10-22,203.081,203.254,201.927,202.872
2025-10-23,202.871,203.797,202.822,203.313
2025-10-24,203.322,203.987,203.094,203.447
2025-10-27,203.938,204.237,203.545,203.755
2025-10-28,203.764,203.826,201.675,201.955
