date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,174.329,174.834,174.289,174.587,174.406,174.861,174.391,174.642,0.055,2645.21
2014-01-02,174.587,174.834,171.834,172.454,174.641,174.855,171.851,172.471,0.017,148454.7
2014-01-03,172.454,172.509,171.045,172.106,172.467,172.52,171.07,172.171,0.065,131059.76
2014-01-06,172.169,172.226,170.409,171.057,172.185,172.233,170.425,171.075,0.018,141214.39
2014-01-07,171.059,171.74,170.83,171.724,171.075,171.753,170.837,171.738,0.014,126429.23
2014-01-08,171.719,172.839,171.5,172.405,171.735,172.849,171.518,172.42,0.015,141332.45
2014-01-09,172.405,173.129,172.191,172.73,172.42,173.139,172.203,172.75,0.02,122427.1
2014-01-10,172.73,173.03,171.247,171.652,172.748,173.039,171.263,171.766,0.114,130185.76
2014-01-13,171.437,171.519,168.342,168.984,171.451,171.536,168.358,169.001,0.017,136648.16
2014-01-14,168.984,171.439,168.827,171.214,169.001,171.456,168.842,171.227,0.013,146889.27
2014-01-15,171.214,171.584,170.437,171.119,171.224,171.6,170.447,171.137,0.018,129137.66
2014-01-16,171.119,171.787,170.194,170.483,171.137,171.799,170.209,170.499,0.016,128134.11
2014-01-17,170.479,171.873,170.17,171.232,170.495,171.887,170.186,171.408,0.176,114867.71
2014-01-20,171.146,171.482,170.302,171.233,171.164,171.496,170.319,171.248,0.015,86121.05
2014-01-21,171.234,172.369,171.206,171.694,171.248,172.379,171.221,171.71,0.016,125777.01
2014-01-22,171.699,173.371,171.319,173.315,171.715,173.391,171.341,173.336,0.021,139583.77
2014-01-23,173.314,173.643,171.212,171.953,173.336,173.666,171.225,171.966,0.013,190318.7
2014-01-24,171.95,172.317,168.546,168.546,171.962,172.326,168.588,168.673,0.127,204013.23
2014-01-27,168.389,170.536,168.331,170.15,168.413,170.546,168.356,170.171,0.021,200120.62
2014-01-28,170.149,171.369,169.939,171.04,170.171,171.401,169.951,171.063,0.023,162121.31
2014-01-29,171.045,171.459,168.695,169.354,171.066,171.473,168.709,169.371,0.017,199926.44
2014-01-30,169.349,169.779,168.169,169.465,169.371,169.791,168.181,169.485,0.02,183796.62
2014-01-31,169.47,169.741,167.574,167.644,169.488,169.761,167.584,167.756,0.112,183199.84
2014-02-03,168.048,168.214,164.29,165.014,168.067,168.233,164.306,165.033,0.019,191025.48
2014-02-04,165.014,166.154,163.876,166.056,165.029,166.166,163.888,166.079,0.023,175163.61
2014-02-05,166.056,166.062,163.949,165.63,166.076,166.086,163.96,165.646,0.016,172793.45
2014-02-06,165.633,166.826,165.049,166.531,165.646,166.838,165.061,166.551,0.02,155658.23
2014-02-07,166.534,168.044,166.162,167.959,166.551,168.081,166.167,168.076,0.117,145494.48
2014-02-10,168.186,168.234,167.2,167.554,168.211,168.251,167.211,167.571,0.017,113250.98
2014-02-11,167.551,169.086,167.504,168.632,167.566,169.098,167.521,168.649,0.017,132391.34
2014-02-12,168.632,170.426,168.317,170.189,168.645,170.454,168.331,170.196,0.007,141371.16
2014-02-13,170.184,170.38,169.236,170.184,170.196,170.392,169.246,170.194,0.01,145829.23
2014-02-14,170.184,170.606,169.115,170.47,170.197,170.623,169.134,170.536,0.066,133610.98
2014-02-17,170.202,171.069,169.899,170.664,170.225,171.082,169.915,170.679,0.015,105588.73
2014-02-18,170.659,171.884,170.217,170.679,170.678,171.9,170.238,170.696,0.017,156214.28
2014-02-19,170.679,171.161,169.602,170.614,170.697,171.173,169.614,170.627,0.013,143630.8
2014-02-20,170.614,170.79,169.225,170.479,170.627,170.798,169.236,170.492,0.013,174463.81
2014-02-21,170.479,171.739,170.103,170.244,170.498,171.745,170.145,170.367,0.123,146918.16
2014-02-24,170.53,170.855,169.856,170.725,170.548,170.867,169.866,170.743,0.018,135875.7
2014-02-25,170.725,171.089,170.061,170.344,170.743,171.098,170.074,170.361,0.017,151000.56
2014-02-26,170.344,170.944,169.954,170.499,170.357,170.954,169.962,170.512,0.013,153481.69
2014-02-27,170.499,170.824,169.052,170.444,170.514,170.839,169.06,170.456,0.012,174566.67
2014-02-28,170.444,171.204,169.38,170.353,170.459,171.214,169.396,170.462,0.109,178013.52
2014-03-03,169.578,169.982,168.826,169.004,169.599,169.99,168.838,169.019,0.015,143802.58
2014-03-04,169.004,170.517,169.004,170.332,169.021,170.525,169.019,170.351,0.019,142242.45
2014-03-05,170.329,171.392,170.147,171.076,170.353,171.403,170.161,171.099,0.023,134834.41
2014-03-06,171.077,172.832,171.074,172.529,171.1,172.847,171.093,172.551,0.022,154648.7
2014-03-07,172.529,173.584,172.041,172.589,172.551,173.591,172.056,172.706,0.117,124947.58
2014-03-10,172.617,172.864,171.535,171.797,172.632,172.881,171.541,171.812,0.015,118170.72
2014-03-11,171.795,172.121,170.755,170.94,171.808,172.132,170.766,170.954,0.014,119708.16
2014-03-12,170.939,171.446,170.164,170.864,170.954,171.454,170.176,170.877,0.013,126431.27
2014-03-13,170.864,171.629,168.711,169.174,170.877,171.644,168.724,169.181,0.007,160364.61
2014-03-14,169.168,169.275,167.938,168.684,169.18,169.281,167.947,168.786,0.102,150512.44
2014-03-17,168.667,169.602,168.504,169.547,168.684,169.615,168.52,169.563,0.016,115132.66
2014-03-18,169.547,169.599,167.775,168.393,169.563,169.61,167.785,168.411,0.018,132418.56
2014-03-19,168.392,169.684,168.073,169.349,168.411,169.704,168.088,169.361,0.012,155387.66
2014-03-20,169.345,169.716,168.711,169.041,169.361,169.731,168.723,169.048,0.007,143976.59
2014-03-21,169.039,169.107,168.1,168.546,169.048,169.121,168.111,168.651,0.105,101136.9
2014-03-24,168.666,169.438,168.322,168.669,168.684,169.45,168.335,168.68,0.011,125801.89
2014-03-25,168.669,169.276,168.379,169.122,168.676,169.295,168.39,169.138,0.016,139510.39
2014-03-26,169.119,169.684,168.787,168.954,169.137,169.695,168.801,168.97,0.016,139362.95
2014-03-27,168.95,170.325,168.635,169.659,168.97,170.346,168.645,169.676,0.017,150798.8
2014-03-28,169.659,171.314,169.558,171.054,169.676,171.326,169.569,171.136,0.082,128989.03
2014-03-31,171.286,172.116,170.989,171.995,171.304,172.131,170.996,172.014,0.019,143531.91
2014-04-01,171.997,172.52,171.75,172.353,172.014,172.526,171.759,172.368,0.015,129646.93
2014-04-02,172.351,173.0,172.316,172.698,172.366,173.01,172.329,172.712,0.014,106709.88
2014-04-03,172.695,173.14,172.158,172.44,172.708,173.151,172.167,172.453,0.013,111336.79
2014-04-04,172.439,172.473,170.994,171.159,172.453,172.522,171.025,171.264,0.105,107140.67
2014-04-07,171.29,171.599,170.674,171.179,171.305,171.614,170.692,171.194,0.015,112727.16
2014-04-08,171.179,171.557,170.009,170.741,171.194,171.57,170.025,170.756,0.015,164134.03
2014-04-09,170.741,171.576,170.482,171.563,170.756,171.591,170.492,171.581,0.018,131027.32
2014-04-10,171.561,171.626,170.016,170.101,171.579,171.644,170.036,170.118,0.017,156546.16
2014-04-11,170.101,170.911,169.494,170.011,170.121,170.924,169.51,170.086,0.075,155306.84
2014-04-14,169.706,170.507,169.584,170.465,169.723,170.52,169.593,170.48,0.015,120474.02
2014-04-15,170.465,170.68,169.487,170.376,170.478,170.691,169.541,170.387,0.011,135487.27
2014-04-16,170.376,172.1,170.363,171.745,170.387,172.112,170.378,171.756,0.011,124656.41
2014-04-17,171.742,172.111,171.452,171.933,171.752,172.119,171.469,171.955,0.022,111421.63
2014-04-18,171.932,172.189,171.764,171.764,171.956,172.211,171.832,172.128,0.364,38415.31
2014-04-21,172.138,172.494,172.115,172.402,172.158,172.511,172.126,172.421,0.019,66342.57
2014-04-22,172.4,172.745,172.015,172.638,172.42,172.755,172.031,172.648,0.01,110759.38
2014-04-23,172.638,172.789,171.36,172.015,172.649,172.801,171.371,172.022,0.007,121643.39
2014-04-24,172.009,172.19,171.478,171.96,172.022,172.209,171.485,171.97,0.01,118318.2
2014-04-25,171.957,172.263,171.382,171.637,171.966,172.277,171.397,171.765,0.128,105012.53
2014-04-28,171.577,172.573,171.259,172.326,171.594,172.587,171.276,172.339,0.013,110822.63
2014-04-29,172.325,172.909,172.266,172.562,172.339,172.92,172.278,172.574,0.012,104960.5
2014-04-30,172.562,172.679,171.938,172.5,172.573,172.747,171.952,172.514,0.014,136055.23
2014-05-01,172.502,172.931,172.389,172.794,172.517,172.941,172.401,172.806,0.012,86334.58
2014-05-02,172.792,173.459,172.364,172.376,172.806,173.501,172.394,172.506,0.13,117988.15
2014-05-05,172.511,172.537,171.777,172.287,172.529,172.548,171.79,172.302,0.015,76027.13
2014-05-06,172.287,172.94,172.2,172.683,172.302,172.954,172.212,172.695,0.012,115359.2
2014-05-07,172.683,172.981,172.147,172.713,172.695,172.991,172.157,172.726,0.013,125034.02
2014-05-08,172.713,172.849,171.865,172.03,172.726,172.864,171.881,172.039,0.009,143938.55
2014-05-09,172.03,172.305,171.219,171.55,172.042,172.311,171.232,171.671,0.121,110895.3
2014-05-12,171.762,172.506,171.692,172.411,171.782,172.517,171.707,172.426,0.015,92095.05
2014-05-13,172.411,172.738,171.914,172.071,172.426,172.75,171.923,172.086,0.015,113742.68
2014-05-14,172.071,172.357,170.603,170.664,172.086,172.365,170.613,170.677,0.013,133665.12
2014-05-15,170.662,171.024,170.162,170.425,170.677,171.038,170.174,170.44,0.015,156980.11
2014-05-16,170.425,171.008,170.226,170.642,170.44,171.032,170.239,170.746,0.104,115887.21
