date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,1.65616,1.65921,1.65529,1.65756,1.65694,1.65928,1.65618,1.65793,0.00037,1780.18
2014-01-02,1.65753,1.66031,1.64111,1.64484,1.65791,1.66045,1.6412,1.64496,0.00012,107562.96
2014-01-03,1.64485,1.64737,1.6395,1.64171,1.64497,1.64745,1.63957,1.64202,0.00031,104319.73
2014-01-06,1.64108,1.64337,1.6337,1.64128,1.64126,1.64342,1.6338,1.64142,0.00014,96490.41
2014-01-07,1.64128,1.6438,1.6374,1.63992,1.64142,1.6439,1.63745,1.64002,0.0001,80974.44
2014-01-08,1.63992,1.64719,1.63763,1.64444,1.64002,1.64723,1.63774,1.64458,0.00014,88658.23
2014-01-09,1.64444,1.64972,1.6441,1.64765,1.64458,1.64978,1.64417,1.64779,0.00014,85856.03
2014-01-10,1.64769,1.6517,1.63805,1.64785,1.6478,1.65173,1.63842,1.64858,0.00073,91504.33
2014-01-13,1.6494,1.65076,1.63469,1.63886,1.64951,1.65087,1.63472,1.63896,0.0001,84309.47
2014-01-14,1.63885,1.64642,1.63673,1.64325,1.63897,1.64651,1.63681,1.64335,0.0001,85025.12
2014-01-15,1.64324,1.64375,1.63215,1.63606,1.64335,1.64385,1.63229,1.6362,0.00014,89454.83
2014-01-16,1.63613,1.63831,1.63141,1.63463,1.6362,1.63836,1.63155,1.63478,0.00015,84083.11
2014-01-17,1.63455,1.6458,1.6309,1.64206,1.63471,1.64591,1.631,1.64277,0.00071,81537.4
2014-01-20,1.64172,1.64519,1.63949,1.64257,1.64187,1.64526,1.63963,1.64267,0.0001,52639.78
2014-01-21,1.64258,1.64854,1.63993,1.64736,1.64267,1.64859,1.63998,1.6475,0.00014,78446.17
2014-01-22,1.64736,1.65872,1.64505,1.65616,1.64743,1.65876,1.64509,1.65626,0.0001,87439.84
2014-01-23,1.65615,1.66428,1.65566,1.66316,1.65626,1.66437,1.65574,1.66324,8e-05,106759.25
2014-01-24,1.66316,1.66679,1.64772,1.64772,1.66323,1.66686,1.64797,1.64846,0.00074,107024.77
2014-01-27,1.64921,1.65883,1.64788,1.65731,1.64933,1.65892,1.648,1.65743,0.00012,87188.62
2014-01-28,1.65734,1.66253,1.65357,1.65671,1.65745,1.6626,1.65364,1.65684,0.00013,82437.08
2014-01-29,1.65671,1.66065,1.65253,1.65573,1.65683,1.66071,1.65259,1.65586,0.00013,94724.86
2014-01-30,1.65573,1.6564,1.64448,1.64962,1.65585,1.65645,1.64452,1.64974,0.00012,97883.29
2014-01-31,1.6496,1.64976,1.64272,1.64352,1.64969,1.64986,1.64275,1.64444,0.00092,102335.63
2014-02-03,1.64367,1.64374,1.62902,1.63081,1.64373,1.64382,1.62907,1.63097,0.00016,102865.29
2014-02-04,1.6308,1.63444,1.62566,1.63291,1.63096,1.63448,1.62573,1.63305,0.00014,92727.4
2014-02-05,1.6329,1.63408,1.62522,1.63231,1.63299,1.63415,1.62528,1.63244,0.00013,92993.4
2014-02-06,1.63234,1.63485,1.62724,1.63201,1.63245,1.63488,1.62732,1.63213,0.00012,87128.5
2014-02-07,1.632,1.6418,1.62997,1.64077,1.63213,1.64184,1.63031,1.64138,0.00061,85946.95
2014-02-10,1.64077,1.64272,1.63827,1.64045,1.64088,1.6428,1.63831,1.64057,0.00012,65093.21
2014-02-11,1.64045,1.64872,1.63922,1.64469,1.64056,1.64878,1.63927,1.64484,0.00015,83514.51
2014-02-12,1.64465,1.66182,1.64255,1.66086,1.64479,1.66188,1.6426,1.66096,0.0001,108461.95
2014-02-13,1.66086,1.66732,1.65999,1.66553,1.66092,1.66739,1.66003,1.66565,0.00012,103174.22
2014-02-14,1.66553,1.67554,1.66441,1.67476,1.66566,1.67559,1.66452,1.67501,0.00025,83613.43
2014-02-17,1.67629,1.68223,1.66956,1.67185,1.67639,1.68234,1.6696,1.67197,0.00012,79962.73
2014-02-18,1.67183,1.67413,1.66551,1.66819,1.67196,1.67423,1.66554,1.66833,0.00014,95110.75
2014-02-19,1.66818,1.67339,1.66367,1.66761,1.66831,1.67342,1.66373,1.66774,0.00013,88051.94
2014-02-20,1.6676,1.66999,1.6625,1.66611,1.66769,1.67011,1.66258,1.66622,0.00011,85476.07
2014-02-21,1.66609,1.67249,1.66112,1.6615,1.66622,1.67253,1.66132,1.66174,0.00024,82350.06
2014-02-24,1.6631,1.66786,1.65834,1.66548,1.66324,1.66792,1.6584,1.6656,0.00012,72921.58
2014-02-25,1.66548,1.6727,1.66421,1.66749,1.6656,1.67278,1.66426,1.66761,0.00012,88005.41
2014-02-26,1.66749,1.67015,1.66216,1.66659,1.6676,1.6703,1.6622,1.6667,0.00011,83868.37
2014-02-27,1.66657,1.66987,1.66163,1.66904,1.6667,1.66995,1.66166,1.66919,0.00015,86830.26
2014-02-28,1.66903,1.6769,1.6676,1.67403,1.66919,1.67696,1.66769,1.67481,0.00078,96072.98
2014-03-03,1.67339,1.67511,1.6653,1.66647,1.67352,1.67517,1.66538,1.66654,7e-05,86185.44
2014-03-04,1.66647,1.67163,1.6641,1.66645,1.66654,1.67171,1.66411,1.66657,0.00012,76778.28
2014-03-05,1.66645,1.67416,1.66564,1.67132,1.66659,1.67424,1.66569,1.67143,0.00011,77473.27
2014-03-06,1.67131,1.67774,1.66853,1.67409,1.67143,1.67782,1.6686,1.6742,0.00011,89225.17
2014-03-07,1.67409,1.67857,1.67066,1.67135,1.6742,1.67861,1.6707,1.67185,0.0005,75900.36
