date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,6749.074,6749.078,6749.063,6749.073,6749.104,6749.117,6749.102,6749.115,0.042,0.2
2014-01-02,6749.073,6757.954,6703.797,6728.297,6749.111,6758.103,6704.802,6733.303,5.006,14.79
2014-01-03,6728.298,6750.797,6695.797,6730.657,6733.302,6751.803,6698.803,6730.683,0.026,15.98
2014-01-06,6740.697,6752.798,6713.497,6725.597,6745.703,6753.802,6714.503,6730.603,5.006,15.14
2014-01-07,6725.998,6768.846,6717.798,6751.497,6731.002,6769.503,6718.373,6756.503,5.006,18.19
2014-01-08,6751.498,6761.998,6711.798,6719.698,6756.502,6764.003,6712.802,6724.702,5.004,15.04
2014-01-09,6719.697,6746.298,6676.797,6705.198,6724.703,6747.302,6677.803,6710.202,5.004,17.17
2014-01-10,6704.797,6769.797,6691.314,6759.397,6709.803,6770.803,6691.354,6764.403,5.006,15.62
2014-01-13,6759.398,6765.347,6701.297,6715.797,6764.402,6766.003,6703.302,6720.803,5.006,13.85
2014-01-14,6715.798,6787.697,6691.797,6779.598,6720.802,6792.703,6692.803,6784.602,5.004,14.79
2014-01-15,6779.597,6829.798,6766.833,6821.897,6784.603,6831.102,6776.003,6826.903,5.006,17.86
2014-01-16,6821.898,6836.797,6808.297,6821.197,6826.902,6839.402,6809.302,6826.203,5.006,6.2
2014-01-17,6821.198,6843.297,6804.998,6829.281,6826.202,6844.303,6808.302,6829.321,0.04,17.4
2014-01-20,6823.397,6841.298,6810.297,6836.698,6828.403,6842.303,6810.924,6841.702,5.004,18.17
2014-01-21,6836.698,6867.798,6819.798,6838.797,6841.702,6868.803,6820.802,6843.803,5.006,17.37
2014-01-22,6838.798,6864.805,6820.997,6847.797,6843.802,6865.803,6821.821,6852.803,5.006,18.17
2014-01-23,6847.798,6848.998,6759.298,6777.998,6852.802,6854.003,6760.302,6783.002,5.004,18.05
2014-01-24,6777.597,6794.498,6599.698,6600.898,6782.603,6799.503,6604.702,6605.902,5.004,13.21
2014-01-27,6663.726,6665.26,6539.381,6557.297,6663.765,6665.298,6539.417,6557.328,0.031,28.73
2014-01-28,6555.798,6614.298,6550.637,6594.098,6557.802,6619.302,6556.802,6599.102,5.004,146.18
2014-01-29,6594.097,6643.93,6480.797,6528.498,6599.103,6644.803,6481.802,6533.502,5.004,102.25
2014-01-30,6528.497,6568.798,6503.297,6545.197,6533.503,6569.802,6508.302,6550.203,5.006,147.21
2014-01-31,6544.797,6548.798,6418.997,6493.297,6549.803,6552.203,6420.002,6498.303,5.006,146.34
2014-02-03,6510.419,6538.066,6460.286,6465.64,6510.453,6538.105,6460.325,6465.683,0.043,269.84
2014-02-04,6465.647,6478.046,6416.7,6449.251,6465.675,6478.09,6416.741,6449.283,0.032,277.52
2014-02-05,6449.252,6483.607,6423.816,6457.868,6449.293,6483.648,6423.854,6457.907,0.039,275.84
2014-02-06,6457.866,6492.606,6457.863,6489.237,6457.916,6492.643,6457.904,6489.271,0.034,55.66
2014-02-07,6568.797,6604.498,6538.497,6603.698,6569.803,6609.502,6539.503,6608.702,5.004,0.21
2014-02-10,6594.298,6600.998,6563.797,6597.598,6599.302,6606.003,6564.803,6602.602,5.004,0.67
2014-02-11,6597.797,6703.798,6593.797,6676.497,6602.803,6704.803,6598.803,6681.503,5.006,0.51
2014-02-12,6676.498,6709.298,6664.297,6681.498,6681.502,6710.303,6665.302,6686.502,5.004,0.4
2014-02-13,6681.497,6684.298,6606.297,6668.498,6686.503,6689.303,6607.302,6673.502,5.004,0.56
2014-02-14,6668.497,6678.797,6640.297,6675.098,6673.503,6680.903,6645.302,6680.102,5.004,0.45
2014-02-17,6672.298,6745.798,6655.998,6732.498,6677.302,6746.802,6661.002,6737.502,5.004,0.64
2014-02-18,6732.897,6808.998,6714.497,6774.297,6737.903,6810.403,6715.502,6779.303,5.006,0.49
2014-02-19,6774.698,6810.497,6750.797,6764.198,6779.702,6811.503,6751.803,6769.202,5.004,0.54
2014-02-20,6764.597,6829.997,6729.997,6817.298,6769.603,6831.003,6731.003,6822.302,5.004,0.5
2014-02-21,6817.497,6861.797,6802.797,6805.697,6822.503,6862.803,6803.803,6810.703,5.006,0.39
2014-02-24,6808.497,6885.298,6794.797,6857.197,6813.503,6886.303,6795.802,6862.203,5.006,0.56
2014-02-25,6857.198,6860.798,6790.297,6813.798,6862.202,6865.603,6791.303,6818.802,5.004,0.71
2014-02-26,6813.998,6835.197,6770.498,6784.298,6819.002,6837.703,6771.502,6789.302,5.004,127.92
2014-02-27,6784.297,6828.998,6731.997,6818.897,6789.303,6834.003,6733.003,6823.903,5.006,465.82
2014-02-28,6818.898,6834.298,6769.998,6804.497,6823.902,6835.303,6771.002,6809.503,5.006,518.37
2014-03-03,6758.897,6762.897,6669.797,6713.598,6763.903,6767.903,6670.803,6718.602,5.004,491.43
2014-03-04,6713.597,6830.698,6708.326,6810.597,6718.603,6835.703,6713.628,6815.603,5.006,401.04
2014-03-05,6810.598,6823.826,6763.998,6775.497,6815.602,6823.873,6765.002,6780.503,5.006,158.02
2014-03-06,6775.298,6808.298,6769.297,6780.798,6780.302,6809.303,6770.302,6785.802,5.004,54.92
2014-03-07,6780.797,6800.798,6703.798,6740.397,6785.803,6801.802,6704.802,6745.403,5.006,375.2
2014-03-10,6718.397,6757.498,6668.997,6691.197,6723.403,6758.502,6670.003,6696.203,5.006,309.92
2014-03-11,6691.598,6718.297,6633.197,6637.998,6696.602,6719.303,6638.202,6643.002,5.004,421.36
2014-03-12,6637.997,6652.797,6597.498,6630.997,6643.003,6653.803,6598.502,6636.003,5.006,482.06
2014-03-13,6630.998,6639.298,6506.497,6534.797,6636.002,6644.302,6507.502,6539.803,5.006,409.69
2014-03-14,6534.798,6553.767,6498.798,6523.297,6539.802,6553.806,6499.802,6524.303,1.006,426.99
2014-03-17,6514.698,6592.798,6511.897,6565.097,6519.702,6593.803,6516.902,6570.103,5.006,271.83
2014-03-18,6564.698,6680.798,6533.497,6611.597,6569.702,6681.802,6534.502,6616.603,5.006,311.7
2014-03-19,6611.398,6612.197,6521.297,6558.597,6616.402,6617.203,6522.302,6563.603,5.006,248.86
2014-03-20,6558.598,6558.598,6491.298,6531.098,6563.602,6563.603,6492.376,6536.102,5.004,406.56
2014-03-21,6530.898,6572.497,6510.798,6523.797,6535.902,6573.503,6511.802,6524.803,1.006,466.44
2014-03-24,6516.197,6568.94,6504.797,6530.198,6521.203,6569.503,6505.803,6535.202,5.004,312.68
2014-03-25,6530.197,6627.797,6524.297,6613.598,6535.203,6628.803,6529.302,6618.602,5.004,318.96
2014-03-26,6613.397,6643.555,6554.997,6563.898,6618.403,6644.503,6556.003,6568.902,5.004,506.48
2014-03-27,6564.097,6594.797,6557.797,6587.698,6569.103,6595.803,6560.303,6592.702,5.004,49.42
2014-03-28,6587.697,6632.798,6584.697,6602.297,6592.703,6633.802,6585.764,6603.303,1.006,266.9
2014-03-31,6619.298,6658.798,6580.797,6614.198,6624.302,6659.803,6581.802,6619.202,5.004,0.53
2014-04-01,6614.197,6660.25,6599.439,6647.197,6619.203,6661.002,6607.503,6652.203,5.006,379.37
2014-04-02,6647.198,6675.298,6639.297,6667.997,6652.202,6678.603,6639.663,6673.003,5.006,124.74
2014-04-03,6667.998,6681.498,6635.997,6660.198,6673.002,6682.502,6637.003,6665.202,5.004,0.56
2014-04-04,6660.197,6706.498,6645.497,6657.598,6665.203,6707.503,6646.502,6662.602,5.004,82.08
2014-04-07,6654.998,6674.078,6585.297,6598.297,6660.002,6674.112,6586.302,6603.303,5.006,171.94
2014-04-08,6595.798,6622.974,6547.997,6586.497,6600.802,6623.803,6549.003,6591.503,5.006,502.32
2014-04-09,6585.298,6665.897,6583.497,6664.498,6590.302,6670.903,6588.503,6669.502,5.004,343.03
2014-04-10,6664.497,6688.263,6565.497,6579.298,6669.503,6688.803,6566.503,6584.302,5.004,376.0
2014-04-11,6579.297,6600.005,6525.497,6535.898,6584.303,6600.802,6529.803,6540.902,5.004,129.58
2014-04-14,6517.798,6584.798,6506.497,6572.897,6522.802,6585.803,6507.27,6577.903,5.006,364.04
2014-04-15,6572.698,6594.798,6505.498,6561.597,6577.702,6595.802,6506.502,6566.603,5.006,0.85
2014-04-16,6561.297,6605.697,6550.498,6584.697,6566.303,6610.703,6551.502,6589.703,5.006,0.56
2014-04-17,6586.297,6656.298,6557.297,6652.998,6591.303,6657.303,6558.303,6654.002,1.004,0.39
2014-04-21,6661.997,6670.298,6642.597,6662.598,6663.003,6676.302,6648.603,6667.602,5.004,0.56
2014-04-22,6662.597,6706.998,6625.223,6676.498,6667.603,6708.002,6625.263,6681.502,5.004,139.82
2014-04-23,6677.498,6697.197,6660.797,6685.497,6682.502,6702.203,6661.433,6690.503,5.006,463.24
2014-04-24,6685.098,6723.798,6664.998,6685.498,6690.102,6724.802,6666.002,6690.502,5.004,0.86
2014-04-25,6685.497,6695.597,6654.797,6694.197,6690.503,6700.603,6655.802,6699.203,5.006,0.64
2014-04-28,6684.497,6720.998,6665.797,6707.797,6689.503,6722.002,6666.802,6712.803,5.006,0.76
2014-04-29,6709.497,6775.298,6703.798,6751.797,6714.503,6776.303,6708.802,6756.803,5.006,0.72
2014-04-30,6747.998,6804.298,6743.997,6796.797,6753.002,6806.202,6746.002,6801.803,5.006,0.53
2014-05-01,6796.598,6816.997,6781.297,6809.897,6801.602,6818.303,6786.302,6814.903,5.006,0.35
2014-05-02,6810.098,6839.298,6798.797,6817.997,6815.102,6840.303,6799.802,6823.003,5.006,0.41
2014-05-05,6817.398,6829.597,6774.197,6820.098,6822.402,6834.603,6779.203,6825.102,5.004,1.33
2014-05-06,6820.097,6832.998,6783.797,6791.297,6825.103,6835.302,6784.802,6796.303,5.006,331.37
2014-05-07,6791.298,6806.998,6764.798,6796.597,6796.302,6812.003,6765.802,6801.603,5.006,333.94
2014-05-08,6796.398,6841.836,6793.497,6813.598,6801.402,6842.813,6798.503,6818.602,5.004,474.26
