date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,98.533,98.726,98.533,98.655,98.627,98.757,98.59,98.693,0.038,0.0
2014-01-02,98.697,98.934,95.351,95.403,98.732,98.968,95.369,95.437,0.034,0.12
2014-01-03,95.398,95.702,93.834,94.201,95.432,95.736,93.861,94.274,0.073,0.12
2014-01-06,94.151,94.556,93.237,93.678,94.183,94.609,93.273,93.702,0.024,0.09
2014-01-07,93.675,94.166,93.328,93.902,93.707,94.189,93.357,93.928,0.026,0.1
2014-01-08,93.917,94.142,92.238,92.517,93.951,94.175,92.268,92.537,0.02,0.12
2014-01-09,92.524,92.896,91.224,92.335,92.548,92.928,91.253,92.399,0.064,0.13
2014-01-10,92.287,93.326,91.973,92.785,92.318,93.353,92.001,92.82,0.035,0.11
2014-01-13,92.786,92.854,91.402,91.615,92.816,92.911,91.429,91.637,0.022,0.11
2014-01-14,91.63,92.853,91.627,92.545,91.655,92.876,91.654,92.569,0.024,0.1
2014-01-15,92.541,94.608,92.403,94.336,92.57,94.636,92.432,94.359,0.023,0.12
2014-01-16,94.315,94.57,93.582,94.072,94.336,94.617,93.606,94.102,0.03,0.08
2014-01-17,94.077,94.9,93.926,94.07,94.096,94.941,93.954,94.079,0.009,0.04
2014-01-20,94.007,94.011,93.445,93.684,94.04,94.045,93.485,93.718,0.034,0.0
2014-01-21,93.876,95.209,93.876,95.148,93.906,95.226,93.906,95.155,0.007,0.06
2014-01-22,95.179,96.878,95.128,96.629,95.186,96.891,95.136,96.636,0.007,1.17
2014-01-23,96.639,97.819,96.407,97.236,96.645,97.833,96.415,97.263,0.027,1.23
2014-01-24,97.208,97.788,96.247,96.879,97.221,97.802,96.255,96.892,0.013,1.44
2014-01-27,97.079,97.168,95.728,95.888,97.09,97.176,95.741,95.895,0.007,0.79
2014-01-28,95.889,97.638,95.878,97.098,95.913,97.652,95.891,97.122,0.024,115.62
2014-01-29,97.097,97.697,96.367,97.588,97.113,97.734,96.393,97.611,0.023,126.52
2014-01-30,97.596,98.569,97.338,98.068,97.623,98.582,97.362,98.082,0.014,107.4
2014-01-31,98.026,98.358,97.099,97.437,98.052,98.383,97.132,97.464,0.027,147.44
2014-02-03,97.186,97.917,96.578,96.635,97.212,97.931,96.591,96.674,0.039,73.02
2014-02-04,96.597,97.818,96.367,97.788,96.622,97.844,96.381,97.812,0.024,118.78
2014-02-05,97.689,98.229,96.808,97.488,97.701,98.253,96.821,97.502,0.014,124.18
2014-02-06,97.457,97.718,97.456,97.688,97.472,97.734,97.471,97.703,0.015,5.5
2014-02-07,97.598,99.129,97.117,99.129,97.612,99.142,97.141,99.142,0.013,82.34
2014-02-10,99.238,100.518,99.227,100.039,99.251,100.542,99.242,100.051,0.012,107.88
2014-02-11,99.957,100.558,99.599,100.406,99.972,100.587,99.613,100.443,0.037,115.2
2014-02-12,100.406,101.268,100.228,101.097,100.454,101.281,100.241,101.124,0.027,38.2
2014-02-13,99.739,100.637,99.398,100.187,99.752,100.681,99.421,100.251,0.064,7.15
2014-02-14,100.164,100.439,99.427,100.329,100.245,100.495,99.471,100.395,0.066,0.21
2014-02-17,100.723,101.107,100.426,100.816,100.801,101.164,100.483,100.883,0.067,0.08
2014-02-18,100.818,102.54,100.545,102.416,100.884,102.614,100.6,102.494,0.078,0.17
2014-02-19,102.436,103.248,101.935,102.83,102.49,103.306,101.993,102.883,0.053,0.22
2014-02-20,102.819,103.008,102.255,102.749,102.874,103.053,102.314,102.803,0.054,0.2
2014-02-21,102.749,102.798,101.68,102.336,102.804,102.856,101.722,102.403,0.067,0.19
2014-02-24,102.488,103.43,101.949,102.607,102.541,103.473,102.004,102.66,0.053,0.19
2014-02-25,102.607,102.659,101.008,101.946,102.66,102.716,101.052,102.024,0.078,0.22
2014-02-26,101.954,102.88,101.554,102.316,102.024,102.911,101.61,102.355,0.039,292.67
2014-02-27,102.317,103.049,101.768,101.926,102.343,103.105,101.79,102.003,0.077,67.94
2014-02-28,101.924,102.938,101.827,102.646,102.005,102.974,101.861,102.701,0.055,25.67
2014-03-03,104.439,105.2,103.665,104.627,104.514,105.224,103.73,104.683,0.056,39.87
2014-03-04,104.626,104.92,102.867,103.29,104.684,104.987,102.881,103.351,0.061,34.64
2014-03-05,103.285,103.497,100.827,100.936,103.344,103.556,100.884,101.006,0.07,18.68
2014-03-06,100.936,102.05,100.149,101.779,101.004,102.106,100.182,101.83,0.051,36.34
2014-03-07,101.777,102.889,101.544,102.608,101.83,102.921,101.603,102.675,0.067,30.81
2014-03-10,102.376,102.517,100.833,100.907,102.446,102.573,100.88,100.961,0.054,17.72
2014-03-11,100.926,101.509,99.334,99.449,100.995,101.544,99.411,99.473,0.024,558.51
2014-03-12,99.45,99.588,97.538,98.076,99.474,99.622,97.581,98.131,0.055,624.05
2014-03-13,98.089,98.579,97.657,98.125,98.154,98.626,97.682,98.185,0.06,253.23
2014-03-14,98.127,99.25,98.025,99.02,98.182,99.274,98.082,99.071,0.051,34.31
2014-03-17,99.074,99.128,97.359,98.019,99.142,99.196,97.401,98.032,0.013,228.17
2014-03-18,98.018,99.759,97.734,98.457,98.033,99.804,97.762,98.512,0.055,290.37
2014-03-19,98.455,100.439,98.364,99.116,98.525,100.552,98.422,99.19,0.074,93.47
2014-03-20,99.115,100.649,98.068,98.646,99.195,100.709,98.111,98.713,0.067,20.08
2014-03-21,98.648,100.239,98.224,99.573,98.713,100.262,98.291,99.644,0.071,513.71
2014-03-24,99.186,100.278,99.025,99.345,99.24,100.301,99.08,99.405,0.06,219.57
2014-03-25,99.337,100.227,98.798,99.269,99.393,100.273,98.822,99.282,0.013,289.25
2014-03-26,99.268,100.438,99.136,100.157,99.283,100.484,99.151,100.184,0.027,565.51
2014-03-27,100.158,101.677,100.005,101.338,100.183,101.723,100.061,101.39,0.052,112.89
2014-03-28,101.34,102.219,101.274,101.486,101.393,102.252,101.33,101.689,0.203,303.82
2014-03-31,101.408,101.949,100.876,101.398,101.421,101.992,100.922,101.421,0.023,248.8
2014-04-01,101.399,101.459,99.276,99.609,101.422,101.485,99.291,99.622,0.013,590.95
2014-04-02,99.608,99.799,98.846,99.288,99.622,99.843,98.891,99.343,0.055,122.61
2014-04-03,99.299,100.466,99.049,100.306,99.351,100.525,99.104,100.37,0.064,0.22
2014-04-04,100.309,101.609,100.264,101.074,100.374,101.642,100.33,101.157,0.083,280.93
2014-04-07,101.029,101.29,99.927,100.757,101.049,101.333,99.951,100.773,0.016,460.92
2014-04-08,100.768,102.676,100.734,102.315,100.782,102.736,100.761,102.352,0.037,410.59
2014-04-09,102.315,103.758,102.026,103.348,102.351,103.781,102.071,103.403,0.055,496.71
2014-04-10,103.348,103.779,103.088,103.206,103.404,103.833,103.13,103.263,0.057,219.23
2014-04-11,103.205,104.409,103.0,103.336,103.263,104.454,103.031,103.371,0.035,209.91
2014-04-14,104.038,104.537,103.339,103.445,104.052,104.574,103.381,103.515,0.07,182.47
2014-04-15,103.447,104.02,102.915,103.748,103.502,104.064,102.981,103.803,0.055,0.24
2014-04-16,103.747,104.959,103.117,103.875,103.803,105.015,103.161,103.945,0.07,0.26
2014-04-17,103.889,104.748,103.514,104.275,103.945,104.794,103.58,104.332,0.057,0.22
2014-04-21,103.346,103.809,102.937,103.468,103.404,103.852,102.992,103.52,0.052,0.17
2014-04-22,103.47,103.546,101.487,101.886,103.522,103.606,101.531,101.95,0.064,0.27
2014-04-23,101.899,102.059,101.195,101.577,101.96,102.096,101.212,101.631,0.054,497.49
2014-04-24,101.57,102.328,101.379,101.838,101.621,102.372,101.442,101.892,0.054,0.26
2014-04-25,101.84,102.026,100.466,100.617,101.906,102.085,100.521,100.681,0.064,0.27
2014-04-28,100.728,101.49,100.316,100.91,100.782,101.546,100.362,100.961,0.051,0.27
2014-04-29,100.906,102.18,100.534,100.55,100.961,102.223,100.591,100.611,0.061,0.24
2014-04-30,100.547,100.56,99.348,99.699,100.611,100.625,99.391,99.753,0.054,0.3
2014-05-01,99.688,99.869,98.716,99.318,99.753,99.914,98.781,99.384,0.066,0.25
2014-05-02,99.307,100.106,99.224,99.91,99.364,100.153,99.28,99.961,0.051,0.24
2014-05-05,99.755,100.399,98.918,99.399,99.814,100.459,98.96,99.462,0.063,0.23
2014-05-06,99.399,100.4,99.314,99.777,99.461,100.432,99.361,99.831,0.054,276.4
2014-05-07,99.788,100.969,99.778,100.748,99.844,101.014,99.801,100.763,0.015,547.74
2014-05-08,100.748,100.889,99.867,100.289,100.762,100.922,99.881,100.344,0.055,395.04
2014-05-09,100.277,101.148,99.734,100.037,100.331,101.175,99.751,100.091,0.054,579.71
2014-05-12,100.047,100.918,99.977,100.486,100.062,100.962,100.001,100.542,0.056,288.55
2014-05-13,100.488,101.998,100.336,101.839,100.552,102.055,100.391,101.892,0.053,0.26
2014-05-14,101.839,102.63,101.834,101.988,101.902,102.663,101.881,102.002,0.014,472.31
2014-05-15,101.989,102.239,101.266,101.629,102.008,102.276,101.291,101.641,0.012,484.31
2014-05-16,101.628,102.208,101.385,101.989,101.642,102.252,101.421,102.043,0.054,233.16
2014-05-19,101.559,103.058,101.535,102.049,101.614,103.106,101.59,102.103,0.054,214.63
2014-05-20,102.034,102.979,101.676,102.857,102.101,103.033,101.72,102.872,0.015,118.81
2014-05-21,102.858,104.258,102.777,103.789,102.872,104.304,102.801,103.854,0.065,314.36
2014-05-22,103.784,104.187,103.538,103.655,103.854,104.23,103.584,103.714,0.059,10.63
2014-05-23,103.658,104.478,103.626,104.36,103.722,104.524,103.68,104.411,0.051,0.19
2014-05-26,104.169,104.35,103.894,104.249,104.234,104.463,103.95,104.304,0.055,0.09
2014-05-27,104.248,104.47,103.569,104.075,104.304,104.526,103.612,104.13,0.055,0.21
2014-05-28,104.08,104.369,102.618,102.938,104.131,104.425,102.681,102.994,0.056,0.27
2014-05-29,102.928,103.919,102.605,103.419,102.981,103.962,102.632,103.433,0.014,260.52
2014-05-30,103.418,103.468,102.389,102.837,103.432,103.495,102.433,102.901,0.064,145.41
2014-06-02,103.006,103.31,102.086,102.427,103.063,103.366,102.13,102.48,0.053,0.24
2014-06-03,102.416,102.947,102.205,102.809,102.474,103.004,102.263,102.865,0.056,58.89
2014-06-04,102.806,103.648,102.167,102.22,102.861,103.692,102.22,102.27,0.05,0.27
2014-06-05,102.219,102.669,101.586,102.349,102.271,102.712,101.63,102.401,0.052,5.99
2014-06-06,102.346,103.057,102.285,102.737,102.4,103.098,102.335,102.783,0.046,104.65
2014-06-09,102.671,103.251,102.671,103.243,102.726,103.278,102.726,103.251,0.008,163.12
2014-06-10,104.791,105.027,104.34,104.462,104.856,105.082,104.402,104.517,0.055,349.18
2014-06-11,104.394,104.454,104.253,104.427,104.45,104.51,104.315,104.493,0.066,33.18
2014-06-17,106.577,107.148,105.998,106.534,106.615,107.213,106.046,106.606,0.072,582.68
2014-06-18,106.532,106.945,106.368,106.631,106.606,107.01,106.423,106.68,0.049,253.2
2014-06-19,106.524,106.685,105.285,106.589,106.606,106.746,105.375,106.665,0.076,547.7
2014-06-20,106.594,107.697,106.279,107.01,106.667,107.754,106.353,107.337,0.327,354.84
2014-06-23,107.067,107.346,106.537,106.566,107.133,107.402,106.596,106.618,0.052,245.86
2014-06-25,106.647,106.816,105.452,106.675,106.707,106.879,105.514,106.734,0.059,2.41
2014-06-26,106.579,106.751,105.403,105.584,106.645,106.81,105.453,105.651,0.067,312.24
2014-06-27,105.596,106.157,105.297,105.712,105.65,106.21,105.359,105.776,0.064,578.78
2014-06-30,105.471,105.495,105.05,105.345,105.513,105.55,105.114,105.393,0.048,119.52
2014-07-01,105.48,105.905,105.453,105.782,105.529,105.947,105.511,105.919,0.137,283.26
2014-07-02,105.344,105.478,104.599,104.759,105.399,105.533,104.655,104.827,0.068,318.52
2014-07-03,104.039,104.236,103.639,104.066,104.111,104.292,103.693,104.122,0.056,591.88
2014-07-04,104.064,104.104,103.61,103.726,104.12,104.163,103.663,103.797,0.071,249.26
2014-07-07,103.733,104.057,103.67,103.742,103.789,104.112,103.725,103.807,0.065,107.44
2014-07-08,103.401,104.174,102.978,103.509,103.449,104.226,103.042,103.564,0.055,265.26
2014-07-09,103.266,103.473,101.684,101.794,103.315,103.526,101.744,101.842,0.048,538.38
2014-07-10,101.799,102.978,101.513,102.911,101.851,103.034,101.573,102.964,0.053,646.96
2014-07-11,102.831,102.835,101.77,101.892,102.885,102.901,101.825,101.954,0.062,308.0
2014-07-14,100.74,100.907,100.229,100.701,100.814,100.962,100.283,100.777,0.076,128.34
2014-07-15,100.778,100.847,99.241,99.721,100.83,100.907,99.294,99.728,0.007,409.72
2014-07-16,100.384,100.699,100.359,100.657,100.447,100.76,100.416,100.719,0.062,69.22
2014-07-17,101.424,103.907,101.239,103.722,101.488,103.968,101.303,103.786,0.064,290.43
2014-07-18,103.731,103.816,102.554,103.103,103.806,103.874,102.612,103.164,0.061,83.22
2014-07-21,102.835,103.334,102.633,103.294,102.907,103.375,102.693,103.367,0.073,87.8
2014-07-22,104.507,104.996,101.76,101.831,104.582,105.652,101.814,101.892,0.061,260.08
2014-07-23,101.824,103.284,101.813,103.065,101.886,103.348,101.864,103.115,0.05,569.2
2014-07-24,103.063,103.134,101.989,101.997,103.128,103.191,102.055,102.06,0.063,152.14
2014-07-25,102.065,102.498,101.021,101.943,102.119,102.555,101.073,102.011,0.068,559.42
2014-07-28,101.708,102.074,101.116,101.269,101.759,102.112,101.257,101.37,0.101,315.2
2014-07-29,101.354,101.797,100.48,100.711,101.396,101.847,100.552,100.781,0.07,307.18
2014-07-30,101.096,101.626,99.395,99.664,101.18,101.692,99.462,99.71,0.046,640.78
2014-07-31,99.54,99.717,97.571,97.906,99.602,99.773,97.632,97.968,0.062,436.16
2014-08-01,97.628,97.927,97.075,97.597,97.687,97.976,97.123,97.654,0.057,0.17
2014-08-04,97.674,98.638,97.401,98.322,97.736,98.699,97.467,98.384,0.062,0.21
2014-08-05,98.325,98.637,96.995,97.575,98.382,98.696,97.044,97.634,0.059,0.2
2014-08-06,97.578,98.104,96.716,96.915,97.635,98.153,96.763,96.975,0.06,0.21
2014-08-07,96.925,97.685,96.522,97.345,96.983,97.745,96.582,97.414,0.069,0.22
2014-08-08,97.357,98.407,97.145,97.508,97.415,98.467,97.194,97.563,0.055,0.21
2014-08-11,97.625,98.545,97.456,97.826,97.688,98.595,97.504,97.893,0.067,0.2
2014-08-12,97.824,97.907,96.815,97.212,97.896,97.968,96.868,97.273,0.061,0.23
2014-08-13,97.213,97.748,96.734,97.373,97.275,97.795,96.784,97.434,0.061,0.24
2014-08-14,97.374,97.548,95.235,95.537,97.436,97.614,95.295,95.595,0.058,14.86
2014-08-15,95.521,97.386,95.291,97.164,95.596,97.437,95.353,97.226,0.062,22.44
2014-08-18,96.886,96.948,93.833,93.916,96.948,97.009,93.9,93.974,0.058,14.92
2014-08-19,93.897,94.337,92.627,92.887,93.965,94.395,92.67,92.94,0.053,17.3
2014-08-20,92.877,93.618,92.704,93.618,92.946,93.672,92.761,93.67,0.052,7.06
2014-08-21,93.477,94.43,92.495,93.896,93.54,94.474,92.592,93.952,0.056,17.91
2014-08-22,93.887,94.016,92.916,93.339,93.955,94.074,92.961,93.39,0.051,18.09
2014-08-25,93.278,93.919,93.038,93.46,93.335,93.974,93.08,93.514,0.054,14.3
2014-08-26,93.45,94.32,93.337,93.758,93.513,94.364,93.381,93.813,0.055,15.96
2014-08-27,93.776,94.21,93.35,93.717,93.835,94.265,93.392,93.78,0.063,14.42
2014-08-28,93.718,94.677,93.427,94.506,93.783,94.723,93.49,94.564,0.058,74.62
2014-08-29,94.506,95.979,94.455,95.789,94.571,96.013,94.511,95.844,0.055,207.91
2014-09-01,95.74,95.89,95.488,95.81,95.803,95.934,95.54,95.853,0.043,212.51
2014-09-02,95.786,95.86,92.686,93.167,95.833,95.904,92.711,93.222,0.055,578.43
2014-09-03,93.187,95.809,93.039,95.12,93.221,95.85,93.091,95.171,0.051,741.73
2014-09-04,95.107,95.362,94.145,94.544,95.171,95.414,94.189,94.601,0.057,108.65
