date,close
2026-03-07,157.53
2026-03-08,158.02
2026-03-09,157.73
2026-03-10,158.05
2026-03-11,158.95
2026-03-12,159.33
2026-03-13,159.21
2026-03-14,159.72
2026-03-15,159.63
2026-03-16,159.12
2026-03-17,159.0
2026-03-18,159.86
2026-03-19,157.69
2026-03-20,159.3
2026-03-21,159.22
2026-03-22,159.31
2026-03-23,158.47
2026-03-24,158.77
2026-03-25,159.48
2026-03-26,159.65
2026-03-27,160.25
2026-03-28,159.7
2026-03-29,160.15
2026-03-30,159.72
2026-03-31,158.71
2026-04-01,158.77
2026-04-02,159.57
2026-04-03,159.49
2026-04-04,159.63
2026-04-05,159.63
2026-04-06,159.68
2026-04-07,159.68
2026-04-08,158.57
2026-04-09,158.98
2026-04-10,159.27
2026-04-11,159.24
2026-04-12,159.64
2026-04-13,159.44
2026-04-14,158.78
2026-04-15,158.97
2026-04-16,159.15
2026-04-17,159.2
2026-04-18,158.58
2026-04-19,158.76
2026-04-20,158.84
2026-04-21,159.4
2026-04-22,159.44
2026-04-23,159.74
2026-04-24,159.31
2026-04-25,159.33
2026-04-26,159.57
2026-04-27,159.37
2026-04-28,159.52
2026-04-29,160.36
2026-04-30,156.48
2026-05-01,157.07
2026-05-02,157.03
2026-05-03,157.03
2026-05-04,157.16
2026-05-05,157.85
2026-05-06,156.28
2026-05-07,156.85
2026-05-08,156.62
2026-05-09,156.62
2026-05-10,156.53
2026-05-11,157.14
2026-05-12,157.58
2026-05-13,157.69
2026-05-14,158.31
2026-05-15,158.73
2026-05-16,158.73
2026-05-17,158.73
2026-05-18,158.8
2026-05-19,159.05
2026-05-20,158.84
2026-05-21,158.94
2026-05-22,159.15
2026-05-23,159.15
2026-05-24,158.78
2026-05-25,158.87
2026-05-26,159.27
2026-05-27,159.41
2026-05-28,159.21
2026-05-29,159.26
2026-05-30,159.26
2026-05-31,159.34
2026-06-01,159.66
2026-06-02,159.92
2026-06-03,160.03
2026-06-04,159.98
2026-06-05,160.29
2026-06-06,160.29
2026-06-07,160.23
2026-06-08,160.11
2026-06-09,160.37
2026-06-10,160.56
2026-06-11,159.96
2026-06-12,160.18
2026-06-13,160.18
2026-06-14,160.1
2026-06-15,160.33
2026-06-16,160.42
2026-06-17,160.63
2026-06-18,161.31
2026-06-19,161.27
2026-06-20,161.27
2026-06-21,161.23
2026-06-22,161.58
2026-06-23,161.5
2026-06-24,161.71
2026-06-25,161.79
2026-06-26,161.73
2026-06-27,161.68
2026-06-28,161.72
2026-06-29,161.86
2026-06-30,162.58
2026-07-01,162.53
2026-07-02,161.05
2026-07-03,161.34
2026-07-04,161.34
2026-07-05,161.27
2026-07-06,162.07
2026-07-07,162.13
2026-07-08,162.51
2026-07-09,162.35
2026-07-10,161.67
2026-07-11,161.67
2026-07-12,161.71
2026-07-13,162.42
2026-07-14,162.21
2026-07-15,162.15
2026-07-16,162.39
2026-07-17,162.37
2026-07-18,162.35
2026-07-19,162.45
2026-07-20,162.46
2026-07-21,163.14
2026-07-22,163.1
