date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,0.81909,0.82207,0.81906,0.82053,0.82012,0.82383,0.81954,0.82076,0.00023,1152.68
2014-01-02,0.82055,0.82332,0.81387,0.81847,0.82076,0.82362,0.81399,0.81869,0.00022,55858.45
2014-01-03,0.81848,0.83163,0.81778,0.82691,0.81869,0.83176,0.818,0.82775,0.00084,103223.13
2014-01-06,0.82645,0.83055,0.82515,0.82874,0.82673,0.83067,0.82528,0.82899,0.00025,82505.06
2014-01-07,0.82874,0.83022,0.82536,0.82783,0.829,0.83033,0.82551,0.82805,0.00022,85512.26
2014-01-08,0.82783,0.83177,0.82507,0.826,0.82804,0.8318,0.82524,0.82625,0.00025,96371.51
2014-01-09,0.82603,0.8272,0.82315,0.82435,0.82625,0.82736,0.82326,0.82459,0.00024,91942.9
2014-01-10,0.82435,0.83081,0.82048,0.82973,0.82458,0.83094,0.82081,0.8306,0.00087,92949.91
2014-01-13,0.8302,0.83894,0.8283,0.83753,0.83036,0.83906,0.82847,0.83765,0.00012,85020.93
2014-01-14,0.8375,0.84311,0.83585,0.83655,0.83765,0.84327,0.83596,0.83667,0.00012,64039.16
2014-01-15,0.83655,0.83749,0.8323,0.8331,0.83667,0.83757,0.83245,0.83326,0.00016,55351.79
2014-01-16,0.8331,0.83594,0.82963,0.83462,0.83325,0.83621,0.82974,0.83478,0.00016,62925.53
2014-01-17,0.83465,0.83567,0.82477,0.82523,0.83478,0.83584,0.82495,0.82653,0.0013,64606.03
2014-01-20,0.82528,0.83374,0.82111,0.83131,0.82541,0.83388,0.82137,0.83143,0.00012,54694.55
2014-01-21,0.83131,0.83413,0.82962,0.83107,0.83143,0.83424,0.82968,0.83119,0.00012,49790.08
2014-01-22,0.83107,0.83457,0.82933,0.83038,0.83119,0.83464,0.82941,0.83049,0.00011,47658.4
2014-01-23,0.83038,0.83381,0.8261,0.82841,0.83049,0.83393,0.82624,0.82852,0.00011,65048.36
2014-01-24,0.82841,0.8296,0.82098,0.82098,0.82852,0.82974,0.82162,0.82162,0.00064,62362.86
