date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-02,16528.951,16549.973,16423.914,16455.942,16530.065,16551.084,16425.089,16460.134,4.192,8.06
2014-01-03,16455.78,16516.907,16394.67,16453.821,16460.281,16518.011,16399.124,16458.25,4.429,10.7
2014-01-06,16482.608,16535.993,16400.902,16428.698,16487.249,16537.092,16402.015,16433.39,4.692,10.27
2014-01-07,16428.835,16562.976,16426.599,16514.667,16433.264,16564.279,16431.118,16519.303,4.636,9.66
2014-01-08,16514.888,16539.972,16416.806,16449.643,16519.186,16544.283,16417.025,16454.271,4.628,12.58
2014-01-09,16450.706,16527.902,16376.914,16450.911,16455.347,16532.24,16378.011,16455.238,4.327,10.64
2014-01-10,16450.623,16518.947,16379.93,16444.723,16455.24,16523.092,16381.002,16449.382,4.659,1.17
2014-01-13,16440.642,16453.984,16241.907,16277.674,16445.354,16455.087,16242.543,16282.107,4.433,8.23
2014-01-14,16277.651,16373.892,16242.688,16362.77,16282.036,16374.923,16247.175,16367.17,4.4,12.18
2014-01-15,16362.828,16504.303,16348.602,16469.706,16367.053,16506.208,16353.012,16474.161,4.455,10.53
2014-01-16,16469.94,16482.897,16373.887,16384.75,16474.269,16487.35,16375.031,16389.13,4.38,13.54
2014-01-17,16385.721,16494.954,16381.969,16452.905,16390.166,16496.086,16386.066,16457.359,4.454,10.3
2014-01-20,16462.799,16462.896,16424.733,16458.952,16467.003,16467.132,16429.328,16463.378,4.426,0.07
2014-01-21,16458.609,16546.873,16314.914,16373.868,16463.216,16551.388,16316.044,16378.063,4.195,10.62
2014-01-22,16373.82,16436.971,16330.915,16403.828,16378.216,16441.082,16332.08,16408.382,4.554,0.28
2014-01-23,16402.989,16402.996,16137.901,16203.837,16407.051,16407.401,16139.011,16208.317,4.48,0.37
2014-01-24,16202.792,16237.838,15853.633,15856.8,16207.284,16242.136,15858.086,15861.226,4.426,0.45
2014-01-27,15804.23,15942.751,15803.627,15837.857,15804.285,15942.794,15803.675,15837.903,0.046,104.54
2014-01-28,15837.856,15945.873,15837.856,15928.547,15837.906,15945.905,15837.906,15928.579,0.032,187.46
2014-01-29,15928.532,15928.532,15715.271,15738.766,15928.59,15928.59,15715.32,15738.805,0.039,217.48
2014-01-30,15738.773,15907.505,15734.981,15848.59,15738.808,15907.554,15735.03,15848.636,0.046,205.7
2014-01-31,15848.584,15848.584,15617.524,15698.831,15848.64,15848.64,15617.564,15698.878,0.047,215.62
2014-02-03,15698.821,15708.524,15356.146,15372.778,15698.865,15708.562,15356.19,15372.828,0.05,204.1
2014-02-04,15372.783,15481.836,15356.597,15445.211,15372.819,15481.866,15356.635,15445.271,0.06,185.68
2014-02-05,15445.225,15478.189,15340.67,15440.208,15445.26,15478.238,15340.706,15440.247,0.039,216.02
2014-02-07,15560.769,15802.34,15552.914,15799.718,15565.205,15806.799,15557.219,15804.061,4.343,25.37
2014-02-10,15792.215,15803.989,15730.913,15796.663,15796.644,15808.049,15732.009,15801.063,4.4,0.52
2014-02-11,15797.149,16028.947,15792.116,15954.12,15801.564,16030.099,15796.669,15958.803,4.683,0.54
2014-02-12,15954.423,16037.993,15927.935,15961.461,15958.527,16039.072,15929.04,15965.665,4.204,0.52
2014-02-13,15960.973,16039.972,15849.164,16002.22,15965.171,16041.094,15853.604,16006.512,4.292,0.56
2014-02-14,16003.417,16177.984,15938.25,16153.689,16007.791,16179.103,15942.868,16158.393,4.704,0.52
2014-02-17,16154.963,16216.788,16128.601,16177.875,16159.361,16221.355,16133.266,16182.355,4.48,0.13
2014-02-18,16178.79,16203.928,16106.405,16109.342,16183.349,16208.273,16107.542,16113.81,4.468,0.45
2014-02-19,16110.176,16225.963,16028.971,16049.486,16114.642,16227.086,16030.065,16053.785,4.299,0.56
2014-02-20,16049.516,16159.483,15970.748,16123.92,16053.773,16160.544,15975.159,16128.021,4.101,0.59
2014-02-21,16124.468,16191.427,16094.9,16109.821,16128.888,16192.533,16096.038,16114.052,4.231,0.55
2014-02-24,16114.293,16300.991,16061.735,16205.886,16118.645,16302.018,16066.185,16210.352,4.466,0.48
2014-02-25,16205.921,16256.468,16142.923,16211.15,16210.221,16257.554,16144.029,16215.798,4.648,0.51
2014-02-26,16211.188,16259.975,16153.952,16199.247,16215.749,16264.279,16155.059,16203.503,4.256,66.87
2014-02-27,16199.042,16298.445,16112.675,16274.207,16203.371,16302.897,16116.851,16278.673,4.466,96.7
2014-02-28,16274.26,16400.988,16224.899,16338.652,16278.888,16402.018,16226.011,16343.288,4.636,85.38
2014-03-03,16200.911,16233.456,16069.906,16170.904,16205.32,16237.808,16071.054,16175.297,4.393,78.05
2014-03-04,16170.18,16418.996,16166.216,16377.92,16174.689,16419.56,16170.653,16382.212,4.292,96.25
2014-03-05,16377.867,16413.284,16342.949,16365.325,16382.254,16417.836,16344.028,16369.567,4.242,0.48
2014-03-06,16365.297,16448.996,16357.103,16430.728,16369.87,16450.097,16361.674,16435.35,4.622,0.48
2014-03-07,16430.741,16512.922,16407.44,16446.908,16435.234,16517.383,16408.588,16451.377,4.469,9.53
2014-03-10,16422.743,16465.614,16332.898,16405.676,16427.369,16470.022,16334.052,16410.064,4.388,10.38
2014-03-11,16406.757,16460.734,16310.37,16322.154,16411.269,16461.836,16314.616,16326.897,4.743,44.85
2014-03-12,16321.604,16365.985,16254.935,16354.642,16326.239,16367.085,16256.076,16359.146,4.504,44.26
2014-03-13,16354.352,16406.634,16090.915,16122.218,16358.547,16409.062,16092.061,16126.784,4.566,15.25
2014-03-14,16123.408,16165.926,16043.974,16057.216,16127.767,16167.649,16045.099,16061.664,4.448,36.23
2014-03-17,16029.116,16272.968,16024.405,16238.427,16033.67,16274.057,16028.523,16242.825,4.398,1.05
2014-03-18,16238.489,16370.913,16195.621,16338.413,16242.64,16372.09,16200.087,16342.52,4.107,3.18
2014-03-19,16338.336,16361.904,16118.944,16219.898,16342.504,16363.028,16120.036,16224.289,4.391,45.59
2014-03-20,16219.835,16349.94,16145.111,16323.375,16224.021,16351.889,16149.666,16327.58,4.205,6.45
2014-03-21,16323.216,16456.423,16287.833,16306.645,16327.869,16456.473,16289.093,16311.289,4.644,46.14
2014-03-24,16297.622,16379.146,16212.899,16294.286,16302.343,16380.057,16214.017,16298.526,4.24,7.19
2014-03-25,16293.159,16406.959,16268.826,16396.901,16297.576,16408.079,16273.345,16401.198,4.297,24.18
2014-03-26,16396.406,16467.995,16247.858,16278.475,16400.823,16469.051,16252.075,16282.516,4.041,28.68
2014-03-27,16278.236,16304.805,16189.929,16266.948,16282.777,16309.384,16191.04,16271.152,4.204,0.61
2014-03-28,16266.677,16418.951,16257.617,16313.993,16271.092,16420.052,16262.151,16318.088,4.095,33.85
2014-03-31,16374.37,16479.963,16356.116,16448.806,16378.697,16481.1,16360.521,16453.394,4.588,0.45
2014-04-01,16447.733,16565.951,16435.617,16522.929,16452.177,16567.099,16440.279,16527.4,4.471,85.46
2014-04-02,16522.46,16586.971,16506.955,16555.479,16526.754,16588.055,16508.034,16559.677,4.198,0.43
2014-04-03,16555.364,16606.955,16527.939,16587.767,16559.597,16608.094,16529.032,16592.18,4.413,0.48
2014-04-04,16587.789,16649.225,16388.901,16442.729,16592.044,16653.598,16390.046,16447.355,4.626,63.27
2014-04-07,16414.098,16429.916,16243.949,16270.478,16418.67,16434.385,16245.004,16274.805,4.327,59.23
2014-04-08,16270.193,16295.98,16177.811,16256.761,16274.709,16297.088,16180.094,16261.204,4.443,26.93
2014-04-09,16256.844,16450.453,16243.602,16447.492,16261.16,16454.905,16248.007,16451.751,4.259,71.94
2014-04-10,16447.13,16456.098,16150.953,16186.757,16451.657,16459.706,16152.05,16191.282,4.525,8.29
2014-04-11,16185.624,16218.688,16013.926,16047.142,16190.225,16223.121,16015.033,16051.884,4.742,6.5
2014-04-14,16011.847,16187.928,16007.393,16172.285,16016.232,16189.072,16011.794,16176.901,4.616,11.86
2014-04-15,16171.699,16322.697,16063.428,16296.438,16176.3,16327.381,16064.527,16300.721,4.283,0.76
2014-04-16,16296.449,16426.455,16293.223,16363.236,16300.618,16430.803,16297.641,16367.88,4.644,0.61
2014-04-17,16363.721,16454.419,16348.938,16405.192,16368.117,16455.559,16353.07,16409.818,4.626,0.48
2014-04-21,16444.445,16460.924,16404.928,16438.41,16448.903,16462.096,16406.079,16442.546,4.136,0.21
2014-04-22,16438.966,16567.907,16409.388,16524.695,16443.39,16569.038,16413.606,16529.213,4.518,0.46
2014-04-23,16524.836,16568.386,16477.253,16551.889,16529.199,16572.641,16477.467,16556.012,4.123,95.47
2014-04-24,16551.644,16576.217,16450.461,16465.27,16556.259,16580.836,16451.586,16469.746,4.476,0.55
2014-04-25,16464.266,16478.177,16330.929,16388.471,16468.615,16482.603,16332.043,16392.707,4.236,0.59
2014-04-28,16385.982,16501.967,16309.974,16473.393,16390.178,16503.076,16311.051,16477.708,4.315,0.65
2014-04-29,16473.46,16560.926,16468.15,16523.444,16477.649,16562.038,16472.518,16527.675,4.231,0.55
2014-04-30,16522.993,16593.941,16499.112,16586.621,16527.231,16595.028,16503.568,16591.318,4.697,0.5
2014-05-01,16586.875,16605.417,16523.437,16556.929,16591.265,16606.589,16524.518,16561.264,4.335,0.29
2014-05-02,16558.206,16616.992,16485.951,16503.181,16562.564,16618.104,16487.017,16507.585,4.404,0.5
2014-05-05,16511.989,16549.934,16373.903,16522.814,16516.25,16551.028,16375.002,16527.05,4.236,0.4
2014-05-06,16522.351,16552.465,16371.338,16410.785,16526.603,16556.748,16375.804,16415.189,4.404,3.03
2014-05-07,16410.681,16526.301,16359.919,16511.459,16415.318,16530.862,16361.086,16515.641,4.182,0.64
2014-05-08,16510.653,16622.925,16491.192,16535.188,16515.121,16624.056,16495.669,16539.761,4.573,15.13
2014-05-09,16535.808,16588.502,16499.903,16577.721,16540.266,16588.547,16501.016,16582.272,4.551,53.48
2014-05-12,16590.337,16711.419,16586.179,16708.789,16594.896,16715.824,16590.73,16713.372,4.583,4.82
2014-05-13,16708.857,16734.949,16699.104,16708.137,16713.307,16738.875,16703.631,16712.714,4.577,0.54
2014-05-14,16708.104,16728.818,16592.899,16609.073,16712.574,16733.322,16594.012,16613.302,4.229,18.23
2014-05-15,16609.425,16645.652,16394.908,16449.41,16613.756,16650.065,16396.009,16453.611,4.201,71.48
2014-05-16,16449.438,16500.993,16404.455,16490.419,16453.808,16502.103,16408.839,16494.68,4.261,0.56
2014-05-19,16499.924,16526.953,16416.138,16501.945,16504.096,16528.076,16420.52,16506.013,4.068,19.65
2014-05-20,16501.808,16532.336,16341.408,16356.25,16506.387,16536.55,16341.45,16360.901,4.651,53.95
2014-05-21,16355.774,16544.442,16351.792,16519.118,16360.296,16545.565,16356.241,16523.773,4.655,13.49
2014-05-22,16519.288,16576.868,16485.417,16549.216,16523.557,16581.233,16486.578,16553.821,4.605,0.44
2014-05-23,16549.301,16613.958,16540.169,16608.388,16553.532,16615.102,16544.527,16612.783,4.395,0.36
