date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2007-01-03,1769.22,1793.05,1731.71,1759.37,1769.22,1793.05,1731.71,1759.37,0.0,0.0
2007-01-04,1763.15,1799.07,1757.0,1792.91,1763.15,1799.07,1757.0,1792.91,0.0,0.0
2007-01-05,1787.79,1787.79,1770.29,1785.3,1787.79,1787.79,1770.29,1785.3,0.0,0.0
2007-01-08,1786.39,1795.45,1776.99,1787.14,1786.39,1795.45,1776.99,1787.14,0.0,0.0
2007-01-09,1791.75,1802.44,1776.73,1795.63,1791.75,1802.44,1776.73,1795.63,0.0,0.0
2007-01-10,1790.51,1817.22,1784.28,1816.15,1790.51,1817.22,1784.28,1816.15,0.0,0.0
2007-01-11,1820.75,1840.88,1818.09,1834.86,1820.75,1840.88,1818.09,1834.86,0.0,0.0
2007-01-12,1832.15,1845.68,1830.34,1844.81,1832.15,1845.68,1830.34,1844.81,0.0,0.0
2007-01-16,1844.73,1847.54,1836.83,1842.44,1844.73,1847.54,1836.83,1842.44,0.0,0.0
2007-01-17,1835.05,1843.07,1824.74,1827.68,1835.05,1843.07,1824.74,1827.68,0.0,0.0
2007-01-18,1821.99,1824.34,1789.39,1793.68,1821.99,1824.34,1789.39,1793.68,0.0,0.0
2007-01-19,1787.82,1802.22,1787.52,1796.81,1787.82,1802.22,1787.52,1796.81,0.0,0.0
2007-01-22,1800.33,1800.53,1771.24,1779.02,1800.33,1800.53,1771.24,1779.02,0.0,0.0
2007-01-23,1776.83,1790.07,1771.44,1773.4,1776.83,1790.07,1771.44,1773.4,0.0,0.0
2007-01-24,1785.42,1803.46,1781.82,1802.63,1785.42,1803.46,1781.82,1802.63,0.0,0.0
2007-01-25,1806.75,1810.24,1774.58,1777.75,1806.75,1810.24,1774.58,1777.75,0.0,0.0
2007-01-26,1783.38,1784.82,1763.3,1772.97,1783.38,1784.82,1763.3,1772.97,0.0,0.0
2007-01-29,1771.05,1786.97,1767.09,1775.08,1771.05,1786.97,1767.09,1775.08,0.0,0.0
2007-01-30,1780.26,1782.21,1772.03,1777.76,1780.26,1782.21,1772.03,1777.76,0.0,0.0
2007-01-31,1774.44,1798.49,1764.63,1792.28,1774.44,1798.49,1764.63,1792.28,0.0,0.0
2007-02-01,1801.6,1806.81,1785.54,1791.45,1801.6,1806.81,1785.54,1791.45,0.0,0.0
2007-02-02,1795.68,1800.39,1788.97,1798.13,1795.68,1800.39,1788.97,1798.13,0.0,0.0
2007-02-05,1796.48,1804.4,1789.72,1795.39,1796.48,1804.4,1789.72,1795.39,0.0,0.0
2007-02-06,1799.33,1800.05,1776.51,1793.06,1799.33,1800.05,1776.51,1793.06,0.0,0.0
2007-02-07,1803.23,1816.77,1796.18,1810.95,1803.23,1816.77,1796.18,1810.95,0.0,0.0
2007-02-08,1807.41,1814.48,1800.63,1810.54,1807.41,1814.48,1800.63,1810.54,0.0,0.0
2007-02-09,1815.22,1819.3,1780.44,1785.53,1815.22,1819.3,1780.44,1785.53,0.0,0.0
2007-02-12,1787.11,1787.11,1774.25,1778.42,1787.11,1787.11,1774.25,1778.42,0.0,0.0
2007-02-13,1782.16,1789.98,1778.66,1783.82,1782.16,1789.98,1778.66,1783.82,0.0,0.0
2007-02-14,1792.74,1818.55,1792.29,1814.98,1792.74,1818.55,1792.29,1814.98,0.0,0.0
2007-02-15,1815.49,1824.09,1813.07,1823.41,1815.49,1824.09,1813.07,1823.41,0.0,0.0
2007-02-16,1818.56,1823.37,1813.9,1821.49,1818.56,1823.37,1813.9,1821.49,0.0,0.0
2007-02-20,1817.84,1835.31,1808.11,1833.71,1817.84,1835.31,1808.11,1833.71,0.0,0.0
2007-02-21,1827.03,1839.13,1824.53,1839.13,1827.03,1839.13,1824.53,1839.13,0.0,0.0
2007-02-22,1845.47,1851.47,1832.6,1846.34,1845.47,1851.47,1832.6,1846.34,0.0,0.0
2007-02-23,1845.41,1846.77,1832.4,1839.77,1845.41,1846.77,1832.4,1839.77,0.0,0.0
2007-02-26,1848.48,1849.09,1819.76,1830.59,1848.48,1849.09,1819.76,1830.59,0.0,0.0
2007-02-27,1801.87,1808.08,1750.7,1756.27,1801.87,1808.08,1750.7,1756.27,0.0,0.0
2007-02-28,1754.88,1778.17,1746.29,1761.65,1754.88,1778.17,1746.29,1761.65,0.0,0.0
2007-03-01,1729.03,1768.96,1717.95,1753.45,1729.03,1768.96,1717.95,1753.45,0.0,0.0
2007-03-02,1740.87,1752.86,1726.03,1726.03,1740.87,1752.86,1726.03,1726.03,0.0,0.0
2007-03-05,1711.47,1739.05,1710.97,1712.94,1711.47,1739.05,1710.97,1712.94,0.0,0.0
2007-03-06,1730.39,1747.21,1727.12,1743.1,1730.39,1747.21,1727.12,1743.1,0.0,0.0
2007-03-07,1740.79,1746.86,1733.82,1736.1,1740.79,1746.86,1733.82,1736.1,0.0,0.0
2007-03-08,1753.6,1757.52,1741.47,1746.43,1753.6,1757.52,1741.47,1746.43,0.0,0.0
2007-03-09,1759.54,1760.96,1734.35,1744.74,1759.54,1760.96,1734.35,1744.74,0.0,0.0
2007-03-12,1742.98,1758.49,1742.05,1756.42,1742.98,1758.49,1742.05,1756.42,0.0,0.0
2007-03-13,1747.32,1756.22,1722.48,1722.48,1747.32,1756.22,1722.48,1722.48,0.0,0.0
2007-03-14,1724.65,1743.15,1711.28,1743.15,1724.65,1743.15,1711.28,1743.15,0.0,0.0
