date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,1.06399,1.0648,1.06398,1.06467,1.06458,1.06498,1.06426,1.06477,0.0001,489.56
2014-01-02,1.06465,1.06776,1.05882,1.06694,1.06476,1.0678,1.05888,1.06704,0.0001,55652.73
2014-01-03,1.06694,1.06717,1.06023,1.06308,1.06703,1.06725,1.06033,1.06388,0.0008,53238.09
2014-01-06,1.06318,1.06804,1.06087,1.06611,1.06328,1.06811,1.06096,1.0662,9e-05,43788.36
2014-01-07,1.06611,1.07809,1.06591,1.07749,1.0662,1.07817,1.06599,1.07757,8e-05,60760.37
2014-01-08,1.0775,1.08299,1.07733,1.08235,1.0776,1.08307,1.07741,1.08243,8e-05,64465.7
2014-01-09,1.08237,1.08742,1.08187,1.08461,1.08245,1.0875,1.08195,1.08471,0.0001,60782.03
2014-01-10,1.08461,1.09456,1.08374,1.08896,1.08472,1.09464,1.08384,1.08967,0.00071,76376.24
2014-01-13,1.09058,1.09291,1.08426,1.08817,1.09066,1.09298,1.08432,1.08832,0.00015,56053.48
2014-01-14,1.08817,1.09585,1.08789,1.09484,1.08832,1.09595,1.08798,1.09494,0.0001,58438.34
2014-01-15,1.09484,1.09909,1.092,1.09485,1.09494,1.09916,1.09206,1.09501,0.00016,59380.61
2014-01-16,1.09485,1.09624,1.09048,1.09331,1.09496,1.09633,1.09054,1.09339,8e-05,58505.21
2014-01-17,1.09331,1.0983,1.09256,1.0959,1.09339,1.09844,1.09269,1.09641,0.00051,55683.23
2014-01-20,1.09661,1.0972,1.09294,1.09548,1.09671,1.09726,1.09302,1.09555,7e-05,37417.87
2014-01-21,1.09543,1.10186,1.0947,1.09706,1.09551,1.10192,1.09479,1.09722,0.00016,51916.56
2014-01-22,1.09706,1.11046,1.09534,1.11034,1.09722,1.11054,1.09541,1.11043,9e-05,65420.81
2014-01-23,1.11034,1.11732,1.10919,1.1113,1.11043,1.11739,1.10925,1.11138,8e-05,93527.68
2014-01-24,1.1113,1.11374,1.10519,1.10864,1.11139,1.11378,1.10527,1.10905,0.00041,81178.31
2014-01-27,1.10624,1.11187,1.10312,1.11156,1.10632,1.11202,1.1032,1.11164,8e-05,62110.44
2014-01-28,1.11151,1.11765,1.10781,1.11455,1.11168,1.11771,1.10787,1.1146,5e-05,58496.44
2014-01-29,1.11454,1.11864,1.11023,1.11825,1.11469,1.11875,1.11032,1.11835,0.0001,71041.13
2014-01-30,1.1183,1.11985,1.11505,1.11574,1.11836,1.11989,1.11511,1.11583,9e-05,55897.71
2014-01-31,1.11574,1.12243,1.10873,1.11267,1.11583,1.12248,1.10886,1.11306,0.00039,68381.6
2014-02-03,1.11239,1.11333,1.10409,1.11091,1.1125,1.11341,1.10418,1.11099,8e-05,61430.22
2014-02-04,1.11091,1.11233,1.10482,1.10844,1.11099,1.11239,1.1049,1.10858,0.00014,58377.64
2014-02-05,1.10842,1.11209,1.10369,1.10787,1.10858,1.11213,1.10379,1.10802,0.00015,61836.79
2014-02-06,1.10787,1.11221,1.10506,1.10697,1.10802,1.11229,1.10514,1.10712,0.00015,52648.9
2014-02-07,1.10697,1.10789,1.09674,1.10295,1.10712,1.10797,1.0968,1.10337,0.00042,58353.31
2014-02-10,1.10381,1.1062,1.10181,1.10576,1.10398,1.10627,1.10189,1.10589,0.00013,34864.15
2014-02-11,1.10574,1.10903,1.10028,1.10116,1.10589,1.10912,1.10032,1.10129,0.00013,50265.13
2014-02-12,1.10116,1.10248,1.09759,1.09959,1.10129,1.10257,1.09767,1.09977,0.00018,47643.57
2014-02-13,1.09959,1.10261,1.09542,1.09778,1.09977,1.10268,1.09551,1.09796,0.00018,46616.5
2014-02-14,1.09777,1.09897,1.094,1.09797,1.09796,1.09904,1.09408,1.0988,0.00083,45266.03
2014-02-17,1.09734,1.09828,1.09526,1.09563,1.09749,1.09834,1.09533,1.09576,0.00013,27908.16
2014-02-18,1.09563,1.09762,1.09399,1.09528,1.09577,1.09771,1.09405,1.09538,0.0001,45610.34
2014-02-19,1.09527,1.10864,1.09101,1.10734,1.09537,1.10872,1.09108,1.10744,0.0001,61029.87
2014-02-20,1.10734,1.11125,1.10604,1.11026,1.10744,1.11133,1.1061,1.11037,0.00011,51656.38
2014-02-21,1.11027,1.11928,1.11025,1.11078,1.11037,1.11948,1.11034,1.11108,0.0003,56605.98
2014-02-24,1.11124,1.11429,1.10543,1.10594,1.11143,1.11434,1.1055,1.10611,0.00017,43363.67
2014-02-25,1.10594,1.10958,1.1054,1.1085,1.10603,1.10966,1.10547,1.1086,0.0001,38563.35
2014-02-26,1.10851,1.1144,1.1073,1.11367,1.1086,1.1145,1.10735,1.11383,0.00016,47519.04
2014-02-27,1.11371,1.11597,1.11176,1.11225,1.11381,1.11602,1.11182,1.11234,9e-05,46718.86
2014-02-28,1.11222,1.11467,1.10402,1.10588,1.11235,1.11475,1.10409,1.10692,0.00104,54380.81
2014-03-03,1.10634,1.11098,1.10387,1.10805,1.10645,1.11106,1.10395,1.10816,0.00011,49074.94
2014-03-04,1.108,1.11176,1.1062,1.10873,1.10816,1.11182,1.10628,1.10883,0.0001,45113.73
2014-03-05,1.10875,1.10988,1.10247,1.10296,1.1089,1.11011,1.10262,1.10312,0.00016,49349.94
2014-03-06,1.10296,1.10459,1.09551,1.09868,1.10311,1.10471,1.09556,1.09884,0.00016,56129.26
2014-03-07,1.0987,1.11008,1.09803,1.10862,1.09885,1.11014,1.09811,1.10902,0.0004,49723.92
2014-03-10,1.10886,1.11303,1.10882,1.11161,1.10896,1.11313,1.10893,1.11167,6e-05,39623.92
2014-03-11,1.11163,1.11308,1.10715,1.11094,1.11168,1.11313,1.10721,1.11109,0.00015,40920.26
2014-03-12,1.11092,1.11536,1.10901,1.11179,1.11109,1.11541,1.10906,1.11195,0.00016,54698.86
2014-03-13,1.11182,1.11213,1.10432,1.10781,1.11195,1.11224,1.10438,1.10796,0.00015,65030.74
2014-03-14,1.1078,1.11104,1.10725,1.10996,1.10793,1.11111,1.10737,1.11045,0.00049,54737.04
2014-03-17,1.10955,1.11035,1.10449,1.10585,1.10967,1.11048,1.10453,1.10599,0.00014,47920.69
2014-03-18,1.10585,1.11462,1.10252,1.11277,1.10599,1.11469,1.10265,1.11285,8e-05,56048.51
2014-03-19,1.11277,1.1271,1.11218,1.12431,1.11284,1.1272,1.11225,1.12441,0.0001,73969.57
2014-03-20,1.12431,1.12781,1.1234,1.1241,1.12441,1.12788,1.12347,1.12426,0.00016,50239.59
2014-03-21,1.12409,1.12625,1.11735,1.12179,1.12427,1.12631,1.11744,1.12271,0.00092,54028.84
2014-03-24,1.12262,1.12463,1.11835,1.11974,1.12269,1.12468,1.11841,1.11982,8e-05,49487.09
2014-03-25,1.11972,1.12103,1.1155,1.11656,1.11982,1.12108,1.11559,1.11666,0.0001,51604.34
2014-03-26,1.11655,1.11689,1.10807,1.10988,1.11666,1.11695,1.10815,1.10998,0.0001,62055.1
2014-03-27,1.10988,1.11038,1.10137,1.10304,1.10998,1.11047,1.10145,1.10314,0.0001,68333.87
2014-03-28,1.10304,1.10777,1.10005,1.10579,1.10313,1.10782,1.10012,1.10659,0.0008,48968.79
2014-03-31,1.10508,1.10668,1.10022,1.10527,1.10519,1.10674,1.10029,1.10536,9e-05,53960.68
2014-04-01,1.10527,1.10696,1.10123,1.10293,1.10536,1.10701,1.10131,1.10307,0.00014,44807.07
2014-04-02,1.10296,1.10473,1.10044,1.10306,1.10305,1.10479,1.10049,1.10315,9e-05,42620.34
2014-04-03,1.10307,1.10454,1.10059,1.1035,1.10315,1.10461,1.10064,1.1036,0.0001,43536.75
2014-04-04,1.10349,1.10361,1.09569,1.09784,1.1036,1.1037,1.09578,1.09832,0.00048,46412.56
2014-04-07,1.09801,1.10094,1.09616,1.09763,1.09812,1.10099,1.09622,1.09779,0.00016,50442.94
2014-04-08,1.09764,1.09772,1.09122,1.09298,1.09779,1.09779,1.09127,1.0931,0.00012,61490.03
2014-04-09,1.09298,1.09422,1.08578,1.08804,1.09308,1.09429,1.08588,1.08815,0.00011,62866.22
2014-04-10,1.08805,1.09364,1.08675,1.09331,1.08818,1.0938,1.08684,1.09342,0.00011,57749.5
2014-04-11,1.09331,1.09838,1.09181,1.09777,1.09342,1.09853,1.09188,1.09829,0.00052,51708.39
2014-04-14,1.09752,1.09925,1.09422,1.09684,1.09763,1.09933,1.09427,1.0969,6e-05,46021.08
2014-04-15,1.09684,1.10132,1.09636,1.09859,1.0969,1.10141,1.09641,1.09869,0.0001,55250.78
2014-04-16,1.09859,1.10334,1.09593,1.10102,1.09871,1.10343,1.09607,1.10112,0.0001,62119.87
2014-04-17,1.10106,1.10184,1.09834,1.10078,1.10112,1.10197,1.09841,1.10098,0.0002,45241.53
2014-04-18,1.1007,1.10277,1.09976,1.10184,1.10097,1.10295,1.09993,1.10275,0.00091,21839.21
2014-04-21,1.10208,1.10308,1.10078,1.10196,1.10219,1.10316,1.10084,1.10205,9e-05,26710.47
2014-04-22,1.10197,1.10419,1.10004,1.10275,1.10205,1.10427,1.10011,1.10285,0.0001,44318.86
2014-04-23,1.10276,1.10531,1.10172,1.10315,1.10284,1.10537,1.10179,1.1032,5e-05,49210.22
2014-04-24,1.10316,1.10384,1.10152,1.10218,1.10321,1.10391,1.10161,1.10232,0.00014,40439.1
2014-04-25,1.1022,1.10469,1.1014,1.10378,1.10232,1.10474,1.10148,1.10415,0.00037,34762.48
2014-04-28,1.10352,1.10394,1.10172,1.10247,1.10364,1.10401,1.10176,1.10259,0.00012,43303.81
2014-04-29,1.10248,1.10256,1.0943,1.09534,1.10262,1.10262,1.09439,1.09542,8e-05,57191.73
2014-04-30,1.09535,1.09795,1.09424,1.09658,1.09543,1.09799,1.09433,1.09667,9e-05,57935.48
2014-05-01,1.09657,1.0995,1.09527,1.0964,1.09668,1.09961,1.09533,1.09656,0.00016,47332.15
2014-05-02,1.09639,1.1006,1.0936,1.0971,1.09656,1.10078,1.09363,1.09763,0.00053,55047.71
