date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,105.229,105.4,105.229,105.331,105.269,105.412,105.264,105.338,0.007,2030.5
2014-01-02,105.331,105.441,104.545,104.841,105.336,105.446,104.551,104.845,0.004,106753.35
2014-01-03,104.841,104.88,104.074,104.846,104.844,104.897,104.078,104.86,0.014,110287.38
2014-01-06,104.911,104.949,103.907,104.223,104.917,104.954,103.917,104.226,0.003,121891.37
2014-01-07,104.223,104.732,104.177,104.715,104.226,104.737,104.183,104.718,0.003,121127.81
2014-01-08,104.713,105.125,104.66,104.839,104.717,105.13,104.664,104.844,0.005,131648.41
2014-01-09,104.84,105.057,104.577,104.832,104.846,105.064,104.58,104.838,0.006,116533.73
2014-01-10,104.832,105.335,103.827,104.162,104.838,105.355,103.834,104.174,0.012,126282.49
2014-01-13,103.942,104.029,102.853,103.111,103.946,104.036,102.858,103.116,0.005,123461.74
2014-01-14,103.111,104.289,103.018,104.189,103.115,104.295,103.022,104.195,0.006,124523.36
2014-01-15,104.189,104.695,104.09,104.593,104.194,104.698,104.097,104.594,0.001,106720.04
2014-01-16,104.59,104.92,104.146,104.295,104.594,104.925,104.154,104.298,0.003,101127.26
2014-01-17,104.294,104.474,104.196,104.254,104.298,104.48,104.202,104.375,0.121,82342.47
2014-01-20,104.246,104.268,103.861,104.246,104.25,104.273,103.866,104.251,0.005,76396.87
2014-01-21,104.248,104.747,104.025,104.222,104.251,104.75,104.028,104.228,0.006,102359.39
2014-01-22,104.222,104.691,103.969,104.65,104.228,104.695,103.975,104.657,0.007,113146.33
2014-01-23,104.65,104.841,102.973,103.387,104.657,104.846,102.975,103.393,0.006,163206.72
2014-01-24,103.384,103.583,102.001,102.33,103.388,103.588,102.004,102.46,0.13,187378.94
2014-01-27,102.101,102.929,102.056,102.668,102.105,102.931,102.061,102.674,0.006,199633.17
2014-01-28,102.666,103.442,102.524,103.24,102.671,103.448,102.526,103.245,0.005,135555.16
2014-01-29,103.242,103.364,101.843,102.281,103.247,103.368,101.845,102.287,0.006,180393.05
2014-01-30,102.281,102.891,102.087,102.732,102.287,102.894,102.093,102.737,0.005,139439.72
2014-01-31,102.733,102.932,101.94,101.94,102.74,102.939,101.958,102.057,0.117,154568.25
2014-02-03,102.239,102.409,100.775,101.181,102.244,102.414,100.782,101.187,0.006,182431.16
2014-02-04,101.181,101.765,100.753,101.694,101.187,101.769,100.758,101.699,0.005,162005.38
2014-02-05,101.693,101.693,100.801,101.468,101.698,101.698,100.804,101.472,0.004,158062.36
2014-02-06,101.468,102.173,101.242,102.04,101.472,102.176,101.245,102.046,0.006,127569.39
2014-02-07,102.04,102.579,101.443,102.292,102.046,102.581,101.449,102.372,0.08,127773.05
2014-02-10,102.505,102.529,101.991,102.137,102.512,102.533,101.996,102.144,0.007,95554.87
2014-02-11,102.137,102.7,102.076,102.529,102.143,102.706,102.079,102.535,0.006,100368.07
2014-02-12,102.527,102.649,102.222,102.468,102.534,102.653,102.228,102.471,0.003,103147.45
2014-02-13,102.468,102.533,101.698,102.173,102.471,102.536,101.7,102.18,0.007,109290.95
2014-02-14,102.176,102.408,101.568,101.785,102.182,102.414,101.572,101.82,0.035,117031.9
2014-02-17,101.535,102.132,101.383,102.076,101.543,102.139,101.39,102.083,0.007,78083.66
2014-02-18,102.077,102.741,101.756,102.312,102.083,102.746,101.764,102.318,0.006,116156.91
2014-02-19,102.312,102.468,101.846,102.309,102.318,102.471,101.854,102.314,0.005,91714.59
2014-02-20,102.309,102.418,101.669,102.321,102.314,102.422,101.671,102.323,0.002,122993.94
2014-02-21,102.321,102.827,102.318,102.463,102.326,102.831,102.325,102.529,0.066,88916.98
2014-02-24,102.533,102.68,102.165,102.507,102.54,102.684,102.169,102.513,0.006,79333.92
