date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,19.506,19.537,19.479,19.526,19.551,19.591,19.539,19.571,0.045,7.36
2014-01-02,19.525,20.411,19.444,19.995,19.57,20.487,19.485,20.04,0.045,797.25
2014-01-03,19.995,20.304,19.976,20.13,20.04,20.344,20.021,20.177,0.047,779.15
2014-01-06,20.274,20.336,19.938,20.17,20.321,20.387,19.983,20.215,0.045,595.67
2014-01-07,20.171,20.258,19.62,19.799,20.216,20.303,19.665,19.844,0.045,571.34
2014-01-08,19.801,19.815,19.308,19.512,19.846,19.86,19.353,19.557,0.045,415.34
2014-01-09,19.511,19.703,19.394,19.573,19.556,19.748,19.439,19.618,0.045,354.58
2014-01-10,19.572,20.234,19.537,20.136,19.617,20.279,19.582,20.181,0.045,600.15
2014-01-13,20.2,20.446,19.945,20.389,20.245,20.491,19.995,20.434,0.045,707.19
2014-01-14,20.387,20.598,20.125,20.207,20.432,20.635,20.178,20.252,0.045,661.24
2014-01-15,20.203,20.231,19.923,20.183,20.248,20.276,19.968,20.228,0.045,596.65
2014-01-16,20.183,20.214,19.959,20.083,20.228,20.259,20.004,20.128,0.045,434.78
2014-01-17,20.083,20.41,19.954,20.279,20.128,20.444,19.999,20.325,0.046,522.86
2014-01-20,20.319,20.382,20.263,20.303,20.363,20.427,20.308,20.348,0.045,224.22
2014-01-21,20.3,20.303,19.675,19.894,20.345,20.348,19.72,19.939,0.045,407.39
2014-01-22,19.895,19.929,19.734,19.765,19.94,19.974,19.782,19.81,0.045,228.97
2014-01-23,19.762,20.29,19.635,20.033,19.807,20.335,19.68,20.078,0.045,614.66
2014-01-24,20.036,20.274,19.704,19.866,20.081,20.313,19.749,19.935,0.069,607.96
2014-01-27,20.005,20.029,19.544,19.702,20.05,20.074,19.589,19.747,0.045,419.71
2014-01-28,19.698,19.827,19.453,19.533,19.743,19.872,19.5,19.578,0.045,327.41
2014-01-29,19.532,19.95,19.477,19.681,19.577,19.995,19.525,19.726,0.045,402.3
2014-01-30,19.68,19.7,18.973,19.182,19.725,19.745,19.033,19.227,0.045,390.83
2014-01-31,19.183,19.454,19.066,19.148,19.228,19.499,19.111,19.217,0.069,325.5
2014-02-03,19.09,19.615,19.064,19.374,19.135,19.666,19.109,19.419,0.045,346.68
2014-02-04,19.375,19.51,19.26,19.47,19.42,19.555,19.311,19.514,0.044,310.76
2014-02-05,19.472,20.275,19.437,19.922,19.517,20.306,19.482,19.967,0.045,422.12
2014-02-06,19.926,20.163,19.834,19.915,19.971,20.211,19.879,19.96,0.045,431.77
2014-02-07,19.917,20.074,19.754,20.002,19.962,20.156,19.799,20.048,0.046,413.34
2014-02-10,20.022,20.279,19.96,20.063,20.067,20.315,20.005,20.108,0.045,545.22
2014-02-11,20.061,20.272,19.916,20.159,20.106,20.308,19.957,20.204,0.045,709.56
2014-02-12,20.157,20.385,20.078,20.224,20.202,20.428,20.123,20.269,0.045,581.11
2014-02-13,20.225,20.509,20.122,20.454,20.27,20.554,20.163,20.499,0.045,552.25
2014-02-14,20.455,21.473,20.429,21.456,20.5,21.55,20.476,21.501,0.045,856.59
2014-02-17,21.665,21.951,21.529,21.813,21.71,22.012,21.571,21.858,0.045,595.85
2014-02-18,21.812,21.955,21.302,21.822,21.857,22.002,21.344,21.867,0.045,859.11
2014-02-19,21.824,21.899,21.359,21.56,21.869,21.943,21.405,21.605,0.045,762.6
2014-02-20,21.56,21.88,21.383,21.751,21.605,21.925,21.428,21.796,0.045,691.73
2014-02-21,21.753,21.952,21.56,21.829,21.798,21.997,21.605,21.874,0.045,477.24
2014-02-24,21.837,22.158,21.494,21.937,21.882,22.203,21.547,21.982,0.045,707.57
2014-02-25,21.938,22.005,21.662,21.846,21.983,22.05,21.705,21.891,0.045,597.31
2014-02-26,21.847,22.018,21.074,21.282,21.892,22.063,21.121,21.327,0.045,606.66
2014-02-27,21.282,21.469,20.981,21.263,21.327,21.511,21.026,21.308,0.045,729.6
