date,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_close,volume
2014-01-01,1203.612,1205.883,1202.302,1205.883,1206.583,1206.598,1204.012,1206.279,0.396,0.27
2014-01-02,1205.913,1230.773,1204.893,1223.71,1206.279,1231.115,1205.266,1224.072,0.362,27.36
2014-01-03,1223.687,1240.153,1223.297,1236.683,1224.057,1240.528,1223.662,1237.197,0.514,26.36
2014-01-06,1234.042,1248.342,1214.626,1237.665,1234.457,1248.687,1216.496,1238.087,0.422,26.14
2014-01-07,1237.672,1245.242,1224.933,1229.313,1238.087,1245.556,1225.234,1229.668,0.355,26.57
2014-01-08,1229.348,1231.888,1218.423,1226.158,1229.668,1232.236,1218.758,1226.5,0.342,25.68
2014-01-09,1226.158,1231.463,1223.475,1228.867,1226.512,1231.767,1223.807,1229.232,0.365,22.54
2014-01-10,1228.853,1248.859,1226.792,1248.143,1229.191,1249.219,1227.563,1248.787,0.644,25.89
2014-01-13,1248.668,1255.042,1243.642,1254.042,1248.958,1255.387,1243.949,1254.396,0.354,21.97
2014-01-14,1254.063,1255.273,1241.667,1243.369,1254.396,1255.558,1241.958,1243.658,0.289,22.59
2014-01-15,1243.389,1244.012,1234.242,1241.013,1243.658,1244.358,1234.54,1241.372,0.359,27.1
2014-01-16,1241.025,1245.198,1236.328,1242.077,1241.385,1245.539,1236.652,1242.417,0.34,24.03
2014-01-17,1242.1,1254.887,1237.739,1253.723,1242.417,1255.227,1238.057,1254.297,0.574,29.15
2014-01-20,1256.184,1258.205,1253.253,1255.304,1256.544,1258.507,1253.578,1255.664,0.36,8.36
2014-01-21,1255.318,1255.385,1235.613,1242.913,1255.683,1255.745,1235.808,1243.321,0.408,22.47
2014-01-22,1242.903,1243.557,1235.542,1237.046,1243.206,1243.857,1236.058,1237.377,0.331,16.3
2014-01-23,1237.046,1265.433,1231.523,1262.573,1237.357,1265.757,1231.859,1262.881,0.308,36.05
2014-01-24,1262.573,1272.542,1256.814,1269.833,1262.894,1272.867,1257.157,1270.337,0.504,34.04
2014-01-27,1275.597,1276.438,1251.953,1258.049,1275.947,1276.798,1252.29,1258.397,0.348,32.67
2014-01-28,1258.049,1261.423,1248.632,1252.443,1258.409,1262.468,1249.128,1252.917,0.474,22.59
2014-01-29,1252.459,1270.142,1250.883,1266.674,1252.917,1270.396,1251.227,1266.937,0.263,27.9
2014-01-30,1266.688,1267.677,1238.043,1244.7,1266.937,1267.977,1238.33,1245.125,0.425,24.62
2014-01-31,1244.693,1254.913,1238.473,1244.283,1245.11,1255.222,1238.83,1244.817,0.534,25.73
2014-02-03,1243.685,1266.242,1240.813,1259.749,1244.045,1266.567,1241.123,1260.097,0.348,26.21
2014-02-04,1259.653,1260.942,1247.233,1252.892,1259.984,1261.265,1247.589,1253.235,0.343,25.78
2014-02-05,1252.943,1274.269,1252.431,1258.933,1253.281,1274.68,1252.678,1259.291,0.358,37.1
2014-02-06,1258.948,1266.813,1252.754,1256.514,1259.308,1267.06,1253.067,1256.874,0.36,22.75
2014-02-07,1256.527,1271.663,1255.472,1267.033,1256.887,1272.098,1256.497,1267.567,0.534,33.93
2014-02-10,1267.263,1277.82,1265.093,1273.854,1267.655,1278.158,1265.337,1274.247,0.393,27.0
2014-02-11,1273.931,1293.842,1273.697,1286.831,1274.247,1294.158,1274.047,1287.177,0.346,34.96
