date,equity
2015-01-01,999931.34
2015-01-02,1000660.77
2015-01-05,996373.65
2015-01-06,995812.65
2015-01-07,998169.89
2015-01-08,1001916.51
2015-01-09,999348.99
2015-01-12,1001183.42
2015-01-13,1002682.02
2015-01-14,1003208.91
2015-01-15,1004454.25
2015-01-16,1009688.72
2015-01-19,1009276.23
2015-01-20,1009625.6
2015-01-21,1010133.2
2015-01-22,1013218.53
2015-01-23,1015087.98
2015-01-26,1018724.21
2015-01-27,1016269.99
2015-01-28,1014968.44
2015-01-29,1018360.6
2015-01-30,1016084.94
2015-02-02,1018943.99
2015-02-03,1022277.44
2015-02-04,1017633.5
2015-02-05,1025593.93
2015-02-06,1020117.86
2015-02-09,1015565.5
2015-02-10,1022775.64
2015-02-11,1022401.78
2015-02-12,1029644.24
2015-02-13,1035039.85
2015-02-16,1029381.45
2015-02-17,1032324.76
2015-02-18,1034829.59
2015-02-19,1036487.06
2015-02-20,1042593.26
2015-02-23,1041564.61
2015-02-24,1046374.35
2015-02-25,1044794.23
2015-02-26,1050864.29
2015-02-27,1050398.86
2015-03-02,1054065.75
2015-03-03,1047771.01
2015-03-04,1047630.54
2015-03-05,1052303.43
2015-03-06,1046370.21
2015-03-09,1047888.17
2015-03-10,1034479.71
2015-03-11,1040120.99
2015-03-12,1048432.21
2015-03-13,1048607.04
2015-03-16,1057543.22
2015-03-17,1057769.16
2015-03-18,1063621.68
2015-03-19,1062878.66
2015-03-20,1069834.44
2015-03-23,1067788.06
2015-03-24,1067995.8
2015-03-25,1056972.94
2015-03-26,1052860.91
2015-03-27,1052191.38
2015-03-30,1062523.16
2015-03-31,1049752.35
2015-04-01,1050952.01
2015-04-02,1053218.11
2015-04-03,1051455.32
2015-04-06,1057370.75
2015-04-07,1062274.08
2015-04-08,1065997.56
2015-04-09,1072993.15
2015-04-10,1078815.57
2015-04-13,1073346.55
2015-04-14,1073835.05
2015-04-15,1076123.74
2015-04-16,1071430.28
2015-04-17,1057437.16
2015-04-20,1066681.52
2015-04-21,1072087.79
2015-04-22,1074806.46
2015-04-23,1073864.17
2015-04-24,1075884.48
2015-04-27,1077874.2
2015-04-28,1074241.76
2015-04-29,1064062.99
2015-04-30,1052539.88
2015-05-01,1064326.5
2015-05-04,1067610.4
2015-05-05,1051997.57
2015-05-06,1049183.93
2015-05-07,1051182.28
2015-05-08,1067310.53
2015-05-11,1062928.83
2015-05-12,1056829.2
2015-05-13,1056075.81
2015-05-14,1065430.54
2015-05-15,1065155.07
2015-05-18,1070511.19
2015-05-19,1074964.05
2015-05-20,1077041.75
2015-05-21,1078854.81
2015-05-22,1079136.55
2015-05-25,1078775.4
2015-05-26,1070857.35
2015-05-27,1081202.8
2015-05-28,1078842.8
2015-05-29,1070118.19
2015-06-01,1072503.59
2015-06-02,1066737.65
2015-06-03,1070752.89
2015-06-04,1061841.56
2015-06-05,1060595.81
2015-06-08,1051541.69
2015-06-09,1047260.5
2015-06-10,1059628.37
2015-06-11,1063774.33
2015-06-12,1056870.48
2015-06-15,1051109.72
2015-06-16,1053287.78
2015-06-17,1049614.46
2015-06-18,1057590.57
2015-06-19,1053640.55
2015-06-22,1068934.63
2015-06-23,1075303.27
2015-06-24,1069150.58
2015-06-25,1067578.13
2015-06-26,1067518.81
2015-06-29,1039790.5
2015-06-30,1041579.7
2015-07-01,1050924.17
2015-07-02,1049753.74
2015-07-03,1048713.4
2015-07-06,1042829.24
2015-07-07,1046160.29
2015-07-08,1027454.11
2015-07-09,1035029.74
2015-07-10,1050595.5
2015-07-13,1059351.2
2015-07-14,1063072.22
2015-07-15,1063426.45
2015-07-16,1071573.62
2015-07-17,1073924.79
2015-07-20,1076342.77
2015-07-21,1072468.31
2015-07-22,1068421.74
2015-07-23,1064719.98
2015-07-24,1057176.75
2015-07-27,1048962.96
2015-07-28,1057056.25
2015-07-29,1060579.47
2015-07-30,1062359.49
2015-07-31,1062644.68
2015-08-03,1062852.07
2015-08-04,1063291.72
2015-08-05,1069009.88
2015-08-06,1063121.6
2015-08-07,1061567.04
2015-08-10,1069497.19
2015-08-11,1058497.77
2015-08-12,1052976.09
2015-08-13,1054030.51
2015-08-14,1055132.76
2015-08-17,1057243.47
2015-08-18,1052955.85
2015-08-19,1043889.88
2015-08-20,1025066.59
2015-08-21,1001145.24
2015-08-24,972185.72
2015-08-25,971484.5
2015-08-26,1001695.23
2015-08-27,1014655.36
2015-08-28,1014814.95
2015-08-31,1007268.95
2015-09-01,981910.87
2015-09-02,981910.87
2015-09-03,981910.87
2015-09-04,981910.87
2015-09-07,981910.87
2015-09-08,981910.87
2015-09-09,981910.87
2015-09-10,981910.87
2015-09-11,981910.87
2015-09-14,981910.87
2015-09-15,981910.87
2015-09-16,981910.87
2015-09-17,981910.87
2015-09-18,981910.87
2015-09-21,981910.87
2015-09-22,981910.87
2015-09-23,981910.87
2015-09-24,981910.87
2015-09-25,981910.87
2015-09-28,981910.87
2015-09-29,981910.87
2015-09-30,981910.87
2015-10-01,981910.87
2015-10-02,981910.87
2015-10-05,981910.87
2015-10-06,981910.87
2015-10-07,981910.87
2015-10-08,981910.87
2015-10-09,981910.87
2015-10-12,981910.87
2015-10-13,981910.87
2015-10-14,981910.87
2015-10-15,981910.87
2015-10-16,981910.87
2015-10-19,981910.87
2015-10-20,981910.87
2015-10-21,981910.87
2015-10-22,981910.87
2015-10-23,981910.87
2015-10-26,981910.87
2015-10-27,981910.87
2015-10-28,981910.87
2015-10-29,981910.87
2015-10-30,981910.87
2015-11-02,981830.03
2015-11-03,984740.38
2015-11-04,981908.32
2015-11-05,982268.5
2015-11-06,986896.71
2015-11-09,980397.82
2015-11-10,982785.5
2015-11-11,982057.71
2015-11-12,973822.23
2015-11-13,967776.16
