date,trend_filtered,buy_hold
2008-01-01,999974.8,1086376.13
2008-01-02,1005650.54,1084382.19
2008-01-03,1007425.74,1088632.45
2008-01-04,1006198.74,1059431.87
2008-01-07,1005724.5,1055779.51
2008-01-08,1011698.96,1054196.93
2008-01-09,1010928.33,1058799.79
2008-01-10,1014726.83,1060194.41
2008-01-11,1014568.94,1047922.95
2008-01-14,1016804.34,1056954.87
2008-01-15,1013904.01,1034164.78
2008-01-16,1010401.42,1017282.7
2008-01-17,1011063.38,1011565.36
2008-01-18,1011726.38,1012342.72
2008-01-21,1006933.15,988628.59
2008-01-22,1013386.16,982141.98
2008-01-23,1014126.25,985929.61
2008-01-24,1018942.29,1010137.75
2008-01-25,1018799.31,1010657.69
2008-01-28,1021938.28,1008330.22
2008-01-29,1021216.03,1018527.9
2008-01-30,1021714.37,1014468.59
2008-01-31,1021325.13,1026416.43
2008-02-01,1017086.58,1029989.53
2008-02-04,1017028.37,1030266.9
2008-02-05,1012955.5,1006209.24
2008-02-06,1015767.3,994567.91
2008-02-07,1018086.42,996334.59
2008-02-08,1021066.25,999956.05
2008-02-11,1020837.6,1000453.42
2008-02-12,1017616.13,1004514.1
2008-02-13,1017669.53,1011789.31
2008-02-14,1017949.06,1014035.89
2008-02-15,1016602.27,1008825.08
2008-02-18,1017422.08,1015371.79
2008-02-19,1022519.19,1021018.46
2008-02-20,1025339.15,1019005.96
2008-02-21,1025882.94,1021633.67
2008-02-22,1025895.54,1019773.61
2008-02-25,1024586.07,1032772.13
2008-02-26,1027256.7,1039262.29
2008-02-27,1028848.17,1044416.35
2008-02-28,1031317.59,1039035.66
2008-02-29,1032263.09,1021014.46
2008-03-03,1034916.2,1010893.92
2008-03-04,1030812.06,1005637.55
2008-03-05,1035224.48,1014813.19
2008-03-06,1033166.5,1004361.79
2008-03-07,1032123.75,992179.93
2008-03-10,1032343.63,978960.74
2008-03-11,1032010.48,997966.13
2008-03-12,1034289.04,1003927.54
2008-03-13,1036902.97,999658.52
2008-03-14,1038105.94,987269.23
2008-03-17,1038553.33,967913.41
2008-03-18,1034925.86,990961.12
2008-03-19,1025104.4,974406.85
2008-03-20,1019410.12,976024.21
2008-03-21,1020825.8,980916.29
2008-03-24,1020438.18,990499.16
2008-03-25,1024997.24,1007686.47
2008-03-26,1028090.8,1006532.31
2008-03-27,1027791.24,999982.55
2008-03-28,1023329.49,995455.63
2008-03-31,1020833.23,991518.82
2008-04-01,1013577.6,1007081.07
2008-04-02,1017517.93,1020541.21
2008-04-03,1017897.12,1024147.32
2008-04-04,1019695.31,1027759.88
2008-04-07,1021590.59,1034203.69
2008-04-08,1020352.79,1026344.31
2008-04-09,1023959.75,1023731.13
2008-04-10,1023259.01,1023704.45
2008-04-11,1022397.93,1016273.62
2008-04-14,1022497.2,1006404.3
2008-04-15,1023188.04,1012174.79
2008-04-16,1026477.75,1033103.86
2008-04-17,1026025.34,1033819.64
2008-04-18,1020503.05,1042514.66
2008-04-21,1020438.65,1046818.6
2008-04-22,1020726.16,1038918.64
2008-04-23,1017246.53,1040905.65
2008-04-24,1013971.2,1039139.08
2008-04-25,1013582.01,1045791.38
2008-04-28,1015108.2,1048088.16
2008-04-29,1010735.94,1043851.27
2008-04-30,1011215.94,1041088.44
2008-05-01,1006405.4,1045267.15
2008-05-02,1006922.48,1055171.63
2008-05-05,1010121.65,1057567.37
2008-05-06,1013245.19,1062445.89
2008-05-07,1006406.8,1053797.24
2008-05-08,1011916.02,1058289.63
2008-05-09,1011421.49,1049747.27
2008-05-12,1015307.13,1057985.27
2008-05-13,1011467.96,1056846.3
2008-05-14,1010783.11,1059613.57
2008-05-15,1018267.82,1072922.7
2008-05-16,1022768.38,1079249.4
2008-05-19,1021746.34,1081597.75
2008-05-20,1023505.32,1073520.8
2008-05-21,1022201.98,1065387.55
2008-05-22,1020191.03,1064080.18
2008-05-23,1020625.55,1058989.17
2008-05-26,1021549.2,1055080.28
2008-05-27,1020181.62,1057244.96
2008-05-28,1020152.44,1055641.67
2008-05-29,1016467.3,1059294.05
2008-05-30,1019792.07,1065781.31
2008-06-02,1018610.08,1062201.11
2008-06-03,1014852.81,1055427.13
2008-06-04,1016637.36,1057524.89
2008-06-05,1020392.28,1065063.27
2008-06-06,1019194.71,1056292.11
2008-06-09,1016232.95,1047854.32
2008-06-10,1009917.3,1036670.15
2008-06-11,1007975.23,1029873.68
2008-06-12,1005177.18,1025826.52
2008-06-13,1009759.84,1035283.66
2008-06-16,1014134.28,1045132.98
2008-06-17,1013242.04,1045138.39
2008-06-18,1013296.63,1040942.13
2008-06-19,1017527.41,1039667.95
2008-06-20,1012987.08,1025214.37
2008-06-23,1007958.04,1020583.82
2008-06-24,1007545.03,1018303.99
2008-06-25,1009899.39,1022719.69
2008-06-26,1008436.7,1009780.41
2008-06-27,1011383.93,1008347.78
2008-06-30,1009054.12,1008843.79
2008-07-01,1014643.58,1009697.79
2008-07-02,1015601.46,997299.77
2008-07-03,1013079.2,996597.24
2008-07-04,1013315.49,994094.35
2008-07-07,1011426.27,997235.89
2008-07-08,1009910.49,996496.8
2008-07-09,1012373.84,992394.24
2008-07-10,1015911.26,995295.33
2008-07-11,1020134.83,988356.14
2008-07-14,1021753.97,987747.62
2008-07-15,1022436.64,977618.81
2008-07-16,1019645.69,984090.26
2008-07-17,1019046.83,994047.87
2008-07-18,1018155.25,992080.18
2008-07-21,1020634.55,995040.98
2008-07-22,1016483.18,998327.76
2008-07-23,1011180.93,1001687.33
2008-07-24,1012487.71,996396.32
2008-07-25,1012739.86,996423.54
2008-07-28,1013445.41,987505.59
2008-07-29,1010568.85,991348.8
2008-07-30,1008224.12,1000055.43
2008-07-31,1009194.98,997805.77
2008-08-01,1008559.44,987306.73
2008-08-04,1005041.04,976037.74
2008-08-05,1000920.27,989311.78
2008-08-06,1002171.18,1000263.95
2008-08-07,1000335.08,990973.47
2008-08-08,996342.98,997697.14
2008-08-11,988314.69,998486.86
2008-08-12,985900.03,991468.44
2008-08-13,990028.64,987879.9
2008-08-14,982140.11,984138.79
2008-08-15,979829.51,981368.27
2008-08-18,982326.27,980449.18
2008-08-19,987572.32,972277.36
2008-08-20,986464.27,974510.4
2008-08-21,991784.92,978046.33
2008-08-22,988936.12,983600.94
2008-08-25,988470.11,978326.75
2008-08-26,989507.31,976963.69
2008-08-27,990442.97,982551.73
2008-08-28,991588.89,990971.42
2008-08-29,990790.06,989027.62
2008-09-01,987808.71,981311.65
2008-09-02,987808.71,972063.07
2008-09-03,987808.71,966773.26
2008-09-04,987808.71,944855.53
2008-09-05,987808.71,938531.81
2008-09-08,987808.71,955050.65
2008-09-09,987808.71,931937.36
2008-09-10,987808.71,927554.76
2008-09-11,987808.71,929124.33
2008-09-12,987808.71,937054.23
2008-09-15,987808.71,918651.29
2008-09-16,987808.71,908852.43
2008-09-17,987808.71,908659.17
2008-09-18,987808.71,916540.39
2008-09-19,987808.71,954748.44
2008-09-22,987808.71,945880.27
2008-09-23,987808.71,933070.55
2008-09-24,987808.71,932946.6
2008-09-25,987808.71,941443.56
2008-09-26,987808.71,933913.67
2008-09-29,987808.71,891543.41
2008-09-30,987808.71,900150.98
2008-10-01,987808.71,900277.05
2008-10-02,987808.71,870925.07
2008-10-03,987808.71,867224.87
2008-10-06,987808.71,838193.2
2008-10-07,987808.71,819472.78
2008-10-08,987808.71,797449.49
2008-10-09,987808.71,777588.59
2008-10-10,987808.71,734580.0
2008-10-13,987808.71,781162.92
2008-10-14,987808.71,800486.32
2008-10-15,987808.71,763269.09
2008-10-16,987808.71,744202.08
2008-10-17,987808.71,751414.48
2008-10-20,987808.71,779673.77
2008-10-21,987808.71,765407.23
2008-10-22,987808.71,723409.99
2008-10-23,987808.71,724028.3
2008-10-24,987808.71,695327.33
2008-10-27,987808.71,677315.06
2008-10-28,987808.71,722167.08
2008-10-29,987808.71,744540.06
2008-10-30,987808.71,764328.74
2008-10-31,987808.71,759027.5
2008-11-03,987808.71,761898.2
2008-11-04,987808.71,797121.6
2008-11-05,987808.71,778598.98
2008-11-06,987808.71,742404.23
2008-11-07,987808.71,748321.44
2008-11-10,987808.71,756928.9
2008-11-11,987808.71,737484.65
2008-11-12,987808.71,714442.55
2008-11-13,987808.71,730100.24
2008-11-14,987808.71,724781.92
2008-11-17,987808.71,714291.24
2008-11-18,987808.71,715595.55
2008-11-19,987808.71,690050.14
2008-11-20,987808.71,661838.23
2008-11-21,987808.71,686686.22
2008-11-24,987808.71,720753.6
2008-11-25,987808.71,728459.15
2008-11-26,987808.71,736300.24
2008-11-27,987808.71,742487.26
2008-11-28,987808.71,747751.03
2008-12-01,987808.71,704517.99
2008-12-02,987808.71,709430.76
2008-12-03,987808.71,721385.87
2008-12-04,987808.71,709316.58
2008-12-05,987808.71,714314.77
2008-12-08,987808.71,745386.48
2008-12-09,987808.71,744760.92
2008-12-10,987808.71,757687.14
2008-12-11,987808.71,752953.09
2008-12-12,987808.71,745471.45
2008-12-15,987808.71,750748.22
2008-12-16,987808.71,768880.01
2008-12-17,987808.71,768596.13
2008-12-18,987808.71,761310.27
2008-12-19,987808.71,758013.25
2008-12-22,987808.71,754402.98
2008-12-23,987808.71,750974.28
2008-12-24,987808.71,748561.93
2008-12-25,987808.71,749733.4
2008-12-26,987808.71,757091.58
2008-12-29,987808.71,761041.91
2008-12-30,987808.71,771894.86
2008-12-31,987808.71,777994.45
2009-01-01,987768.4,778357.4
2009-01-02,986000.22,793052.27
2009-01-05,981975.02,792833.05
2009-01-06,982944.78,799072.86
2009-01-07,977891.89,783929.29
2009-01-08,981932.38,783231.68
2009-01-09,981408.08,773110.66
2009-01-12,974362.31,760528.32
2009-01-13,973897.25,752416.89
2009-01-14,972069.01,734024.81
2009-01-15,973008.47,728152.96
2009-01-16,978683.26,739971.23
2009-01-19,976986.67,737791.43
2009-01-20,981738.96,721981.45
2009-01-21,981357.08,730173.58
2009-01-22,982070.67,728811.78
2009-01-23,991740.35,732206.45
2009-01-26,993256.7,739682.48
2009-01-27,992183.99,748514.03
2009-01-28,989062.42,760821.28
2009-01-29,993603.92,754325.75
2009-01-30,998157.12,745227.28
2009-02-02,992768.26,738262.22
2009-02-03,992105.31,744795.35
2009-02-04,993662.01,751177.08
2009-02-05,994581.79,756342.79
2009-02-06,994566.49,769000.91
2009-02-09,991149.98,765603.76
2009-02-10,995884.53,751680.03
2009-02-11,1000656.7,756959.74
2009-02-12,1001914.1,754390.11
2009-02-13,1001574.18,752897.77
2009-02-16,1001553.55,750345.45
2009-02-17,1007190.74,736009.67
2009-02-18,1009994.85,734998.8
2009-02-19,1008897.46,730726.92
2009-02-20,1012309.85,724698.95
2009-02-23,1011409.77,711404.79
2009-02-24,1005790.63,715169.47
2009-02-25,1004111.28,716165.02
2009-02-26,1002333.79,710892.65
2009-02-27,1000522.79,703982.57
2009-03-02,998526.45,678060.17
2009-03-03,995732.19,670604.22
2009-03-04,994709.1,683023.25
2009-03-05,999498.28,674423.27
2009-03-06,1001026.28,669693.95
2009-03-09,997305.26,662058.49
2009-03-10,992037.27,681569.0
2009-03-11,994593.8,690733.34
2009-03-12,998208.98,700977.39
2009-03-13,998878.05,711789.0
2009-03-16,997847.93,714463.9
2009-03-17,996099.13,727921.53
2009-03-18,1000711.32,734589.79
2009-03-19,1004437.52,735061.47
2009-03-20,1004003.04,730756.43
2009-03-23,1002095.04,757790.59
2009-03-24,999422.51,753081.93
2009-03-25,1000717.19,755186.84
2009-03-26,1000576.38,767805.63
2009-03-27,997665.31,757679.75
2009-03-30,997231.38,736211.72
2009-03-31,997114.62,744137.4
2009-04-01,998694.17,755210.43
2009-04-02,994782.74,774750.86
2009-04-03,991330.95,773141.84
2009-04-06,986988.56,768631.06
2009-04-07,989402.76,759571.71
2009-04-08,989002.53,759787.75
2009-04-09,988232.64,777525.41
2009-04-10,988873.21,778867.45
2009-04-13,991989.22,780607.24
2009-04-14,990788.67,773629.59
2009-04-15,991175.58,772651.17
2009-04-16,987905.82,780295.28
2009-04-17,986043.79,783956.8
2009-04-20,989441.49,771186.95
2009-04-21,989209.95,772784.0
2009-04-22,991515.43,776130.13
2009-04-23,994374.51,782568.72
2009-04-24,995946.25,792702.13
2009-04-27,994507.76,790330.11
2009-04-28,991250.07,779491.58
2009-04-29,992083.41,789404.47
2009-04-30,990214.46,797389.06
2009-05-01,990169.98,801150.94
2009-05-04,993934.76,813219.3
2009-05-05,992732.77,814738.78
2009-05-06,995655.22,822215.23
2009-05-07,996124.62,824064.28
2009-05-08,996891.78,832382.79
2009-05-11,996250.38,827806.49
2009-05-12,999006.15,824694.72
2009-05-13,998738.3,812771.88
2009-05-14,998982.02,813936.9
2009-05-15,1000076.59,814951.67
2009-05-18,997527.35,822057.03
2009-05-19,999023.58,829532.82
2009-05-20,1001497.05,830679.78
2009-05-21,1004831.99,821521.31
2009-05-22,1005580.13,821449.33
2009-05-25,1005523.77,823561.4
2009-05-26,1004696.7,834304.3
2009-05-27,1003466.34,831313.38
2009-05-28,1006418.91,837650.98
2009-05-29,1010353.06,847420.78
2009-06-01,1009614.34,862230.96
2009-06-02,1011515.84,863553.87
2009-06-03,1007122.15,854484.05
2009-06-04,1012372.26,859762.67
2009-06-05,1007690.74,859139.28
2009-06-08,1006717.4,858562.33
2009-06-09,1009010.51,859731.06
2009-06-10,1007570.3,862748.96
2009-06-11,1008490.48,865392.97
2009-06-12,1003590.07,863335.88
2009-06-15,997581.12,847917.88
2009-06-16,996301.42,839929.1
2009-06-17,999695.94,842129.27
2009-06-18,997700.35,839612.35
2009-06-19,1000390.81,846380.25
2009-06-22,991597.93,830095.41
2009-06-23,991928.84,825923.08
2009-06-24,996724.99,833649.44
2009-06-25,1002094.05,844224.87
2009-06-26,1002505.28,845264.27
2009-06-29,1003199.4,847888.01
2009-06-30,1000150.26,845127.06
2009-07-01,1003290.57,851843.42
2009-07-02,995261.62,835883.46
2009-07-03,994040.88,834937.57
2009-07-06,989363.6,829806.63
2009-07-07,983097.42,820971.36
2009-07-08,976176.38,813083.64
2009-07-09,975184.3,813558.02
2009-07-10,975507.29,811941.0
2009-07-13,975784.94,819170.44
2009-07-14,982280.2,826880.18
2009-07-15,991964.55,844177.67
2009-07-16,995413.09,849168.9
2009-07-17,997659.13,852067.73
2009-07-20,1002419.45,860212.04
2009-07-21,1009011.23,867946.54
2009-07-22,1012462.99,871309.53
2009-07-23,1018332.97,882981.76
2009-07-24,1021466.38,886886.96
2009-07-27,1025252.91,891072.5
2009-07-28,1022787.0,886238.55
2009-07-29,1020343.22,884043.73
2009-07-30,1023814.75,892423.82
2009-07-31,1031203.86,898100.72
2009-08-03,1034701.33,906790.7
2009-08-04,1037439.68,909190.53
2009-08-05,1031160.17,903687.3
2009-08-06,1032672.54,905012.71
2009-08-07,1038291.22,909936.8
2009-08-10,1036228.81,908129.35
2009-08-11,1031022.28,903566.46
2009-08-12,1036225.76,908126.68
2009-08-13,1043879.35,914834.12
2009-08-14,1037227.06,909004.2
2009-08-17,1014563.47,889142.3
2009-08-18,1022511.39,896107.69
2009-08-19,1024667.99,897997.69
2009-08-20,1034718.65,906805.88
2009-08-21,1045664.38,916398.49
2009-08-24,1052072.37,922014.32
2009-08-25,1052703.38,922567.32
2009-08-26,1054124.69,923812.93
2009-08-27,1052039.44,921985.46
2009-08-28,1055998.58,925455.17
2009-08-31,1050467.47,920607.82
2009-09-01,1039357.24,910871.05
2009-09-02,1038351.85,909989.94
2009-09-03,1042673.52,913777.36
2009-09-04,1051807.57,921782.25
2009-09-07,1058606.89,927741.04
2009-09-08,1065739.12,933991.58
2009-09-09,1068637.68,936531.81
2009-09-10,1077019.5,943877.46
2009-09-11,1078086.28,944812.37
2009-09-14,1074806.71,941938.22
2009-09-15,1078911.89,945535.91
2009-09-16,1092006.27,957011.56
2009-09-17,1095905.15,960428.45
2009-09-18,1094167.14,958905.3
2009-09-21,1092234.46,957211.54
2009-09-22,1097056.77,961437.71
2009-09-23,1091754.29,956790.73
2009-09-24,1086201.59,951924.46
2009-09-25,1076188.98,943149.61
2009-09-28,1082122.58,948349.69
2009-09-29,1082775.29,948921.72
2009-09-30,1085009.1,950879.38
2009-10-01,1064151.81,932600.49
2009-10-02,1055280.13,924825.53
2009-10-05,1063458.16,931992.58
2009-10-06,1080074.76,946555.03
2009-10-07,1083937.71,949940.44
2009-10-08,1089977.64,955233.71
2009-10-09,1096566.04,961007.65
2009-10-12,1101189.58,965059.62
2009-10-13,1101308.56,965163.89
2009-10-14,1112486.82,974960.29
2009-10-15,1113292.49,975666.35
2009-10-16,1108772.76,971705.36
2009-10-19,1118706.91,980411.44
2009-10-20,1116353.15,978348.66
2009-10-21,1115255.15,977386.39
2009-10-22,1115617.13,977703.62
2009-10-23,1112286.36,974784.61
2009-10-26,1105142.83,968524.17
2009-10-27,1098725.97,962900.56
2009-10-28,1079085.04,945687.66
2009-10-29,1089617.65,954918.22
2009-10-30,1076701.65,943598.91
2009-11-02,1080070.53,946551.33
2009-11-03,1082667.09,948826.89
2009-11-04,1089061.58,954430.89
2009-11-05,1095966.97,960482.63
2009-11-06,1100990.66,964885.29
2009-11-09,1117039.05,978949.77
2009-11-10,1119235.95,980875.09
2009-11-11,1125191.85,986094.71
2009-11-12,1118194.43,979962.32
2009-11-13,1124235.72,985256.78
2009-11-16,1137881.04,997215.25
2009-11-17,1136381.84,995901.38
2009-11-18,1133981.07,993797.4
2009-11-19,1121310.57,982693.23
2009-11-20,1118797.67,980490.98
2009-11-23,1132183.19,992221.77
2009-11-24,1128766.4,989227.37
2009-11-25,1137455.28,996842.12
2009-11-26,1128136.61,988675.44
2009-11-27,1114119.9,976391.48
2009-11-30,1119882.09,981441.34
2009-12-01,1139086.7,998271.87
2009-12-02,1145549.05,1003935.34
2009-12-03,1148113.19,1006182.49
2009-12-04,1143494.17,1002134.48
2009-12-07,1144221.15,1002771.59
2009-12-08,1130465.16,990716.13
2009-12-09,1130169.27,990456.81
2009-12-10,1131136.64,991304.6
2009-12-11,1133802.68,993641.06
2009-12-14,1142438.36,1001209.19
2009-12-15,1137381.17,996777.17
2009-12-16,1144702.88,1003193.77
2009-12-17,1127115.91,987780.91
2009-12-18,1132504.22,992503.12
2009-12-21,1139400.85,998547.18
2009-12-22,1145168.97,1003602.24
2009-12-23,1150489.39,1008264.94
2009-12-24,1161436.77,1017859.0
2009-12-25,1160409.29,1016958.54
2009-12-28,1165034.14,1021011.66
2009-12-29,1162969.53,1019202.28
2009-12-30,1160208.42,1016782.5
2009-12-31,1156913.61,1013895.0
2010-01-01,1156914.67,1013895.93
2010-01-04,1175146.89,1029874.27
2010-01-05,1177203.26,1031676.42
2010-01-06,1181201.32,1035180.24
2010-01-07,1178785.64,1033063.19
2010-01-08,1186393.1,1039730.21
2010-01-11,1188869.29,1041900.29
2010-01-12,1179605.05,1033781.3
2010-01-13,1182148.28,1036010.13
2010-01-14,1188646.69,1041705.21
2010-01-15,1180334.5,1034420.58
2010-01-18,1180496.45,1034562.51
2010-01-19,1186739.29,1040033.61
2010-01-20,1171393.73,1026585.07
2010-01-21,1159585.95,1016236.98
2010-01-22,1139738.05,998842.7
2010-01-25,1139822.74,998916.92
2010-01-26,1135582.34,995200.71
2010-01-27,1132294.62,992319.43
2010-01-28,1123408.81,984532.09
2010-01-29,1113538.07,975881.58
2010-02-01,1126725.95,987439.16
2010-02-02,1139145.14,998323.08
