date,tick_h00_median,tick_h00_p90,tick_h14_median,candle_close_spread,ticks_h00,note
2015-06-15,0.021,0.024,0.020,0.023,4111,normal day
2016-06-24,0.072,0.103,0.038,0.487,12271,Brexit result day - cost model overcharges (conservative)
2017-03-15,0.014,0.018,0.011,0.009,4388,normal day
2018-11-14,0.016,0.019,0.013,0.016,6204,normal day
2019-08-13,0.018,0.020,0.018,0.019,4606,normal day
2020-03-16,0.054,0.069,0.031,0.042,21670,COVID crash Monday
2021-05-12,0.013,0.014,0.013,0.013,4628,normal day
2022-09-22,0.035,0.038,0.031,0.032,9063,JPY intervention day
2023-07-12,0.024,0.027,0.020,0.026,8113,normal day
2024-08-05,0.038,0.044,0.039,0.043,21258,yen carry unwind day
2025-04-15,0.024,0.031,0.021,0.028,9246,normal day
2026-02-17,0.018,0.024,0.015,0.014,7437,strategy entry day (year low spring)
