entry_date,exit_date,dir,entry,exit,units,pnl_jpy,r_multiple,reason
2015-01-12,2015-01-13,long,179.55,178.1739,21801.32,-30000.0,-1.0,stop
2015-01-14,2015-01-15,long,178.918,175.9936,9950.65,-29100.0,-1.0,stop
2015-02-03,2015-02-11,long,178.162,182.333,7681.12,32037.96,1.135,target
2015-03-11,2015-03-13,long,181.321,179.9456,21221.18,-29188.14,-1.0,stop
2015-03-18,2015-04-10,long,179.655,176.2321,8271.55,-28312.49,-1.0,stop
2015-07-07,2015-07-08,long,189.472,187.4285,13439.07,-27463.12,-1.0,stop
2017-05-31,2017-06-06,long,142.675,140.8214,14371.25,-26639.23,-1.0,stop
2017-08-09,2017-08-10,long,143.192,141.66,16866.8,-25840.05,-1.0,stop
2017-11-17,2017-11-28,long,148.222,147.299,27155.1,-25064.85,-1.0,stop
2017-11-28,2017-11-30,long,149.199,151.933,8551.09,23378.67,0.962,target
2018-02-14,2018-02-28,long,149.346,147.0467,10879.26,-25014.26,-1.0,stop
2020-01-03,2020-02-28,long,141.456,140.3344,21632.69,-24263.83,-1.0,stop
2020-09-09,2020-09-10,long,138.098,136.0689,11599.1,-23535.92,-1.0,stop
2020-12-11,2020-12-24,long,137.604,140.703,15851.37,49123.39,2.152,target
2021-04-23,2021-05-10,long,149.785,153.412,19075.34,69186.24,2.847,target
2021-06-17,2021-06-18,long,153.781,152.6855,24080.63,-26379.13,-1.0,stop
2021-06-21,2021-07-08,long,153.703,150.7694,8722.31,-25587.76,-1.0,stop
2021-07-08,2021-07-19,long,151.424,150.1252,19110.69,-24820.12,-1.0,stop
2021-07-20,2021-10-14,long,149.882,155.153,11837.45,62395.19,2.592,target
2021-11-08,2021-11-26,long,153.629,152.0697,16640.02,-25947.38,-1.0,stop
2021-11-29,2021-11-30,long,151.535,150.0926,17449.81,-25168.95,-1.0,stop
2022-01-24,2022-02-10,long,153.801,157.766,16603.09,65831.26,2.696,target
2022-02-24,2022-03-01,long,154.518,152.762,15028.06,-26388.82,-1.0,stop
2022-08-02,2022-09-12,long,161.947,166.33,7326.94,32113.99,1.255,target
2023-07-28,2023-08-10,long,181.426,184.008,4351.71,11236.11,0.423,target
2023-09-08,2023-09-21,long,184.304,182.3374,13677.03,-26897.66,-1.0,stop
2023-12-14,2024-01-19,long,181.723,188.656,5937.57,41165.2,1.578,target
2024-07-30,2024-07-31,long,195.996,194.6299,20002.95,-27325.69,-1.0,stop
2024-11-15,2024-11-22,long,194.83,193.3417,17809.04,-26505.92,-1.0,stop
2024-11-22,2024-11-27,long,193.984,191.8537,12068.98,-25710.74,-1.0,stop
2025-11-05,2025-11-19,long,201.127,205.32,8802.75,36909.94,1.48,target
2026-01-26,2026-02-04,long,211.138,214.852,11531.76,42828.95,1.644,target
2026-02-17,2026-04-13,long,207.698,215.003,20147.47,147177.24,5.385,target
