date,equity
2025-10-01,1000000.0
2025-10-02,1000000.0
2025-10-03,1000000.0
2025-10-06,1000000.0
2025-10-07,1000000.0
2025-10-08,1000000.0
2025-10-09,1000000.0
2025-10-10,1000000.0
2025-10-13,1000000.0
2025-10-14,1000000.0
2025-10-15,1000000.0
2025-10-16,1000000.0
2025-10-17,1000000.0
2025-10-20,1000000.0
2025-10-21,1000000.0
2025-10-22,1000000.0
2025-10-23,1000000.0
2025-10-24,1000000.0
2025-10-27,1000000.0
2025-10-28,1000000.0
2025-10-29,1000000.0
2025-10-30,1000000.0
2025-10-31,1000000.0
2025-11-03,1000000.0
2025-11-04,1000000.0
2025-11-05,1000000.0
2025-11-06,1000000.0
2025-11-07,1000000.0
2025-11-10,1000000.0
2025-11-11,1000000.0
2025-11-12,1000000.0
2025-11-13,1000000.0
2025-11-14,1000000.0
2025-11-17,1000000.0
2025-11-18,1000000.0
2025-11-19,1000000.0
2025-11-20,1000000.0
2025-11-21,1000000.0
2025-11-24,1000000.0
2025-11-25,1000000.0
2025-11-26,1000000.0
2025-11-27,1000000.0
2025-11-28,1000000.0
2025-12-01,1000000.0
2025-12-02,1000000.0
2025-12-03,1000000.0
2025-12-04,1000000.0
2025-12-05,1000000.0
2025-12-08,1000000.0
2025-12-09,1000000.0
2025-12-10,1000000.0
2025-12-11,1000000.0
2025-12-12,1000000.0
2025-12-15,1000000.0
2025-12-16,1000000.0
2025-12-17,1000000.0
2025-12-18,1000000.0
2025-12-19,1000000.0
2025-12-22,1000000.0
2025-12-23,1000000.0
2025-12-24,1000000.0
2025-12-26,1000000.0
2025-12-29,1000000.0
2025-12-30,1000000.0
2025-12-31,1000000.0
2026-01-02,1000000.0
2026-01-05,1000000.0
2026-01-06,993852.7
2026-01-07,986552.78
2026-01-08,984593.33
2026-01-09,996452.5
2026-01-12,1011628.64
2026-01-13,1021246.61
2026-01-14,1010181.47
2026-01-15,1003637.15
2026-01-16,994352.17
2026-01-19,1004072.59
2026-01-20,1008619.03
2026-01-21,1008452.54
2026-01-22,1024832.53
2026-01-23,1006838.87
2026-01-26,975690.97
2026-01-27,975690.97
2026-01-28,975690.97
2026-01-29,975690.97
2026-01-30,975690.97
2026-02-02,975690.97
2026-02-03,975690.97
2026-02-04,975690.97
2026-02-05,960457.31
2026-02-06,974360.89
2026-02-09,970074.03
2026-02-10,946133.17
2026-02-11,946133.17
2026-02-12,951086.23
2026-02-13,946638.43
2026-02-16,941532.26
2026-02-17,952012.54
2026-02-18,944257.59
2026-02-19,945627.91
2026-02-20,942382.02
2026-02-23,946653.74
2026-02-24,933823.25
2026-02-25,921367.88
2026-02-26,932376.38
2026-02-27,932261.55
2026-03-02,928747.71
2026-03-03,932805.08
2026-03-04,936227.06
2026-03-05,933034.75
2026-03-06,924812.82
2026-03-09,920824.35
2026-03-10,917519.51
2026-03-11,923708.62
2026-03-12,921565.25
2026-03-13,909316.15
2026-03-16,914833.84
2026-03-17,919421.87
2026-03-18,914876.88
2026-03-19,915884.01
2026-03-20,919740.36
2026-03-23,922073.12
2026-03-24,924242.32
2026-03-25,924784.62
2026-03-26,924328.4
2026-03-27,921083.2
2026-03-30,904401.01
2026-03-31,897910.62
2026-04-01,884662.19
2026-04-02,886306.89
2026-04-03,890746.58
2026-04-06,882856.04
2026-04-07,874884.79
2026-04-08,870670.6
2026-04-09,870670.6
2026-04-10,880747.06
2026-04-13,887648.6
2026-04-14,890136.48
2026-04-15,891312.76
2026-04-16,888439.72
2026-04-17,878758.83
2026-04-20,883651.32
2026-04-21,887305.08
2026-04-22,888668.73
2026-04-23,886055.93
2026-04-24,893113.62
2026-04-27,893769.42
2026-04-28,892634.78
2026-04-29,897048.43
2026-04-30,865359.13
2026-05-01,865359.13
2026-05-04,865359.13
2026-05-05,865359.13
2026-05-06,865359.13
2026-05-07,863674.53
2026-05-08,855502.61
2026-05-11,853672.24
2026-05-12,857535.47
2026-05-13,857073.83
2026-05-14,866274.32
2026-05-15,872769.73
2026-05-18,858223.89
2026-05-19,858750.32
2026-05-20,856344.91
2026-05-21,855834.67
2026-05-22,852846.13
2026-05-25,847808.54
2026-05-26,850748.49
2026-05-27,851291.12
2026-05-28,851315.42
2026-05-29,848245.89
2026-06-01,844707.18
2026-06-02,850895.4
2026-06-03,843306.92
2026-06-04,843939.3
2026-06-05,831811.29
2026-06-08,831393.47
2026-06-09,839907.92
2026-06-10,842414.82
2026-06-11,842618.09
2026-06-12,845079.82
2026-06-15,846796.27
2026-06-16,851945.59
2026-06-17,828897.85
2026-06-18,832524.96
2026-06-19,828964.2
2026-06-22,822296.07
2026-06-23,831087.39
2026-06-24,833962.54
2026-06-25,828842.56
2026-06-26,828245.42
2026-06-29,815417.83
2026-06-30,803699.17
2026-07-01,805674.01
2026-07-02,798669.51
2026-07-03,802783.75
2026-07-06,819137.87
2026-07-07,814128.78
2026-07-08,825813.24
2026-07-09,825514.95
2026-07-10,815342.48
2026-07-13,816905.9
2026-07-14,820598.43
2026-07-15,844059.91
2026-07-16,837219.98
2026-07-17,834463.44
2026-07-20,830513.76
2026-07-21,831789.18
2026-07-22,830061.19
