entry_date,exit_date,dir,entry,exit,units,pnl_jpy,r_multiple,reason
2026-01-05,2026-01-26,long,211.954,210.0859,12806.88,-24309.03,-0.81,stop
2026-02-04,2026-02-10,long,214.096,211.037,9568.88,-29557.8,-1.01,stop
2026-02-11,2026-03-10,short,208.68,212.3877,7655.42,-28613.66,-1.008,stop
2026-03-10,2026-03-31,long,212.158,209.91,8607.94,-19608.89,-0.712,flip
2026-03-31,2026-04-08,short,209.91,212.5797,10090.2,-27240.02,-1.011,stop
2026-04-09,2026-04-30,long,213.591,213.1108,10409.56,-5311.47,-0.203,stop
2026-05-06,2026-06-01,short,212.38,214.8999,8099.02,-20651.95,-0.796,stop
2026-06-01,2026-06-17,long,214.819,213.449,11292.37,-15809.32,-0.624,flip
2026-06-17,2026-06-30,short,213.449,215.6977,11058.26,-25198.68,-1.013,stop
2026-06-30,2026-07-22,long,215.559,218.152,10285.61,26362.02,1.093,end_of_test
