swing_target,gate_rising_bars,max_hold_days,train_sharpe,train_trades,train_winrate,train_return,test_sharpe,test_trades,test_winrate,test_return,full_sharpe,full_return,full_maxdd,full_trades,full_winrate
2r,,,0.188,593,0.366,0.0052,-0.454,475,0.337,-0.7127,-0.076,-0.7112,0.9161,1068,0.353
2r,,48,0.083,619,0.375,-0.2394,-0.668,531,0.341,-0.8173,-0.232,-0.861,0.9535,1150,0.359
1.5r,,,0.041,651,0.429,-0.2637,-0.653,537,0.399,-0.773,-0.251,-0.8329,0.9114,1188,0.415
1.5r,,48,0.016,671,0.431,-0.3092,-0.721,575,0.402,-0.8031,-0.295,-0.864,0.9289,1246,0.417
2r,24,,-0.037,376,0.359,-0.3229,-0.228,305,0.351,-0.4483,-0.117,-0.6264,0.8348,681,0.355
2r,24,48,-0.119,390,0.362,-0.43,-0.197,317,0.363,-0.4156,-0.151,-0.6669,0.8709,707,0.362
1.5r,24,,-0.129,407,0.42,-0.397,-0.249,331,0.42,-0.4167,-0.179,-0.6483,0.7903,738,0.42
1.5r,24,48,-0.179,416,0.418,-0.4546,-0.276,341,0.422,-0.4381,-0.219,-0.6936,0.8261,757,0.42
ema_line,24,,-0.44,293,0.478,-0.5864,-1.29,248,0.464,-0.7662,-0.774,-0.9033,0.9329,541,0.471
ema_line,24,48,-0.44,293,0.478,-0.5864,-1.29,248,0.464,-0.7662,-0.774,-0.9033,0.9329,541,0.471
ema_line,,,-0.475,295,0.475,-0.6108,-1.29,248,0.464,-0.7662,-0.794,-0.909,0.9369,543,0.47
ema_line,,48,-0.475,295,0.475,-0.6108,-1.29,248,0.464,-0.7662,-0.794,-0.909,0.9369,543,0.47
