swing_reject_atr,swing_target,max_hold_days,train_sharpe,train_trades,train_winrate,train_return,test_sharpe,test_trades,test_winrate,test_return,full_sharpe,full_return,full_maxdd,full_trades,full_winrate
0.25,boundary,48,0.572,237,0.376,1.5578,-0.044,205,0.332,-0.2416,0.329,0.9399,0.6244,442,0.355
0.25,2r,,0.496,227,0.401,0.8707,-0.564,201,0.313,-0.5897,0.031,-0.2325,0.6604,428,0.36
0.25,boundary,,0.466,235,0.362,1.0512,-0.076,200,0.31,-0.2802,0.256,0.4764,0.6067,435,0.338
0.25,2r,48,0.428,240,0.408,0.6693,-0.386,205,0.337,-0.4809,0.071,-0.1335,0.5808,445,0.375
0.0,2r,,0.259,292,0.38,0.2763,-1.095,257,0.292,-0.8189,-0.307,-0.7688,0.845,549,0.339
0.0,boundary,48,0.172,297,0.323,-0.0033,-0.445,256,0.285,-0.6294,-0.066,-0.6306,0.8657,553,0.306
0.0,boundary,,0.152,292,0.318,-0.056,-0.589,248,0.258,-0.7083,-0.134,-0.7247,0.8963,540,0.291
0.0,2r,48,0.151,308,0.383,0.0395,-0.942,262,0.313,-0.7733,-0.304,-0.7643,0.8372,570,0.351
0.25,mid,48,-0.011,246,0.472,-0.1541,-0.373,215,0.479,-0.387,-0.158,-0.4815,0.6862,461,0.475
0.25,mid,,-0.029,246,0.467,-0.177,-0.373,215,0.479,-0.387,-0.169,-0.4955,0.6808,461,0.473
0.0,mid,48,-0.159,316,0.424,-0.404,-1.045,275,0.407,-0.7629,-0.516,-0.8587,0.9117,591,0.416
0.0,mid,,-0.174,316,0.421,-0.4202,-1.045,275,0.407,-0.7629,-0.524,-0.8625,0.9102,591,0.415
