allow_short,entry_lookback,swing_target,swing_max_wick_atr,max_hold_days,train_sharpe,train_trades,train_winrate,test_sharpe,test_trades,test_winrate,full_sharpe,full_return,full_maxdd,full_trades,full_winrate
False,20,boundary,0.75,,-0.043,17,0.353,0.89,9,0.667,0.265,0.1564,0.1466,26,0.462
False,20,boundary,1.5,,-0.043,17,0.353,0.89,9,0.667,0.265,0.1564,0.1466,26,0.462
False,20,boundary,0.75,15,-0.077,17,0.353,0.569,9,0.556,0.142,0.0672,0.1279,26,0.423
False,20,boundary,1.5,15,-0.077,17,0.353,0.569,9,0.556,0.142,0.0672,0.1279,26,0.423
False,20,mid,0.75,15,-0.362,17,0.412,0.088,9,0.556,-0.209,-0.1012,0.1651,26,0.462
False,20,mid,1.5,15,-0.362,17,0.412,0.088,9,0.556,-0.209,-0.1012,0.1651,26,0.462
False,20,mid,0.75,,-0.428,17,0.412,0.274,9,0.667,-0.184,-0.0929,0.183,26,0.5
False,20,mid,1.5,,-0.428,17,0.412,0.274,9,0.667,-0.184,-0.0929,0.183,26,0.5
False,10,boundary,0.75,,-0.463,26,0.308,0.139,18,0.5,-0.213,-0.1973,0.2803,44,0.386
False,10,boundary,1.5,,-0.463,26,0.308,0.139,18,0.5,-0.213,-0.1973,0.2803,44,0.386
False,10,mid,0.75,15,-0.559,28,0.429,0.233,22,0.682,-0.264,-0.1751,0.2782,50,0.54
False,10,mid,1.5,15,-0.559,28,0.429,0.221,23,0.652,-0.263,-0.1765,0.2794,51,0.529
False,10,mid,0.75,,-0.608,28,0.429,0.261,22,0.682,-0.285,-0.1871,0.2937,50,0.54
False,10,mid,1.5,,-0.608,28,0.429,0.318,22,0.682,-0.253,-0.1731,0.2815,50,0.54
False,10,boundary,0.75,15,-0.617,26,0.308,0.074,20,0.5,-0.321,-0.255,0.3141,46,0.391
False,10,boundary,1.5,15,-0.617,26,0.308,0.069,21,0.476,-0.32,-0.2562,0.3153,47,0.383
