date,equity
2015-01-01,1002935.43
2015-01-02,1014066.44
2015-01-05,1004182.13
2015-01-06,996790.31
2015-01-07,1009668.55
2015-01-08,1026711.09
2015-01-09,1007832.02
2015-01-12,1020385.03
2015-01-13,1028230.71
2015-01-14,1025102.82
2015-01-15,962958.72
2015-01-16,972990.4
2015-01-19,983566.38
2015-01-20,1007816.04
2015-01-21,1011411.38
2015-01-22,1053365.5
2015-01-23,1068439.21
2015-01-26,1075675.82
2015-01-27,1053869.8
2015-01-28,1055921.35
2015-01-29,1075465.98
2015-01-30,1052728.75
2015-02-02,1046951.59
2015-02-03,1040103.24
2015-02-04,1050647.44
2015-02-05,1040200.47
2015-02-06,1057913.2
2015-02-09,1046921.16
2015-02-10,1064211.44
2015-02-11,1079693.83
2015-02-12,1064175.03
2015-02-13,1060050.46
2015-02-16,1057546.14
2015-02-17,1061948.94
2015-02-18,1065145.03
2015-02-19,1073954.34
2015-02-20,1081582.65
2015-02-23,1090105.25
2015-02-24,1089847.47
2015-02-25,1072581.22
2015-02-26,1096438.39
2015-02-27,1092252.65
2015-03-02,1108300.19
2015-03-03,1096248.28
2015-03-04,1098296.16
2015-03-05,1115594.24
2015-03-06,1141562.2
2015-03-09,1148815.15
2015-03-10,1150990.01
2015-03-11,1171318.38
2015-03-12,1168127.2
2015-03-13,1183480.59
2015-03-16,1191143.4
2015-03-17,1198012.09
2015-03-18,1151226.37
2015-03-19,1172056.93
2015-03-20,1141268.58
2015-03-23,1107950.38
2015-03-24,1110734.95
2015-03-25,1092953.1
2015-03-26,1083777.0
2015-03-27,1099650.87
2015-03-30,1128367.03
2015-03-31,1128841.68
2015-04-01,1115910.71
2015-04-02,1114499.18
2015-04-03,1097684.49
2015-04-06,1105259.88
2015-04-07,1114630.94
2015-04-08,1128232.89
2015-04-09,1144083.14
2015-04-10,1149836.3
2015-04-13,1157152.08
2015-04-14,1147906.02
2015-04-15,1126660.79
2015-04-16,1102713.17
2015-04-17,1080162.55
2015-04-20,1104855.59
2015-04-21,1115950.18
2015-04-22,1130904.09
2015-04-23,1112148.47
2015-04-24,1109596.16
2015-04-27,1098386.83
2015-04-28,1074572.15
2015-04-29,1052712.53
2015-04-30,1034975.9
2015-05-01,1053524.96
2015-05-04,1057171.2
2015-05-05,1023936.49
2015-05-06,1006985.65
2015-05-07,1033228.88
2015-05-08,1055062.15
2015-05-11,1067313.97
2015-05-12,1041258.7
2015-05-13,1018191.73
2015-05-14,1025197.43
2015-05-15,1022897.67
2015-05-18,1045941.27
2015-05-19,1080717.0
2015-05-20,1089494.08
2015-05-21,1086992.12
2015-05-22,1101335.89
2015-05-25,1104196.88
2015-05-26,1121701.2
2015-05-27,1140445.34
2015-05-28,1134695.32
2015-05-29,1120486.13
2015-06-01,1134631.28
2015-06-02,1093227.74
2015-06-03,1099060.96
2015-06-04,1108488.08
2015-06-05,1117739.2
2015-06-08,1086539.06
2015-06-09,1075236.95
2015-06-10,1074093.46
2015-06-11,1090954.07
2015-06-12,1086699.3
2015-06-15,1082600.24
2015-06-16,1091766.13
2015-06-17,1093616.08
2015-06-18,1090844.84
2015-06-19,1088098.39
2015-06-22,1110814.97
2015-06-23,1123067.55
2015-06-24,1118154.19
2015-06-25,1112861.74
2015-06-26,1120536.19
2015-06-29,1078189.38
2015-06-30,1090683.05
2015-07-01,1126396.27
2015-07-02,1117004.63
2015-07-03,1126519.49
2015-07-06,1151155.84
2015-07-07,1174097.09
2015-07-08,1140503.04
2015-07-09,1131256.87
2015-07-10,1140428.09
2015-07-13,1182480.24
2015-07-14,1177697.37
2015-07-15,1214695.2
2015-07-16,1230870.71
2015-07-17,1248272.19
2015-07-20,1262480.32
2015-07-21,1235366.67
2015-07-22,1251561.95
2015-07-23,1249991.99
2015-07-24,1251624.19
2015-07-27,1243187.38
2015-07-28,1233758.32
2015-07-29,1248050.77
2015-07-30,1264105.67
2015-07-31,1267660.84
2015-08-03,1290327.88
2015-08-04,1288036.12
2015-08-05,1300194.2
2015-08-06,1284673.66
2015-08-07,1271954.92
2015-08-10,1261243.52
2015-08-11,1268589.38
2015-08-12,1229426.37
2015-08-13,1243081.02
2015-08-14,1252060.01
2015-08-17,1257743.82
2015-08-18,1262100.22
2015-08-19,1244174.33
2015-08-20,1201774.91
2015-08-21,1163923.95
2015-08-24,1145903.47
2015-08-25,1146160.55
2015-08-26,1148775.36
2015-08-27,1104571.01
2015-08-28,1098189.39
2015-08-31,1091326.02
2015-09-01,1107684.81
2015-09-02,1105080.26
2015-09-03,1107886.04
2015-09-04,1126540.64
2015-09-07,1130544.83
2015-09-08,1102863.77
2015-09-09,1124148.73
2015-09-10,1102565.59
2015-09-11,1099007.84
2015-09-14,1102724.69
2015-09-15,1103385.08
2015-09-16,1078930.71
2015-09-17,1067399.75
2015-09-18,1082759.49
2015-09-21,1095071.94
2015-09-22,1108592.14
2015-09-23,1110107.07
2015-09-24,1100164.35
2015-09-25,1096612.66
2015-09-28,1104638.45
2015-09-29,1096455.59
2015-09-30,1095429.69
2015-10-01,1091952.59
2015-10-02,1071041.04
2015-10-05,1062230.32
2015-10-06,1035636.78
2015-10-07,1043845.2
2015-10-08,1034740.78
2015-10-09,1017675.75
2015-10-12,1023795.49
2015-10-13,1023240.43
2015-10-14,992291.52
2015-10-15,1008363.61
2015-10-16,1018786.41
2015-10-19,1031915.32
2015-10-20,1028174.52
2015-10-21,1040385.29
2015-10-22,1062455.29
2015-10-23,1079898.52
2015-10-26,1072951.51
2015-10-27,1080514.22
2015-10-28,1097763.55
2015-10-29,1092166.62
2015-10-30,1082224.77
2015-11-02,1087592.85
2015-11-03,1094666.32
2015-11-04,1114595.01
2015-11-05,1118328.52
2015-11-06,1154391.39
2015-11-09,1148797.69
2015-11-10,1156942.94
2015-11-11,1156136.87
2015-11-12,1151887.47
2015-11-13,1154369.73
2015-11-16,1171952.15
2015-11-17,1185905.1
2015-11-18,1183159.99
2015-11-19,1163769.89
2015-11-20,1174312.78
2015-11-23,1180876.57
2015-11-24,1166383.92
2015-11-25,1169921.72
2015-11-26,1175993.93
2015-11-27,1193882.22
2015-11-30,1188390.48
2015-12-01,1173904.85
2015-12-02,1177946.38
2015-12-03,1115379.17
2015-12-04,1125752.81
2015-12-07,1160837.13
2015-12-08,1147911.37
2015-12-09,1119868.89
2015-12-10,1132135.24
2015-12-11,1122545.37
2015-12-14,1124714.53
2015-12-15,1131215.87
2015-12-16,1134151.88
2015-12-17,1166010.33
2015-12-18,1159535.57
2015-12-21,1142267.74
2015-12-22,1136052.47
2015-12-23,1125293.09
2015-12-24,1117852.11
2015-12-25,1114477.1
2015-12-28,1131052.18
2015-12-29,1129482.96
2015-12-30,1133371.22
2015-12-31,1134144.75
2016-01-04,1147622.01
2016-01-05,1164682.95
2016-01-06,1179947.73
2016-01-07,1167105.26
2016-01-08,1184098.78
2016-01-11,1205933.84
2016-01-12,1214756.65
2016-01-13,1231004.15
2016-01-14,1213630.45
2016-01-15,1263257.98
2016-01-18,1263732.76
2016-01-19,1257917.33
2016-01-20,1272371.37
2016-01-21,1230177.5
2016-01-22,1188619.51
2016-01-25,1224925.7
2016-01-26,1179581.32
2016-01-27,1178192.76
2016-01-28,1154402.47
2016-01-29,1120337.67
2016-02-01,1110736.94
2016-02-02,1147820.95
2016-02-03,1090788.73
2016-02-04,1082103.81
2016-02-05,1115965.27
2016-02-08,1132212.7
2016-02-09,1143777.88
2016-02-10,1162353.23
2016-02-11,1168420.18
2016-02-12,1140227.81
2016-02-15,1122473.23
