date,equity
2025-10-01,1000000.0
2025-10-02,1000000.0
2025-10-03,1000000.0
2025-10-06,1000000.0
2025-10-07,1000000.0
2025-10-08,1000000.0
2025-10-09,1000000.0
2025-10-10,1000000.0
2025-10-13,1000000.0
2025-10-14,1000000.0
2025-10-15,1000000.0
2025-10-16,1000000.0
2025-10-17,1000000.0
2025-10-20,1000000.0
2025-10-21,1000000.0
2025-10-22,1000000.0
2025-10-23,1000000.0
2025-10-24,1000000.0
2025-10-27,1000000.0
2025-10-28,1000000.0
2025-10-29,1000000.0
2025-10-30,1000000.0
2025-10-31,1000000.0
2025-11-03,1000000.0
2025-11-04,1000000.0
2025-11-05,1000000.0
2025-11-06,1000000.0
2025-11-07,1000000.0
2025-11-10,1000000.0
2025-11-11,1000000.0
2025-11-12,1000000.0
2025-11-13,1000000.0
2025-11-14,1000000.0
2025-11-17,1000000.0
2025-11-18,1000000.0
2025-11-19,1000000.0
2025-11-20,1000000.0
2025-11-21,1000000.0
2025-11-24,1000000.0
2025-11-25,1000000.0
2025-11-26,1000000.0
2025-11-27,1000000.0
2025-11-28,1000000.0
2025-12-01,1000000.0
2025-12-02,1000000.0
2025-12-03,1000000.0
2025-12-04,1000000.0
2025-12-05,1000000.0
2025-12-08,1000000.0
2025-12-09,1000000.0
2025-12-10,1000000.0
2025-12-11,1000000.0
2025-12-12,1000000.0
2025-12-15,1000000.0
2025-12-16,1000000.0
2025-12-17,1000000.0
2025-12-18,1000000.0
2025-12-19,1000000.0
2025-12-22,1000000.0
2025-12-23,1000000.0
2025-12-24,1000000.0
2025-12-25,1000000.0
2025-12-26,1000000.0
2025-12-29,1000000.0
2025-12-30,1000000.0
2025-12-31,1000000.0
2026-01-01,1000000.0
2026-01-02,1002113.03
2026-01-05,993659.18
2026-01-06,997488.45
2026-01-07,1003250.55
2026-01-08,1017196.2
2026-01-09,1014523.51
2026-01-12,1009850.41
2026-01-13,1009700.53
2026-01-14,1007794.56
2026-01-15,1008965.0
2026-01-16,1023074.39
2026-01-19,1038182.69
2026-01-20,1047429.25
2026-01-21,1075127.36
2026-01-22,1091028.37
2026-01-23,1089869.19
2026-01-26,1099347.94
2026-01-27,1101250.44
2026-01-28,1095124.48
2026-01-29,1092267.25
2026-01-30,1098534.43
2026-02-02,1094694.77
2026-02-03,1084242.24
2026-02-04,1091138.39
2026-02-05,1098561.29
2026-02-06,1088363.47
2026-02-09,1091646.08
2026-02-10,1108258.36
2026-02-11,1094026.81
2026-02-12,1089813.74
2026-02-13,1090306.7
2026-02-16,1076656.47
2026-02-17,1064922.28
2026-02-18,1064922.28
2026-02-19,1064922.28
2026-02-20,1064922.28
2026-02-23,1061361.33
2026-02-24,1078347.9
2026-02-25,1073761.39
2026-02-26,1048717.73
2026-02-27,1049658.63
2026-03-02,1069105.42
2026-03-03,1077288.08
2026-03-04,1068308.18
2026-03-05,1060992.2
2026-03-06,1032689.2
2026-03-09,1032689.2
2026-03-10,1032689.2
2026-03-11,1032689.2
2026-03-12,1032689.2
2026-03-13,1051743.1
2026-03-16,1078278.72
2026-03-17,1092971.68
2026-03-18,1095993.8
2026-03-19,1088509.53
2026-03-20,1091137.83
2026-03-23,1097491.68
2026-03-24,1086838.13
2026-03-25,1088867.62
2026-03-26,1078597.69
2026-03-27,1086131.3
2026-03-30,1070000.85
2026-03-31,1070307.06
2026-04-01,1073431.25
2026-04-02,1064854.83
2026-04-03,1060115.38
2026-04-06,1080792.19
2026-04-07,1087214.09
2026-04-08,1076463.58
2026-04-09,1075824.79
2026-04-10,1086454.52
2026-04-13,1098324.4
2026-04-14,1098845.8
2026-04-15,1111134.17
2026-04-16,1117073.79
2026-04-17,1121636.31
2026-04-20,1111980.5
2026-04-21,1123661.55
2026-04-22,1118439.82
2026-04-23,1106411.74
2026-04-24,1114001.48
2026-04-27,1120707.48
2026-04-28,1123285.59
2026-04-29,1133894.91
2026-04-30,1118426.21
2026-05-01,1126956.7
2026-05-04,1133474.72
2026-05-05,1136983.37
2026-05-06,1125219.81
2026-05-07,1126938.84
2026-05-08,1115063.86
2026-05-11,1113859.44
2026-05-12,1099115.44
2026-05-13,1096848.64
2026-05-14,1094690.7
2026-05-15,1115115.02
2026-05-18,1124752.44
2026-05-19,1124157.53
2026-05-20,1114076.64
2026-05-21,1123608.85
2026-05-22,1135326.95
2026-05-25,1146096.15
2026-05-26,1140872.81
2026-05-27,1133260.03
2026-05-28,1133154.81
2026-05-29,1135579.66
2026-06-01,1138480.42
2026-06-02,1142851.23
2026-06-03,1138272.94
2026-06-04,1151751.16
2026-06-05,1168434.98
2026-06-08,1169032.83
2026-06-09,1170257.05
2026-06-10,1154406.1
2026-06-11,1144605.45
2026-06-12,1165524.38
2026-06-15,1190605.66
2026-06-16,1179499.18
2026-06-17,1166977.71
2026-06-18,1174781.26
2026-06-19,1169369.12
2026-06-22,1153636.17
2026-06-23,1148085.39
2026-06-24,1163095.61
2026-06-25,1152964.57
2026-06-26,1165293.3
2026-06-29,1153156.31
2026-06-30,1147548.5
2026-07-01,1138456.44
2026-07-02,1138456.44
2026-07-03,1138456.44
2026-07-06,1138456.44
2026-07-07,1138456.44
2026-07-08,1138456.44
2026-07-09,1138456.44
2026-07-10,1138456.44
2026-07-13,1122220.41
2026-07-14,1107935.62
2026-07-15,1103995.31
2026-07-16,1089682.83
2026-07-17,1086467.75
2026-07-20,1100444.14
2026-07-21,1100288.32
2026-07-22,1086633.53
