date,equity
2015-01-01,1005718.74
2015-01-02,1060792.38
2015-01-05,1032977.87
2015-01-06,1021027.59
2015-01-07,1041992.33
2015-01-08,1062780.53
2015-01-09,1014565.55
2015-01-12,1031801.75
2015-01-13,1048783.47
2015-01-14,1047705.8
2015-01-15,851654.84
2015-01-16,899696.93
2015-01-19,916665.49
2015-01-20,974450.3
2015-01-21,982166.25
2015-01-22,1074208.69
2015-01-23,1115916.09
2015-01-26,1118617.14
2015-01-27,1064563.65
2015-01-28,1115468.69
2015-01-29,1130859.29
2015-01-30,1147914.41
2015-02-02,1108783.1
2015-02-03,1072225.0
2015-02-04,1123974.83
2015-02-05,1053146.3
2015-02-06,1108614.99
2015-02-09,1094034.06
2015-02-10,1109155.73
2015-02-11,1138554.06
2015-02-12,1092861.76
2015-02-13,1084100.01
2015-02-16,1099475.17
2015-02-17,1076358.43
2015-02-18,1080346.36
2015-02-19,1102728.24
2015-02-20,1096000.9
2015-02-23,1118199.31
2015-02-24,1106535.89
2015-02-25,1071396.67
2015-02-26,1142521.3
2015-02-27,1141672.78
2015-03-02,1170799.66
2015-03-03,1144402.36
2015-03-04,1160304.03
2015-03-05,1204710.54
2015-03-06,1301920.09
2015-03-09,1326856.93
2015-03-10,1379975.7
2015-03-11,1444403.08
2015-03-12,1378586.43
2015-03-13,1439112.96
2015-03-16,1409501.64
2015-03-17,1412890.97
2015-03-18,1211146.28
2015-03-19,1316319.92
2015-03-20,1199451.32
2015-03-23,1113083.45
2015-03-24,1116941.66
2015-03-25,1117969.26
2015-03-26,1131327.02
2015-03-27,1162347.48
2015-03-30,1215666.73
2015-03-31,1261423.43
2015-04-01,1246599.86
2015-04-02,1210227.21
2015-04-03,1149749.41
2015-04-06,1180894.42
2015-04-07,1203862.9
2015-04-08,1203765.3
2015-04-09,1224077.37
2015-04-10,1243753.56
2015-04-13,1290206.36
2015-04-14,1244455.64
2015-04-15,1190111.46
2015-04-16,1123852.88
2015-04-17,1110447.9
2015-04-20,1141483.26
2015-04-21,1153965.55
2015-04-22,1178177.11
2015-04-23,1127172.48
2015-04-24,1104079.82
2015-04-27,1090722.33
2015-04-28,1027589.3
2015-04-29,997205.74
2015-04-30,990025.4
2015-05-01,1002481.28
2015-05-04,1009972.1
2015-05-05,982624.33
2015-05-06,930644.45
2015-05-07,991087.8
2015-05-08,999084.23
2015-05-11,1054146.41
2015-05-12,1017863.63
2015-05-13,955210.53
2015-05-14,947875.47
2015-05-15,941949.61
2015-05-18,1004641.49
2015-05-19,1067524.54
2015-05-20,1096028.72
2015-05-21,1095957.08
2015-05-22,1133671.67
2015-05-25,1151926.49
2015-05-26,1220462.43
2015-05-27,1224071.39
2015-05-28,1221635.63
2015-05-29,1225878.81
2015-06-01,1265025.67
2015-06-02,1133214.77
2015-06-03,1108143.34
2015-06-04,1151921.96
2015-06-05,1202806.36
2015-06-08,1113106.7
2015-06-09,1105713.71
2015-06-10,1075649.91
2015-06-11,1099533.37
2015-06-12,1102809.74
2015-06-15,1098561.0
2015-06-16,1107161.57
2015-06-17,1115311.74
2015-06-18,1089876.64
2015-06-19,1078823.26
2015-06-22,1118995.15
2015-06-23,1145334.48
2015-06-24,1153725.07
2015-06-25,1141097.09
2015-06-26,1172196.96
2015-06-29,1135097.54
2015-06-30,1172764.36
2015-07-01,1252386.41
2015-07-02,1223551.01
2015-07-03,1249758.68
2015-07-06,1300938.7
2015-07-07,1319776.18
2015-07-08,1280622.49
2015-07-09,1272623.05
2015-07-10,1257089.01
2015-07-13,1358592.91
2015-07-14,1329753.36
2015-07-15,1435036.95
2015-07-16,1458779.98
2015-07-17,1496931.9
2015-07-20,1488468.22
2015-07-21,1406663.83
2015-07-22,1450132.04
2015-07-23,1422923.74
2015-07-24,1464852.81
2015-07-27,1419998.49
2015-07-28,1374505.74
2015-07-29,1441712.72
2015-07-30,1475454.29
2015-07-31,1468046.04
2015-08-03,1509238.0
2015-08-04,1520004.13
2015-08-05,1528315.07
2015-08-06,1506333.8
2015-08-07,1447988.47
2015-08-10,1424904.28
2015-08-11,1500380.42
2015-08-12,1390910.67
2015-08-13,1417360.95
2015-08-14,1429615.43
2015-08-17,1431210.43
2015-08-18,1443212.49
2015-08-19,1405014.23
2015-08-20,1365217.8
2015-08-21,1300701.87
2015-08-24,1277639.09
2015-08-25,1289207.38
2015-08-26,1313767.42
2015-08-27,1292503.71
2015-08-28,1321186.81
2015-08-31,1327294.64
2015-09-01,1338303.0
2015-09-02,1365177.44
2015-09-03,1393613.82
2015-09-04,1439047.18
2015-09-07,1439862.41
2015-09-08,1373029.38
2015-09-09,1413891.0
2015-09-10,1343234.64
2015-09-11,1316424.84
2015-09-14,1301086.14
2015-09-15,1326138.18
2015-09-16,1290874.33
2015-09-17,1245007.26
2015-09-18,1285083.02
2015-09-21,1354912.76
2015-09-22,1398829.72
2015-09-23,1403483.49
2015-09-24,1395323.16
2015-09-25,1376870.87
2015-09-28,1390531.52
2015-09-29,1362409.08
2015-09-30,1376032.67
2015-10-01,1353279.32
2015-10-02,1320885.66
2015-10-05,1307816.43
2015-10-06,1243008.83
2015-10-07,1249785.34
2015-10-08,1193068.82
2015-10-09,1138793.93
2015-10-12,1146139.95
2015-10-13,1159344.77
2015-10-14,1073144.03
2015-10-15,1096649.82
2015-10-16,1124243.54
2015-10-19,1149561.95
2015-10-20,1141693.62
2015-10-21,1169705.27
2015-10-22,1228563.14
2015-10-23,1253261.26
2015-10-26,1221857.33
2015-10-27,1257943.65
2015-10-28,1327379.48
2015-10-29,1295274.7
2015-10-30,1260668.04
2015-11-02,1257377.27
2015-11-03,1281361.13
2015-11-04,1349416.0
2015-11-05,1331934.2
2015-11-06,1447684.24
2015-11-09,1430814.46
2015-11-10,1443708.0
2015-11-11,1426344.42
2015-11-12,1393034.8
2015-11-13,1420825.75
2015-11-16,1476283.44
2015-11-17,1498978.84
2015-11-18,1490119.27
2015-11-19,1423668.38
2015-11-20,1448574.9
2015-11-23,1473891.74
2015-11-24,1445467.84
2015-11-25,1450162.55
2015-11-26,1473927.77
2015-11-27,1521100.35
2015-11-30,1495155.48
2015-12-01,1419143.13
2015-12-02,1413044.22
2015-12-03,1228575.33
2015-12-04,1238264.05
2015-12-07,1317557.02
2015-12-08,1316391.46
2015-12-09,1239068.36
2015-12-10,1261304.11
2015-12-11,1291434.59
2015-12-14,1266002.64
2015-12-15,1303152.26
2015-12-16,1324690.51
2015-12-17,1390478.61
2015-12-18,1400783.69
2015-12-21,1365273.95
2015-12-22,1352773.33
2015-12-23,1352020.09
2015-12-24,1325498.77
2015-12-25,1310427.64
2015-12-28,1327140.39
2015-12-29,1327133.18
2015-12-30,1341608.33
2015-12-31,1363185.54
2016-01-04,1459516.74
2016-01-05,1538260.57
2016-01-06,1597998.04
2016-01-07,1571419.55
2016-01-08,1646129.65
2016-01-11,1666654.85
2016-01-12,1695466.94
2016-01-13,1762753.94
2016-01-14,1683657.35
2016-01-15,1860048.67
2016-01-18,1847887.18
2016-01-19,1863588.87
2016-01-20,1845087.84
2016-01-21,1701815.29
2016-01-22,1644872.27
2016-01-25,1739053.13
2016-01-26,1624770.72
2016-01-27,1659024.69
2016-01-28,1530853.04
2016-01-29,1471092.82
2016-02-01,1382615.97
2016-02-02,1444289.36
2016-02-03,1273184.23
2016-02-04,1239255.17
2016-02-05,1329818.53
2016-02-08,1361895.54
2016-02-09,1337542.25
2016-02-10,1394612.97
2016-02-11,1426682.63
2016-02-12,1409141.72
2016-02-15,1377810.92
2016-02-16,1461181.39
2016-02-17,1426815.42
2016-02-18,1471480.48
2016-02-19,1475726.29
2016-02-22,1523851.53
2016-02-23,1637951.82
2016-02-24,1636863.93
2016-02-25,1524925.13
2016-02-26,1562345.78
2016-02-29,1618017.46
2016-03-01,1503501.19
2016-03-02,1451793.6
2016-03-03,1401438.64
2016-03-04,1344821.09
2016-03-07,1342490.75
2016-03-08,1410111.15
2016-03-09,1379778.75
2016-03-10,1384477.99
2016-03-11,1263453.97
2016-03-14,1314151.52
2016-03-15,1402173.82
2016-03-16,1328832.02
2016-03-17,1272917.31
2016-03-18,1279051.64
2016-03-21,1302289.06
2016-03-22,1321306.14
2016-03-23,1375677.06
2016-03-24,1362413.81
2016-03-25,1363181.58
2016-03-28,1293991.76
2016-03-29,1267359.91
2016-03-30,1271015.98
2016-03-31,1275804.07
2016-04-01,1344415.55
2016-04-04,1384933.57
2016-04-05,1458048.51
2016-04-06,1466296.83
2016-04-07,1571039.76
2016-04-08,1538183.06
2016-04-11,1490823.45
2016-04-12,1401212.5
2016-04-13,1407353.57
2016-04-14,1422875.93
2016-04-15,1415772.14
2016-04-18,1356548.92
2016-04-19,1309270.57
2016-04-20,1305447.2
2016-04-21,1355166.28
2016-04-22,1252470.15
2016-04-25,1255220.82
2016-04-26,1219011.04
2016-04-27,1240727.67
2016-04-28,1322758.74
2016-04-29,1395464.57
2016-05-02,1361289.96
2016-05-03,1447803.5
2016-05-04,1486530.24
2016-05-05,1472284.18
2016-05-06,1549341.65
2016-05-09,1531882.93
2016-05-10,1469121.76
2016-05-11,1501593.11
2016-05-12,1469773.84
2016-05-13,1535077.47
2016-05-16,1488007.4
2016-05-17,1480764.8
2016-05-18,1437770.93
2016-05-19,1450566.39
2016-05-20,1476300.93
2016-05-23,1515687.71
2016-05-24,1442190.78
2016-05-25,1418307.92
2016-05-26,1423227.57
2016-05-27,1433897.99
2016-05-30,1406567.94
2016-05-31,1438359.3
2016-06-01,1474372.46
2016-06-02,1519831.24
2016-06-03,1439195.1
2016-06-06,1400747.08
2016-06-07,1355402.8
2016-06-08,1383394.63
2016-06-09,1404382.38
2016-06-10,1460949.87
2016-06-13,1511374.54
2016-06-14,1531338.92
2016-06-15,1524402.67
2016-06-16,1557364.04
2016-06-17,1550113.87
2016-06-20,1466601.04
2016-06-21,1424684.2
2016-06-22,1393700.99
2016-06-23,1442569.4
2016-06-24,1790741.45
2016-06-27,1987803.61
2016-06-28,1897766.26
2016-06-29,1833363.37
2016-06-30,1856041.88
2016-07-01,1861784.95
2016-07-04,1845903.25
2016-07-05,1931517.0
2016-07-06,1955519.0
2016-07-07,1992203.32
2016-07-08,2011391.77
2016-07-11,1881085.49
2016-07-12,1747248.05
2016-07-13,1780278.27
2016-07-14,1657268.19
2016-07-15,1687148.24
2016-07-18,1618069.37
2016-07-19,1632223.56
2016-07-20,1551655.8
2016-07-21,1603949.25
2016-07-22,1600564.61
2016-07-25,1604493.51
2016-07-26,1643035.95
2016-07-27,1623212.39
2016-07-28,1628926.22
2016-07-29,1716200.88
2016-08-01,1711869.62
2016-08-02,1754749.95
2016-08-03,1700631.58
2016-08-04,1736964.6
2016-08-05,1715619.67
2016-08-08,1702421.78
2016-08-09,1719028.89
2016-08-10,1751915.57
2016-08-11,1745507.41
2016-08-12,1767354.95
2016-08-15,1778079.06
2016-08-16,1771105.81
2016-08-17,1772891.98
2016-08-18,1730041.3
2016-08-19,1741916.82
2016-08-22,1727034.27
2016-08-23,1710074.87
2016-08-24,1681043.27
2016-08-25,1695675.22
2016-08-26,1591491.66
2016-08-29,1598548.78
2016-08-30,1563355.55
2016-08-31,1537532.98
2016-09-01,1512613.5
2016-09-02,1512640.45
2016-09-05,1535675.84
2016-09-06,1584773.39
2016-09-07,1588754.69
2016-09-08,1562240.88
2016-09-09,1526873.81
2016-09-12,1549097.53
2016-09-13,1489821.68
2016-09-14,1487784.23
2016-09-15,1528648.07
2016-09-16,1509594.35
2016-09-19,1529812.25
2016-09-20,1558866.69
2016-09-21,1574529.78
2016-09-22,1519120.32
2016-09-23,1543828.34
2016-09-26,1578216.57
2016-09-27,1574402.57
2016-09-28,1525163.12
2016-09-29,1526774.03
2016-09-30,1529410.27
2016-10-03,1550885.45
2016-10-04,1535275.21
2016-10-05,1488464.63
2016-10-06,1602686.91
2016-10-07,1620595.68
2016-10-10,1608094.1
2016-10-11,1646889.62
2016-10-12,1613279.91
2016-10-13,1632137.32
2016-10-14,1600445.01
2016-10-17,1625878.22
2016-10-18,1598290.49
2016-10-19,1635753.61
2016-10-20,1607432.24
2016-10-21,1635869.55
2016-10-24,1601922.14
2016-10-25,1638705.35
2016-10-26,1596432.74
2016-10-27,1570898.02
2016-10-28,1635640.43
2016-10-31,1605936.05
2016-11-01,1711099.81
2016-11-02,1765911.12
2016-11-03,1730404.09
2016-11-04,1731026.75
2016-11-07,1643473.94
2016-11-08,1590865.58
2016-11-09,1496616.8
2016-11-10,1372527.93
2016-11-11,1348855.1
2016-11-14,1259648.48
2016-11-15,1214281.37
2016-11-16,1222278.68
2016-11-17,1141508.81
2016-11-18,1115149.94
2016-11-21,1099581.88
2016-11-22,1109216.34
2016-11-23,1068467.25
2016-11-24,1032391.99
2016-11-25,1024283.01
2016-11-28,1085916.74
2016-11-29,1035795.15
2016-11-30,961694.46
2016-12-01,965737.41
2016-12-02,955655.88
2016-12-05,929643.98
2016-12-06,940900.09
2016-12-07,961214.93
2016-12-08,992921.64
2016-12-09,959478.33
2016-12-12,947081.13
2016-12-13,942341.09
2016-12-14,908977.27
2016-12-15,908020.6
2016-12-16,884203.3
2016-12-19,924602.15
2016-12-20,911839.94
2016-12-21,904425.65
2016-12-22,913680.72
2016-12-23,908679.79
2016-12-26,916684.74
2016-12-27,912287.16
2016-12-28,939041.5
2016-12-29,930874.47
2016-12-30,906993.42
2017-01-02,924573.79
2017-01-03,948489.01
2017-01-04,948268.72
2017-01-05,930496.07
2017-01-06,957850.67
2017-01-09,1001529.51
2017-01-10,1003068.14
2017-01-11,1041020.79
2017-01-12,1072613.84
2017-01-13,1075566.55
2017-01-16,1105914.84
2017-01-17,1091903.79
2017-01-18,1025468.17
2017-01-19,1001125.3
2017-01-20,1000949.74
2017-01-23,1044883.62
2017-01-24,1045363.61
2017-01-25,1037826.75
2017-01-26,1016679.29
2017-01-27,1014189.65
2017-01-30,1051195.13
2017-01-31,1037667.85
2017-02-01,1019856.33
2017-02-02,1079388.87
2017-02-03,1101368.97
2017-02-06,1102468.46
2017-02-07,1063793.55
2017-02-08,1064846.69
2017-02-09,1036073.24
2017-02-10,1062559.32
2017-02-13,1036211.5
2017-02-14,1056616.12
2017-02-15,1075347.48
2017-02-16,1043864.82
2017-02-17,1059446.04
2017-02-20,1051595.82
2017-02-21,1048019.52
2017-02-22,1067728.58
2017-02-23,1063679.11
2017-02-24,1082755.81
2017-02-27,1067457.17
2017-02-28,1048071.33
2017-03-01,1057356.81
2017-03-02,1022519.43
2017-03-03,1007948.09
2017-03-06,1022261.96
2017-03-07,1030253.12
2017-03-08,1023325.81
2017-03-09,1012103.53
2017-03-10,1006510.98
2017-03-13,1000066.81
2017-03-14,1023011.08
2017-03-15,1003264.75
2017-03-16,963043.96
2017-03-17,978278.7
2017-03-20,996815.78
2017-03-21,940512.05
2017-03-22,940224.97
2017-03-23,924298.97
2017-03-24,928973.66
2017-03-27,901517.71
2017-03-28,943736.01
2017-03-29,955803.82
2017-03-30,951483.64
2017-03-31,935687.32
2017-04-03,948955.33
2017-04-04,961831.63
2017-04-05,966659.96
2017-04-06,973229.33
2017-04-07,1008024.86
2017-04-10,995030.44
2017-04-11,1017816.6
2017-04-12,998909.91
2017-04-13,1016038.78
2017-04-14,1026862.93
2017-04-17,990333.58
2017-04-18,890851.31
2017-04-19,923549.47
2017-04-20,926438.24
2017-04-21,911916.51
2017-04-24,910479.15
2017-04-25,872471.96
2017-04-26,852172.89
2017-04-27,843694.42
2017-04-28,834123.81
2017-05-01,866279.92
2017-05-02,860119.14
2017-05-03,845084.99
2017-05-04,808881.11
2017-05-05,796503.27
2017-05-08,823816.67
2017-05-09,823671.83
2017-05-10,834262.47
2017-05-11,838622.35
2017-05-12,833587.61
2017-05-15,836118.52
2017-05-16,809290.92
2017-05-17,777387.48
2017-05-18,775644.78
2017-05-19,758648.68
2017-05-22,776456.8
2017-05-23,802414.47
2017-05-24,791036.91
2017-05-25,797043.62
2017-05-26,817028.91
2017-05-29,813974.31
2017-05-30,817619.29
2017-05-31,791591.83
2017-06-01,790062.39
2017-06-02,789381.38
2017-06-05,796352.92
2017-06-06,789043.96
2017-06-07,799563.8
2017-06-08,848705.17
2017-06-09,850582.98
2017-06-12,846743.57
2017-06-13,837087.61
2017-06-14,834860.11
2017-06-15,857362.66
2017-06-16,878298.59
2017-06-19,881918.68
2017-06-20,879274.95
2017-06-21,874623.12
2017-06-22,860701.99
2017-06-23,870844.99
2017-06-26,895772.65
2017-06-27,949921.22
2017-06-28,961274.47
2017-06-29,977090.15
2017-06-30,982544.95
2017-07-03,992143.03
2017-07-04,949362.14
2017-07-05,951621.72
2017-07-06,970217.02
2017-07-07,990160.24
2017-07-10,990609.88
2017-07-11,1013143.95
2017-07-12,995672.0
