date,equity
2026-03-09,1000000.0
2026-03-10,1000000.0
2026-03-11,1000000.0
2026-03-12,1000000.0
2026-03-13,1000000.0
2026-03-16,1000000.0
2026-03-17,1000000.0
2026-03-18,1000000.0
2026-03-19,1000000.0
2026-03-20,1000000.0
2026-03-23,1000000.0
2026-03-24,1000000.0
2026-03-25,1000000.0
2026-03-26,1000000.0
2026-03-27,1000000.0
2026-03-30,1000000.0
2026-03-31,1000000.0
2026-04-01,1000000.0
2026-04-02,1000000.0
2026-04-03,1000000.0
2026-04-06,1000000.0
2026-04-07,1000000.0
2026-04-08,1000000.0
2026-04-09,988778.02
2026-04-10,980840.52
2026-04-13,976187.51
2026-04-14,994252.16
2026-04-15,989051.73
2026-04-16,984125.0
2026-04-17,982756.47
2026-04-20,992609.92
2026-04-21,977282.33
2026-04-22,976187.51
2026-04-23,969726.29
2026-04-24,954139.7
2026-04-27,956314.57
2026-04-28,961751.76
2026-04-29,992199.99
2026-04-30,948711.83
2026-05-01,935702.62
2026-05-04,933718.17
2026-05-05,920029.98
2026-05-06,920029.98
2026-05-07,908411.1
2026-05-08,913099.42
2026-05-11,902499.74
2026-05-12,893530.78
2026-05-13,892225.24
2026-05-14,892225.24
2026-05-15,901870.97
2026-05-18,903478.59
2026-05-19,909220.09
2026-05-20,904397.23
2026-05-21,906693.83
2026-05-22,911516.69
2026-05-25,905086.21
2026-05-26,914272.62
2026-05-27,917487.86
2026-05-28,912894.65
2026-05-29,914042.95
2026-06-01,923229.36
2026-06-02,929200.52
2026-06-03,931726.79
2026-06-04,930578.49
2026-06-05,937697.95
2026-06-08,933564.07
2026-06-09,939535.23
2026-06-10,943898.77
2026-06-11,930119.16
2026-06-12,935171.69
2026-06-15,938616.59
2026-06-16,940683.53
2026-06-17,945506.39
2026-06-18,961123.28
2026-06-19,960204.64
2026-06-22,967324.11
2026-06-23,965486.83
2026-06-24,970309.69
2026-06-25,972146.97
2026-06-26,970769.01
2026-06-29,973754.59
2026-06-30,990290.12
2026-07-01,989141.82
2026-07-02,972443.79
2026-07-03,960116.17
2026-07-06,942845.39
2026-07-07,942845.39
2026-07-08,942845.39
2026-07-09,942845.39
2026-07-10,942845.39
2026-07-13,942845.39
2026-07-14,942845.39
2026-07-15,942845.39
2026-07-16,942845.39
2026-07-17,942845.39
2026-07-20,942845.39
2026-07-21,942845.39
2026-07-22,940709.77
